"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"876","0.000","115","119","1002","829","1978","242","235","299","866","253","942","251","314","338","100","285","103","117","381"
"877","0.050","103","117","950","806","1854","200","205","262","862","255","967","228","282","361","101","267","107","107","347"
"878","0.100","102","104","899","756","1815","206","224","233","747","229","854","186","279","351","97","240","106","100","339"
"879","0.150","89","114","895","702","1697","175","216","218","750","223","841","191","227","335","81","224","100","97","324"
"880","0.200","94","77","779","666","1753","203","173","211","668","217","871","201","242","336","107","220","86","97","298"
"881","0.250","89","83","802","605","1588","177","167","195","685","190","769","167","211","264","89","208","98","83","305"
"882","0.300","77","83","741","683","1477","180","166","183","668","206","716","177","191","283","73","209","85","83","304"
"883","0.350","88","87","712","598","1362","169","166","186","645","195","718","146","187","291","80","215","87","84","267"
"884","0.400","79","67","653","567","1359","154","162","194","614","167","651","145","167","254","79","183","72","69","272"
"885","0.450","73","69","647","570","1218","160","117","164","601","154","680","129","174","256","77","168","62","84","265"
"886","0.500","68","57","569","498","1252","142","141","165","533","143","626","136","173","247","72","152","73","71","214"
"887","0.550","65","55","524","481","1163","164","130","144","501","175","591","153","148","234","62","150","73","65","232"
"888","0.600","60","63","591","464","1143","145","137","152","468","157","552","108","155","222","64","155","55","67","223"
"889","0.650","69","70","484","412","1020","111","138","127","466","124","502","128","136","203","61","157","64","58","206"
"890","0.700","54","63","449","393","1003","110","112","115","427","114","530","101","140","182","60","135","56","66","176"
"891","0.750","61","57","450","432","948","106","114","137","399","120","426","101","121","171","51","125","56","55","177"
"892","0.800","60","56","453","400","881","124","115","111","395","125","441","97","117","176","68","110","47","49","176"
"893","0.850","41","54","405","336","870","103","107","117","364","123","433","96","103","166","47","97","46","53","155"
"894","0.900","50","53","390","348","805","106","109","134","349","98","420","98","92","133","44","116","40","51","166"
"895","0.950","48","43","409","331","733","82","90","105","338","108","406","100","118","166","39","104","52","39","126"
"896","1.000","34","52","371","303","714","77","90","98","303","103","357","78","104","165","48","87","41","44","128"
"897","1.050","29","27","305","300","665","78","70","97","305","94","404","85","85","132","45","98","37","45","132"
"898","1.100","31","36","339","276","651","81","64","81","305","106","333","75","86","123","47","83","37","27","119"
"899","1.150","41","33","305","316","649","70","79","83","287","85","305","100","74","120","40","82","47","33","104"
"900","1.200","38","39","308","263","624","70","55","86","280","91","274","63","78","106","37","79","38","37","119"
"901","1.250","41","35","291","278","598","62","70","63","246","85","237","50","66","109","40","88","38","29","140"
"902","1.300","27","28","275","225","513","61","61","72","219","74","283","60","65","95","23","58","25","26","110"
"903","1.350","27","32","262","236","493","62","57","73","243","61","271","60","68","106","26","63","31","22","113"
"904","1.400","30","25","268","230","454","55","59","69","230","64","268","50","62","97","34","54","30","29","95"
"905","1.450","29","32","258","189","433","45","54","53","235","64","224","56","55","67","25","65","24","36","82"
"906","1.500","33","24","250","173","427","58","49","59","220","48","223","51","62","90","19","60","27","30","109"
"907","1.550","27","26","225","183","414","35","48","68","201","56","221","49","70","80","21","49","20","25","86"
"908","1.600","34","38","195","159","385","40","47","43","185","61","198","53","54","74","24","67","22","35","63"
"909","1.650","22","23","199","152","391","40","35","53","150","70","191","48","37","79","28","44","24","22","76"
"910","1.700","19","12","208","155","356","33","40","46","164","55","169","40","48","78","21","47","23","21","67"
"911","1.750","17","13","162","156","330","22","37","46","162","49","176","30","45","69","20","57","23","24","57"
"912","1.800","10","20","170","143","328","44","41","47","148","40","172","33","40","59","18","42","25","16","56"
"913","1.850","16","15","150","141","291","36","26","36","124","49","140","32","56","61","17","32","18","24","58"
"914","1.900","21","19","132","116","310","39","35","34","130","41","139","35","43","60","17","34","14","13","56"
"915","1.950","18","6","129","112","283","24","33","39","141","51","126","33","41","56","26","52","15","12","54"
"916","2.000","12","19","125","103","259","26","32","32","107","44","129","31","34","44","20","35","13","16","56"
"917","2.050","18","14","133","107","262","26","21","37","107","45","124","34","32","56","18","42","12","21","53"
"918","2.100","15","14","127","111","241","19","29","42","87","34","111","21","35","51","11","31","14","14","48"
"919","2.150","18","10","109","93","261","15","27","38","107","30","130","26","39","44","19","31","12","12","41"
"920","2.200","8","18","113","98","232","29","20","35","88","22","112","34","27","50","15","31","15","13","40"
"921","2.250","5","9","92","95","197","22","22","30","109","39","104","24","28","46","14","24","10","7","43"
"922","2.300","11","8","107","73","188","17","29","29","87","29","111","25","21","31","12","32","11","11","43"
"923","2.350","10","9","88","61","212","25","23","22","89","28","104","22","30","38","12","30","12","8","48"
"924","2.400","17","13","94","91","172","13","25","22","73","26","101","22","25","43","5","27","12","7","38"
"925","2.450","10","11","77","81","167","20","15","19","84","29","100","19","34","40","15","22","11","10","37"
"926","2.500","5","7","79","75","177","13","11","18","46","26","84","18","21","31","11","24","5","9","40"
"927","2.550","9","14","66","66","130","19","19","22","76","24","77","12","21","26","4","35","6","3","37"
"928","2.600","12","9","65","61","155","15","10","30","67","24","83","12","12","32","5","23","7","6","25"
"929","2.650","6","3","74","47","151","18","26","34","56","24","64","16","26","26","4","16","8","5","17"
"930","2.700","6","8","73","58","158","15","21","17","49","14","70","18","15","24","9","22","10","14","27"
"931","2.750","4","7","56","33","138","16","12","24","51","17","53","10","18","32","14","14","9","7","30"
"932","2.800","5","4","63","48","105","7","15","21","61","15","59","23","14","26","5","12","9","7","29"
"933","2.850","8","6","60","43","109","11","9","16","63","18","54","13","17","18","8","14","8","6","17"
"934","2.900","12","11","52","42","91","9","9","13","57","15","43","11","11","21","5","11","4","5","16"
"935","2.950","7","9","71","39","112","12","9","13","48","13","40","13","19","24","5","11","3","6","17"
"936","3.000","5","5","48","36","116","9","13","10","57","14","45","6","12","19","3","9","9","3","19"
"937","3.050","9","8","47","49","99","8","11","15","43","14","51","11","15","13","4","13","7","3","19"
"938","3.100","10","5","45","26","100","12","5","18","39","10","44","8","6","16","9","12","6","4","19"
