"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"764","0.00000","2199","2202","18967","16072","25285","3599","4376","5110","16776","5102","18978","4378","5099","7301","2201","5105","2200","2200","7296"
"765","0.10000","0","0","0","0","4730","326","0","0","0","0","0","0","0","0","0","0","0","0","0"
"766","0.20000","0","0","0","0","2085","117","0","0","0","0","0","0","0","0","0","0","0","0","0"
"767","0.30000","0","0","0","0","1088","58","0","0","0","0","0","0","0","0","0","0","0","0","0"
"768","0.40000","0","0","0","0","759","49","0","0","0","0","0","0","0","0","0","0","0","0","0"
"769","0.50000","0","0","0","0","526","37","0","0","0","0","0","0","0","0","0","0","0","0","0"
"770","0.60000","0","0","0","0","394","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"771","0.70000","0","0","0","0","261","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"772","0.80000","0","0","0","0","256","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"773","0.90000","0","0","0","0","220","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"774","1.00000","0","0","0","0","185","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"775","1.10000","0","0","0","0","150","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"776","1.20000","0","0","0","0","149","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"777","1.30000","0","0","0","0","129","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"778","1.40000","0","0","0","0","111","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"779","1.50000","0","0","0","0","107","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"780","1.60000","0","0","0","0","64","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"781","1.70000","0","0","0","0","74","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"782","1.80000","0","0","0","0","79","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"783","1.90000","0","0","0","0","70","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"784","2.00000","0","0","0","0","64","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"785","2.10000","0","0","0","0","52","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"786","2.20000","0","0","0","0","48","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"787","2.30000","0","0","0","0","65","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"788","2.40000","0","0","0","0","54","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"789","2.50000","0","0","0","0","52","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"790","2.60000","0","0","0","0","33","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"791","2.70000","0","0","0","0","41","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"792","2.80000","0","0","0","0","43","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"793","2.90000","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"794","3.00000","0","0","0","0","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"795","3.10000","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"796","3.20000","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"797","3.30000","0","0","0","0","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"798","3.40000","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"799","3.50000","0","0","0","0","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"800","3.60000","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"801","3.70000","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"802","3.80000","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"803","3.90000","0","0","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"804","4.00000","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"805","4.10000","0","0","0","0","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"806","4.20000","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"807","4.30000","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"808","4.40000","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"809","4.50000","0","0","0","0","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"810","4.60000","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"811","4.70000","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"812","4.80000","0","0","0","0","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"813","4.90000","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"814","5.00000","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
