"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"1031","0.000","115","125","947","806","1894","228","231","260","876","223","951","206","251","332","105","256","110","120","355",""
"1032","0.050","110","115","871","786","1778","193","201","224","761","225","917","209","249","333","82","245","118","116","322",""
"1033","0.100","97","96","840","719","1698","183","187","228","756","247","842","204","240","329","107","217","96","105","328",""
"1034","0.150","80","100","835","673","1581","183","180","203","727","202","795","215","228","306","107","213","78","83","311",""
"1035","0.200","84","86","711","632","1481","168","168","204","681","200","706","157","210","283","72","199","72","80","271",""
"1036","0.250","77","83","756","597","1489","152","150","204","604","200","706","155","188","262","67","198","88","84","277",""
"1037","0.300","90","83","665","554","1366","163","144","197","605","202","690","151","157","238","93","172","72","59","260",""
"1038","0.350","73","75","646","566","1322","157","143","164","564","160","706","131","159","271","65","167","86","80","269",""
"1039","0.400","64","70","616","556","1204","145","157","176","512","149","658","132","171","215","85","148","64","65","245",""
"1040","0.450","63","74","614","488","1149","143","144","159","513","152","563","133","191","218","78","147","75","73","252",""
"1041","0.500","63","59","543","509","1103","143","132","161","514","158","540","125","138","234","59","123","80","43","250",""
"1042","0.550","68","51","504","431","1056","121","120","143","481","139","552","105","138","201","64","156","57","41","187",""
"1043","0.600","65","61","506","451","1010","124","111","120","452","143","487","122","137","184","68","141","61","69","184",""
"1044","0.650","55","54","468","409","981","95","119","129","419","135","484","126","134","211","54","113","56","52","182",""
"1045","0.700","57","59","447","381","928","102","117","127","430","116","437","112","144","156","54","119","65","61","165",""
"1046","0.750","58","56","438","359","918","81","94","114","419","97","418","108","132","161","45","136","57","43","171",""
"1047","0.800","48","44","396","315","836","91","92","124","385","116","405","88","108","165","47","110","41","54","157",""
"1048","0.850","43","42","361","320","822","80","77","95","322","107","405","96","115","163","47","103","43","50","139",""
"1049","0.900","44","42","400","307","739","85","100","106","355","115","372","89","88","152","36","115","44","30","166",""
"1050","0.950","32","41","341","331","734","85","80","86","339","82","352","81","71","128","45","94","39","37","137",""
"1051","1.000","51","33","333","267","684","76","91","96","257","106","340","86","79","129","43","94","34","36","134",""
"1052","1.050","28","37","352","271","601","82","78","92","276","85","298","58","69","146","38","94","39","34","102",""
"1053","1.100","34","42","332","258","601","65","89","101","285","92","327","72","96","129","48","73","40","35","117",""
"1054","1.150","34","38","301","270","610","61","70","67","239","74","296","84","77","104","35","87","31","48","114",""
"1055","1.200","27","27","270","230","539","88","70","70","241","80","263","56","72","122","34","84","34","32","105",""
"1056","1.250","34","40","280","254","505","63","66","69","230","63","262","77","84","113","25","71","28","43","110",""
"1057","1.300","33","30","246","204","507","65","54","54","209","71","233","42","66","87","30","65","42","30","99",""
"1058","1.350","16","19","242","214","461","62","55","65","198","73","254","50","60","121","32","75","27","32","85",""
"1059","1.400","30","26","220","195","446","63","40","61","208","72","222","57","58","96","27","61","22","28","84",""
"1060","1.450","24","21","221","202","419","49","44","64","200","62","231","49","57","91","23","64","24","21","82",""
"1061","1.500","20","27","190","159","444","47","48","50","173","64","193","46","54","64","24","57","20","25","91",""
"1062","1.550","24","19","207","172","429","46","43","57","178","61","218","47","57","80","23","48","18","24","83",""
"1063","1.600","23","23","210","136","376","41","52","42","178","51","173","51","43","87","23","61","22","20","60",""
"1064","1.650","30","12","193","148","333","33","39","52","168","48","175","46","36","64","25","57","18","25","60",""
"1065","1.700","14","20","186","140","331","50","38","41","120","54","168","42","49","60","27","55","14","31","62",""
