"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"1135","0.000","115","121","936","793","1869","228","227","256","866","220","937","205","251","329","105","249","109","119","349",""
"1136","0.050","109","117","867","786","1784","191","203","227","763","227","913","206","241","327","81","249","118","115","323",""
"1137","0.100","96","95","843","726","1701","181","187","227","755","245","842","205","243","333","106","218","95","106","333",""
"1138","0.150","82","103","834","671","1577","183","182","203","729","202","794","214","228","307","108","211","79","83","309",""
"1139","0.200","84","86","713","632","1482","169","164","204","678","200","710","156","212","285","72","200","73","80","269",""
"1140","0.250","77","83","762","597","1487","152","152","201","603","196","709","155","188","259","65","195","86","83","277",""
"1141","0.300","89","82","659","558","1364","163","144","199","609","205","695","154","156","241","94","177","74","60","259",""
"1142","0.350","73","72","646","556","1331","158","142","167","557","162","701","132","161","269","66","164","84","81","270",""
"1143","0.400","63","72","620","565","1200","143","159","173","522","148","664","132","172","215","86","151","64","65","246",""
"1144","0.450","65","74","607","489","1152","145","143","161","510","155","558","133","190","219","74","146","77","72","251",""
"1145","0.500","63","61","547","503","1101","142","133","162","511","158","541","124","137","232","63","124","79","43","249",""
"1146","0.550","66","51","508","436","1057","123","120","139","486","137","552","106","141","202","64","156","58","41","189",""
"1147","0.600","67","60","502","451","1015","124","110","123","454","141","490","123","135","180","68","139","61","70","185",""
"1148","0.650","55","55","476","407","978","96","120","125","411","138","488","123","136","217","54","111","54","51","182",""
"1149","0.700","56","59","445","378","936","98","117","131","440","114","439","113","141","155","54","123","64","61","165",""
"1150","0.750","57","54","434","368","916","84","93","115","416","99","414","107","133","162","45","131","59","43","173",""
"1151","0.800","50","45","399","314","838","91","94","124","383","115","404","88","105","165","47","113","42","54","154",""
"1152","0.850","43","43","364","321","823","80","75","95","321","106","405","98","119","161","46","104","43","51","138",""
"1153","0.900","44","42","395","303","737","85","102","105","357","117","374","88","88","156","37","116","43","29","166",""
"1154","0.950","32","41","346","329","726","86","79","86","341","81","355","83","72","124","44","93","40","37","139",""
"1155","1.000","51","33","331","268","689","75","91","94","256","108","336","85","77","130","43","96","34","36","134",""
"1156","1.050","28","37","354","272","606","82","77","94","275","85","297","58","71","144","39","92","38","35","103",""
"1157","1.100","34","41","331","261","601","64","90","100","289","90","329","73","95","133","48","73","41","35","117",""
"1158","1.150","34","38","300","269","608","62","71","66","237","73","292","84","78","103","35","88","31","48","114",""
"1159","1.200","27","28","271","229","539","89","69","71","242","83","268","56","70","123","33","83","33","30","103",""
"1160","1.250","34","40","279","254","505","63","66","69","228","60","261","77","86","112","26","73","29","44","109",""
"1161","1.300","31","30","247","204","508","61","55","56","208","73","235","42","66","89","28","65","41","30","103",""
"1162","1.350","18","19","244","214","461","64","55","64","198","73","255","49","60","119","33","75","28","33","84",""
"1163","1.400","29","25","217","197","449","65","40","60","208","71","220","57","57","94","27","59","22","28","83",""
"1164","1.450","25","21","223","200","416","49","42","64","202","61","230","49","57","92","23","66","24","21","84",""
"1165","1.500","20","27","190","162","447","47","49","51","174","66","194","47","53","66","25","56","19","25","88",""
"1166","1.550","24","20","207","171","425","46","44","58","178","59","217","47","59","79","23","47","18","23","86",""
"1167","1.600","23","23","208","136","383","41","51","41","176","54","173","50","43","86","23","63","23","21","60",""
"1168","1.650","30","12","194","148","328","32","40","51","168","46","177","45","36","66","25","56","17","25","60",""
"1169","1.700","14","20","187","141","334","51","38","41","123","56","167","42","49","61","27","54","15","31","59",""
"1170","1.750","12","19","168","126","328","34","40","39","152","41","158","52","43","70","15","41","19","19","57",""
"1171","1.800","15","17","153","133","307","29","28","47","131","44","159","46","34","76","15","44","17","21","46",""
"1172","1.850","23","18","167","158","311","46","40","37","117","47","148","35","39","61","12","40","18","22","61",""
"1173","1.900","18","17","140","126","272","46","36","28","112","37","130","30","38","58","13","45","22","14","61",""
"1174","1.950","17","14","125","103","246","26","31","30","117","30","117","34","36","49","15","34","9","15","45",""
"1175","2.000","14","12","133","90","250","27","33","38","123","34","128","21","40","50","13","40","16","18","38",""
"1176","2.050","25","16","106","89","246","29","26","26","110","29","112","27","34","41","16","32","17","18","40",""
"1177","2.100","12","13","115","103","237","22","25","41","95","18","102","34","27","41","11","24","14","21","45",""
"1178","2.150","16","15","109","93","243","23","28","35","96","32","114","26","35","31","11","23","12","11","39",""
"1179","2.200","12","12","108","83","195","25","16","19","92","29","107","26","28","30","9","26","5","12","47",""
"1180","2.250","8","11","97","85","191","19","22","33","80","21","105","27","27","38","8","28","16","10","44",""
"1181","2.300","17","3","73","85","175","24","23","26","88","24","78","26","28","33","13","26","6","11","42",""
"1182","2.350","11","7","89","70","176","18","31","25","90","23","76","21","21","41","7","17","14","9","25",""
"1183","2.400","7","11","94","64","171","19","17","22","70","24","91","14","19","18","10","19","10","8","31",""
"1184","2.450","6","12","78","64","173","19","16","27","62","22","87","15","25","29","12","15","8","9","29",""
"1185","2.500","13","2","74","42","136","16","10","18","58","20","69","18","20","28","8","13","6","8","40",""
"1186","2.550","15","8","76","50","142","21","15","21","56","21","60","14","17","27","10","21","9","10","26",""
"1187","2.600","3","10","75","56","140","14","19","14","72","19","75","10","19","22","12","17","11","5","35",""
"1188","2.650","4","7","65","47","118","18","18","19","51","14","85","10","22","27","4","24","8","8","19",""
"1189","2.700","8","10","55","46","135","15","14","17","35","24","68","14","19","22","4","13","7","11","23",""
"1190","2.750","6","9","65","54","112","12","18","16","56","15","61","6","7","24","7","21","6","6","26",""
"1191","2.800","4","4","61","42","112","16","11","17","46","21","62","13","16","19","10","13","7","8","28",""
"1192","2.850","11","7","37","43","104","5","18","19","51","15","60","15","16","18","3","15","2","4","23",""
"1193","2.900","2","3","38","48","102","13","7","12","40","13","52","13","18","21","7","11","4","4","10",""
"1194","2.950","4","6","55","33","84","7","12","11","48","10","38","6","14","23","7","18","6","2","14",""
"1195","3.000","7","2","40","40","90","11","3","12","47","12","38","7","15","21","3","15","3","3","19",""
"1196","3.050","4","7","40","36","85","10","11","11","41","9","54","12","7","14","4","10","3","5","19",""
"1197","3.100","4","5","41","34","96","7","9","12","54","17","42","12","13","11","4","12","3","6","19",""
"1198","3.150","8","1","49","44","79","9","10","16","37","8","41","14","12","12","5","8","3","5","16",""
"1199","3.200","2","4","32","32","83","14","11","11","32","7","36","5","8","12","6","12","5","7","8",""
"1200","3.250","4","3","35","33","69","16","9","7","37","13","37","5","6","16","1","12","2","7","20",""
"1201","3.300","4","5","28","31","63","7","7","15","32","5","38","11","7","19","3","12","3","6","5",""
"1202","3.350","0","2","28","31","73","11","6","10","28","5","30","3","11","10","7","3","5","2","10",""
"1203","3.400","4","4","29","29","79","7","5","8","21","10","35","7","12","11","5","8","3","4","14",""
"1204","3.450","4","2","28","25","74","12","6","4","22","11","29","5","3","15","1","10","0","5","8",""
"1205","3.500","2","1","29","14","70","6","6","12","22","3","25","7","5","16","0","8","3","3","13",""
"1206","3.550","5","5","24","24","59","9","7","3","30","5","35","4","7","12","3","8","2","3","7",""
"1207","3.600","2","5","21","23","54","4","8","5","19","5","23","6","7","12","2","8","2","3","8",""
"1208","3.650","2","1","21","18","56","4","4","12","24","6","19","6","8","7","4","9","4","6","13",""
"1209","3.700","1","1","19","24","45","6","2","1","18","5","19","4","10","13","4","7","4","3","7",""
"1210","3.750","5","4","26","15","40","1","1","3","19","9","27","3","4","9","3","7","1","1","9",""
"1211","3.800","1","3","21","18","30","6","3","4","20","8","21","6","3","5","2","3","2","1","5",""
"1212","3.850","1","4","13","21","37","9","4","11","16","6","21","9","5","9","3","0","3","5","6",""
"1213","3.900","3","4","21","17","35","6","6","2","21","5","26","3","2","11","2","1","2","2","6",""
"1214","3.950","3","2","11","18","39","3","4","7","12","1","17","6","5","8","2","6","5","1","9",""
"1215","4.000","3","2","20","13","32","3","3","4","18","2","20","3","4","6","2","7","3","3","6",""
"1216","4.050","2","1","10","17","27","1","4","4","12","3","16","4","3","6","1","2","4","2","2",""
"1217","4.100","3","3","17","14","35","3","5","5","16","2","15","0","4","9","1","5","1","0","8",""
"1218","4.150","1","3","14","11","22","2","3","3","6","8","20","2","1","10","3","4","1","1","5",""
"1219","4.200","2","0","13","14","25","2","5","3","13","10","11","2","2","5","0","5","1","1","14",""
"1220","4.250","1","2","8","14","17","0","4","4","6","2","14","5","3","4","2","2","2","0","8",""
"1221","4.300","4","4","11","10","22","3","1","3","7","6","16","5","6","3","3","4","1","0","4",""
"1222","4.350","2","1","17","11","33","4","1","3","11","5","10","4","3","3","2","3","1","1","8",""
"1223","4.400","2","1","12","4","26","2","0","2","6","2","14","5","2","3","0","1","5","1","3",""
"1224","4.450","0","2","8","20","27","3","3","5","8","4","8","2","3","2","1","1","3","0","7",""
"1225","4.500","0","1","10","7","22","2","3","5","8","1","8","4","4","4","2","3","1","1","5",""
"1226","4.550","1","0","9","4","19","0","1","4","17","3","12","1","4","6","1","1","3","0","6",""
"1227","4.600","0","1","12","13","26","0","1","2","3","1","5","1","6","7","0","6","2","3","9",""
"1228","4.650","4","1","8","6","13","3","3","4","6","1","11","1","3","1","0","3","1","0","3",""
"1229","4.700","0","0","7","3","15","2","0","1","12","4","10","2","1","0","0","3","2","0","0",""
"1230","4.750","1","0","9","8","19","4","1","2","12","4","5","0","3","2","1","4","3","2","3",""
"1231","4.800","0","2","8","7","14","1","2","3","8","4","9","0","3","1","1","2","2","2","4",""
"1232","4.850","1","1","10","4","13","1","3","1","6","2","4","2","2","4","1","3","0","0","1",""
"1233","4.900","0","0","8","4","8","0","0","3","5","2","6","0","1","3","3","1","1","0","4",""
"1234","4.950","13","19","142","109","234","38","31","38","114","32","158","39","39","43","24","47","20","12","64",""
