"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"387","0","0.000000","0.000000","0.004275","0.004694","0.004123","0.009542","0.012698","0.001452","0.001724","0.005254","0.005892","0.001550","0.004605","0.000000","0.000000","0.004479","0.000000","0.000000","0.001898",""
"388","5","0.000000","0.000000","0.003838","0.005739","0.004207","0.013907","0.008661","0.001401","0.001638","0.004790","0.006384","0.001393","0.004612","0.005617","0.019497","0.003812","0.000000","0.000000","0.001769",""
"389","10","0.000000","0.000000","0.003719","0.004801","0.002861","0.007996","0.008543","0.001520","0.001434","0.006636","0.005459","0.001472","0.003411","0.005116","0.001734","0.008085","0.000000","0.000000","0.001517",""
"390","15","0.000000","0.001332","0.003903","0.005607","0.005813","0.008971","0.009106","0.001784","0.001645","0.002887","0.005682","0.001178","0.003999","0.003588","0.004489","0.003678","0.003090","0.005681","0.001486",""
"391","20","0.008691","0.001950","0.003789","0.003865","0.004379","0.013445","0.010057","0.001349","0.001473","0.003449","0.005801","0.001403","0.004523","0.005462","0.006163","0.005018","0.010962","0.005315","0.001338",""
"392","25","0.008610","0.001669","0.003928","0.005163","0.003904","0.006681","0.010210","0.001740","0.001606","0.003056","0.006304","0.001355","0.004637","0.003815","0.001485","0.006766","0.004464","0.004292","0.001873",""
"393","30","0.014816","0.001308","0.005022","0.004578","0.005888","0.014375","0.012074","0.002096","0.002005","0.003455","0.005596","0.002517","0.006502","0.008831","0.006224","0.003729","0.003659","0.010193","0.002481",""
"394","35","0.009448","0.001593","0.003904","0.005610","0.004811","0.010522","0.007518","0.001911","0.002476","0.006217","0.005252","0.001248","0.004501","0.008726","0.001741","0.003887","0.007784","0.011496","0.001559",""
"395","40","0.007442","0.002216","0.003994","0.006460","0.003927","0.007817","0.011129","0.001572","0.001888","0.008314","0.007025","0.002470","0.004121","0.005763","0.007298","0.003620","0.003993","0.004467","0.001676",""
"396","45","0.007598","0.000000","0.003745","0.004384","0.005252","0.006992","0.007579","0.001735","0.001534","0.002950","0.006641","0.001167","0.003379","0.003397","0.001411","0.008689","0.004392","0.003249","0.001473",""
"397","50","0.000000","0.000000","0.003836","0.003726","0.000000","0.000000","0.007750","0.000000","0.003151","0.003113","0.006539","0.000000","0.003053","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",""
"398","55","0.000000","0.000000","0.003978","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",""
"399","60","0.008446","0.001517","0.003844","0.004421","8.878043","2.838531","0.000000","0.001374","0.001377","0.002782","0.003894","0.000000","0.003422","0.004115","0.001362","0.004590","0.003350","0.003592","0.001303",""
"400","65","0.008287","0.001169","0.003785","0.013248","0.414228","0.000000","0.008277","0.001506","0.001404","0.002820","0.003949","0.001033","0.004320","0.003913","0.000000","0.003769","0.003760","0.000000","0.001448",""
"401","70","0.000000","0.002313","0.003906","0.003880","16.874170","0.023390","0.000000","0.000000","0.001480","0.003312","0.005800","0.000000","0.004054","0.004021","0.000000","0.004450","0.003106","0.003923","0.000000",""
"402","75","0.008315","0.001440","0.004732","0.007962","19.084820","12.922726","0.008089","0.001250","0.001450","0.003178","0.007007","0.001422","0.003744","0.004110","0.000000","0.011342","0.004520","0.005153","0.001431",""
"403","80","0.009416","0.001555","0.007784","0.003776","19.252194","8.752513","0.007230","0.001426","0.001504","0.014325","0.006155","0.001396","0.003916","0.013127","0.001923","0.010545","0.005092","0.003916","0.001391",""
"404","85","0.014997","0.001528","0.005087","0.005529","11.144321","2.237819","0.012840","0.002471","0.001687","0.006314","0.003887","0.001539","0.005316","0.008378","0.000000","0.008195","0.003277","0.003896","0.001435",""
"405","90","0.007127","0.000000","0.004088","0.004896","3.928017","1.394107","0.010491","0.001269","0.001508","0.007098","0.003996","0.001848","0.003804","0.004258","0.006958","0.003910","0.004163","0.003481","0.001418",""
"406","95","0.007219","0.001575","0.003527","0.004295","3.202302","0.554217","0.007083","0.002170","0.001278","0.004561","0.006883","0.001340","0.003501","0.003699","0.001264","0.007558","0.002836","0.003510","0.001298",""
"407","100","0.007141","0.001657","0.004666","0.004035","3.877022","2.245743","0.007884","0.001529","0.001363","0.004697","0.003585","0.001398","0.003510","0.003570","0.001699","0.003444","0.003997","0.003526","0.001539",""
"408","105","0.012167","0.000000","0.004411","0.004099","2.912406","1.397928","0.008167","0.002017","0.001217","0.010826","0.003909","0.002373","0.004957","0.008036","0.001455","0.004006","0.013335","0.003249","0.002240",""
"409","110","0.006692","0.001454","0.003587","0.007137","2.744106","3.397845","0.007264","0.001301","0.001273","0.007874","0.004864","0.001457","0.003310","0.003482","0.003529","0.003567","0.004911","0.004060","0.001199",""
"410","115","0.007610","0.001373","0.003821","0.005930","3.753683","1.601593","0.008156","0.001465","0.001369","0.004115","0.003688","0.001501","0.003310","0.006089","0.001381","0.004497","0.000000","0.022986","0.001471",""
"411","120","0.006523","0.001168","0.003661","0.004474","3.753166","1.317374","0.007283","0.001235","0.001499","0.006194","0.003303","0.001122","0.004250","0.006277","0.001381","0.004319","0.003232","0.003322","0.001492",""
"412","125","0.000000","0.001364","0.004030","0.003394","2.461482","1.141161","0.006744","0.001431","0.001310","0.003308","0.003430","0.001241","0.003671","0.003783","0.001457","0.003550","0.012828","0.016677","0.001258",""
"413","130","0.006744","0.001459","0.003598","0.007747","3.476673","0.492201","0.007221","0.001556","0.001993","0.003584","0.003540","0.001883","0.003755","0.003712","0.001255","0.008973","0.010900","0.003713","0.001213",""
"414","135","0.012466","0.001186","0.003602","0.004226","2.891504","3.127563","0.007800","0.001350","0.001367","0.007322","0.004550","0.001638","0.003327","0.004474","0.001254","0.003307","0.003513","0.005126","0.002296",""
"415","140","0.006994","0.001422","0.003362","0.005971","0.883540","0.373275","0.007187","0.001152","0.001428","0.005742","0.005372","0.003045","0.003545","0.003958","0.002482","0.007558","0.003822","0.003950","0.001512",""
