"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"387","0","0.000000","0.000000","0.004125","0.006925","0.005252","0.008136","0.019209","0.001573","0.001950","0.005152","0.005871","0.001820","0.003870","0.004209","0.000000","0.006465","0.000000","0.000000","0.001126"
"388","5","0.000000","0.000000","0.003436","0.003599","0.000000","0.000000","0.008552","0.001253","0.001328","0.003207","0.007460","0.001253","0.003395","0.000000","0.000000","0.003371","0.000000","0.000000","0.001625"
"389","10","0.000000","0.000000","0.003313","0.003663","0.000000","0.000000","0.000000","0.000000","0.001654","0.000000","0.000000","0.000000","0.003855","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"390","15","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.003940","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"391","20","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"392","25","0.000000","0.000000","0.000000","0.004788","21.883583","0.000000","0.000000","0.000000","0.000000","0.000000","0.011738","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"393","30","0.000000","0.000000","0.004485","0.012204","23.600392","10.660587","0.018397","0.007316","0.002128","0.006295","0.005047","0.001269","0.003887","0.003729","0.000000","0.004313","0.000000","0.000000","0.002025"
"394","35","0.000000","0.000000","0.003799","0.005803","8.015653","3.968767","0.009619","0.001398","0.001425","0.002891","0.003898","0.001359","0.006154","0.003886","0.000000","0.003497","0.000000","0.000000","0.001544"
"395","40","0.000000","0.000000","0.003801","0.006073","5.213930","3.413246","0.009021","0.001207","0.001415","0.003188","0.003784","0.001427","0.003936","0.006820","0.005113","0.007898","0.000000","0.000000","0.001726"
"396","45","0.000000","0.000000","0.004761","0.006023","4.893621","3.101275","0.008729","0.001219","0.001702","0.003329","0.007069","0.002166","0.003340","0.004134","0.006866","0.003515","0.000000","0.000000","0.001971"
"397","50","0.000000","0.000000","0.003353","0.008526","4.976243","3.008026","0.007875","0.001178","0.002081","0.002862","0.003560","0.001369","0.003845","0.003761","0.009491","0.003743","0.000000","0.000000","0.001751"
"398","55","0.000000","0.001371","0.003487","0.003328","3.895559","2.962377","0.010965","0.001297","0.001435","0.006081","0.006584","0.001798","0.003438","0.003895","0.007782","0.007903","0.000000","0.000000","0.001286"
"399","60","0.000000","0.001880","0.004579","0.005363","4.653194","2.490079","0.008336","0.002457","0.001438","0.004562","0.003982","0.001284","0.003246","0.003413","0.001596","0.003686","0.003937","0.004185","0.001761"
"400","65","0.008935","0.001175","0.003259","0.003309","2.803796","2.822172","0.008053","0.001287","0.001722","0.003004","0.004503","0.001211","0.003236","0.009117","0.001844","0.003218","0.003204","0.003127","0.001343"
"401","70","0.007662","0.001388","0.003803","0.006163","2.484785","2.973494","0.007314","0.001467","0.002073","0.003039","0.005728","0.002900","0.004602","0.005827","0.013824","0.003622","0.004425","0.003614","0.001481"
"402","75","0.009116","0.001156","0.003939","0.003141","2.990328","0.150679","0.007946","0.001542","0.001174","0.002736","0.008661","0.001084","0.003343","0.002920","0.001239","0.012550","0.004559","0.003414","0.001190"
"403","80","0.009853","0.001612","0.003869","0.005270","2.624778","1.719972","0.007581","0.001208","0.001449","0.003586","0.006002","0.001511","0.003763","0.004853","0.001360","0.003509","0.003778","0.003196","0.001509"
"404","85","0.020685","0.001573","0.003828","0.003487","3.362675","1.765287","0.016229","0.001571","0.001600","0.003078","0.003377","0.005535","0.003490","0.003606","0.001315","0.003048","0.003588","0.003111","0.001723"
"405","90","0.007404","0.001399","0.003490","0.005110","3.814282","2.064807","0.008353","0.001293","0.001248","0.003609","0.004590","0.001063","0.003302","0.006637","0.002084","0.003273","0.003720","0.003355","0.001167"
"406","95","0.007707","0.001681","0.003548","0.003715","2.675912","2.034212","0.015810","0.001885","0.001479","0.003223","0.003911","0.001630","0.003561","0.004622","0.001354","0.003457","0.003349","0.012488","0.001751"
"407","100","0.008241","0.001448","0.004002","0.003552","1.905257","1.974924","0.011673","0.001340","0.001368","0.003894","0.005530","0.001268","0.003427","0.003344","0.001363","0.003769","0.022794","0.005207","0.001389"
"408","105","0.006824","0.001270","0.003742","0.005751","2.929549","1.091155","0.026951","0.001141","0.001175","0.003485","0.004876","0.001201","0.004039","0.007992","0.001076","0.003461","0.002895","0.003067","0.001314"
"409","110","0.007131","0.002648","0.003730","0.006030","4.270734","2.467039","0.007529","0.001247","0.001592","0.003581","0.005474","0.001292","0.004351","0.006705","0.001307","0.003405","0.003374","0.012811","0.001197"
"410","115","0.006811","0.001029","0.003597","0.006892","4.826307","4.137775","0.006917","0.001400","0.001311","0.002663","0.003491","0.001161","0.003391","0.003126","0.001518","0.003866","0.002792","0.000000","0.001111"
"411","120","0.007568","0.001100","0.003344","0.004085","5.289342","2.719692","0.009123","0.001412","0.001151","0.002875","0.005446","0.001116","0.003283","0.003493","0.001163","0.005202","0.003574","0.005137","0.001433"
"412","125","0.007592","0.001288","0.003723","0.007499","5.406721","3.278759","0.010744","0.001705","0.001490","0.006881","0.007024","0.001600","0.003718","0.007077","0.001453","0.007178","0.003580","0.003358","0.001248"
"413","130","0.006798","0.001308","0.003396","0.003199","3.884604","2.682909","0.007227","0.001464","0.001175","0.002753","0.006587","0.001216","0.003448","0.007560","0.001178","0.003264","0.003443","0.015994","0.001467"
"414","135","0.019440","0.001234","0.003909","0.004876","4.969387","2.754939","0.007049","0.001137","0.001150","0.010266","0.005582","0.001179","0.004383","0.008422","0.001340","0.003577","0.003736","0.003028","0.001235"
"415","140","0.000000","0.001179","0.004041","0.003785","5.218562","8.204535","0.006952","0.001333","0.001152","0.007273","0.003708","0.001454","0.004033","0.000000","0.000000","0.003688","0.003155","0.003042","0.001220"
"416","145","0.008873","0.001137","0.004749","0.009210","6.950216","3.660790","0.007703","0.001163","0.001306","0.012851","0.004683","0.002868","0.005025","0.007223","0.001413","0.003657","0.003014","0.003695","0.001490"
"417","150","0.006794","0.001803","0.004661","0.003381","4.381597","1.737527","0.006860","0.001217","0.001467","0.003287","0.007120","0.001510","0.003179","0.006275","0.001534","0.003473","0.003296","0.002917","0.002298"
"418","155","0.010010","0.001660","0.004039","0.005905","2.065161","1.826204","0.008652","0.001320","0.001585","0.006731","0.003384","0.001211","0.003503","0.004165","0.005627","0.003718","0.003491","0.003106","0.001238"
"419","160","0.006606","0.001438","0.003459","0.007107","2.575326","1.635218","0.006934","0.001150","0.001255","0.005534","0.003380","0.001139","0.003449","0.007434","0.001440","0.003203","0.003193","0.003338","0.001243"
"420","165","0.006199","0.001392","0.003665","0.004227","4.791930","0.000000","0.006915","0.001172","0.001589","0.002901","0.005411","0.001485","0.003719","0.003369","0.000000","0.003542","0.003913","0.003669","0.001340"
"421","170","0.006786","0.001193","0.003870","0.005173","6.326463","6.210103","0.007240","0.001446","0.001193","0.003070","0.003437","0.001073","0.003914","0.003495","0.000000","0.008185","0.000000","0.000000","0.001400"
