"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails","NA"
"1071","0.000","114","93","831","698","1646","200","182","210","681","208","825","180","207","328","79","229","97","109","332",""
"1072","0.050","76","94","798","658","1559","175","178","204","681","195","787","197","235","288","81","192","86","96","301",""
"1073","0.100","114","75","755","630","1453","163","163","191","612","210","724","159","204","296","93","180","83","73","273",""
"1074","0.150","71","86","682","592","1408","169","152","192","617","199","730","161","191","256","87","191","103","88","309",""
"1075","0.200","73","76","672","571","1309","142","134","175","611","166","674","139","159","285","98","169","72","73","272",""
"1076","0.250","87","60","611","553","1327","149","147","153","583","171","637","144","175","218","55","152","78","75","227",""
"1077","0.300","74","72","617","491","1198","136","136","169","513","145","604","142","168","240","82","161","67","69","247",""
"1078","0.350","68","72","552","493","1171","125","136","168","519","129","592","142","171","209","62","171","64","60","222",""
"1079","0.400","63","76","558","480","1116","150","119","135","474","155","534","134","145","237","83","125","56","75","192",""
"1080","0.450","59","72","518","430","1063","124","116","131","456","144","521","114","137","200","54","135","52","54","177",""
"1081","0.500","53","55","477","429","1005","121","100","152","439","129","482","112","135","217","68","153","68","57","169",""
"1082","0.550","54","47","434","400","937","102","128","122","418","128","443","125","148","170","53","125","49","58","196",""
"1083","0.600","51","45","452","399","873","81","113","132","414","115","458","107","121","181","42","118","48","52","154",""
"1084","0.650","62","43","432","365","816","97","90","120","344","112","448","86","114","150","38","112","39","58","156",""
"1085","0.700","56","37","367","351","839","76","114","95","366","145","397","84","98","156","52","110","47","50","171",""
"1086","0.750","52","50","373","321","769","91","80","99","330","118","392","88","96","141","42","125","47","45","127",""
"1087","0.800","40","52","371","300","710","85","98","109","329","99","371","77","113","133","46","97","43","51","157",""
"1088","0.850","30","41","345","284","690","81","87","94","285","87","336","87","87","147","56","81","35","41","128",""
"1089","0.900","39","46","318","269","631","76","93","86","301","94","315","70","84","139","31","101","41","44","123",""
"1090","0.950","43","40","310","269","586","58","60","87","252","88","327","54","88","111","36","91","35","25","118",""
"1091","1.000","32","32","304","234","604","62","61","89","272","80","319","66","77","119","44","85","31","40","146",""
"1092","1.050","41","33","290","232","527","54","52","53","231","73","290","61","70","110","27","64","39","34","107",""
"1093","1.100","30","40","280","227","536","66","58","79","246","82","257","63","71","106","25","77","27","24","107",""
"1094","1.150","22","30","252","221","496","71","65","71","216","60","251","57","65","106","32","66","29","40","96",""
