Title: ECSA-0w4HjPzIF1JB1B9INPVumIZ6NqWasTUC Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    0w4HjPzIF1JB1B9INPVumIZ6NqWasTUC.18Z


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         14.80     2.80    24.60   4.00       3.20       8.20  12.40  5.60         5.40            4.00           4.40        0.40       0.00           6.80        0.00     0.00         1.80
5                0.00    0.00         10.60     9.20    25.60   1.80       2.60       4.20  11.20  6.00        15.00            2.20           6.80        3.20       0.00           5.80        0.00     0.00         6.40
10               0.00    0.20         12.20     9.00    23.80   3.60       1.20       2.20  13.20  3.20        12.80            1.00           3.40        7.00       2.00           2.00        0.00     0.20         6.60
15               0.00    1.00          9.20     5.60    11.20   0.40       1.40       2.20   6.00  2.80         7.00            1.20           2.80        3.80       2.60           2.40        0.40     0.60         4.20
20               0.00    0.80          1.40     2.40     0.00   0.00       0.00       0.40   0.60  1.00         2.80            0.00           1.20        1.00       0.40           1.00        0.40     0.00         1.20
25               0.00    0.40          0.00     0.00     5.20   0.60       0.00       0.00   0.20  0.00         0.20            0.00           0.00        1.80       0.00           0.00        0.00     0.20         0.00
30               0.40    1.60          1.40     1.60     1.60   0.00       0.20       0.00   0.80  0.00         1.60            0.40           0.00        1.00       0.60           0.00        1.40     1.40         1.00
35               0.80    1.00          4.60     5.20    20.00   3.40       1.20       2.60   4.60  1.00         6.80            1.20           0.60        2.40       0.40           2.20        1.00     1.00         2.00
40               1.20    0.60         12.40     9.00    20.00   1.60       3.00       2.60  11.20  3.20         9.80            3.00           2.60        3.60       1.00           2.20        1.60     1.60         3.20
45               2.20    0.80         10.00     9.20    22.40   1.20       2.20       4.40   7.60  4.00        11.20            2.60           4.00        2.60       1.20           3.80        1.00     1.00         5.40
50               1.00    1.20          8.40    10.80    21.20   2.60       2.80       2.40   8.60  2.60        13.80            2.80           3.40        6.00       1.80           3.40        1.00     1.20         5.60
55               0.60    2.40         10.80     7.40    24.40   2.60       2.00       2.40  10.00  2.60        10.80            1.80           2.60        5.20       1.40           2.00        1.20     2.00         4.00
60               1.60    1.20         13.00    12.00    22.00   2.60       2.80       2.20  10.00  2.60        11.20            3.20           2.60        5.40       1.40           2.60        2.20     1.20         4.40
65               1.80    1.40         11.20     8.60    23.20   3.00       3.00       4.60  10.20  3.60        10.20            2.60           2.80        3.20       0.40           4.00        1.40     1.80         2.40
70               2.00    0.20         10.00    10.80    20.00   2.00       2.40       2.20   9.00  2.80        11.60            2.60           3.40        2.40       0.80           2.60        1.00     0.40         4.00
75               0.80    0.80         11.00     7.00    21.80   2.40       3.00       3.00  11.80  2.80         9.60            2.60           2.60        4.80       1.00           2.60        1.00     1.00         4.40
80               0.60    1.20         14.40     9.40    22.40   3.20       1.60       3.80  11.40  2.60        11.20            1.40           2.80        4.00       1.20           3.60        1.00     1.00         4.80
85               1.60    1.20         10.40     7.40    22.20   2.80       3.00       3.60   9.40  5.20         9.40            4.00           4.40        3.80       1.20           4.40        1.00     1.00         3.40
90               0.80    1.20         10.60    12.20    24.00   1.20       2.80       2.80   9.20  2.80        14.80            2.00           3.60        5.20       1.60           2.80        1.00     1.20         6.80
95               1.00    1.60         11.20     9.40    21.00   3.00       2.00       2.20  11.00  2.20        11.40            2.20           1.80        5.40       1.40           2.60        1.60     1.40         4.00
100              1.20    1.20         13.60     7.00    23.40   2.80       2.40       4.00  11.40  3.00         7.40            2.60           3.20        3.60       1.20           3.00        1.20     1.40         2.60
105              2.00    1.40          8.60     9.80    21.00   2.60       2.80       3.20   8.20  4.20        12.20            2.40           3.80        2.80       0.60           4.00        1.20     1.00         4.40
110              1.00    0.60         11.60     7.80    24.20   3.20       2.00       2.60  10.40  2.80        11.80            2.40           3.80        5.20       1.20           2.60        1.00     1.00         5.00
115              0.80    0.60         11.60    11.40    22.80   3.00       3.40       2.80  11.20  2.40        12.60            3.80           1.80        5.00       1.80           2.40        0.60     0.60         5.20
120              0.80    2.60         13.00     8.00    24.20   3.40       2.60       3.00  11.80  3.20        10.60            1.80           3.00        5.80       2.40           3.40        1.00     1.20         4.00
125              1.20    1.80         12.20    11.40    24.80   1.60       2.60       4.00   8.80  3.00        11.80            3.20           2.80        3.60       0.60           2.60        2.60     3.00         4.40
130              1.80    1.20         10.00     9.60    21.00   1.80       2.40       3.40   8.40  4.60        11.60            1.80           4.20        4.00       1.20           4.40        1.60     1.20         3.80
135              2.00    1.20         10.60    10.60    23.00   2.40       3.40       2.40   9.40  2.20        13.20            3.40           3.20        5.20       1.00           2.80        1.40     1.60         5.20
140              1.40    1.00         11.80    10.60    23.40   2.60       2.80       2.40  10.80  2.20        11.20            2.80           2.20        4.60       1.60           1.80        1.00     0.80         4.40
145              1.00    1.40         12.60     8.80    23.00   2.80       2.80       3.80  13.20  3.60        11.00            3.00           3.20        4.00       1.00           4.40        0.80     0.80         3.60
150              1.20    1.00         13.40     7.80    22.60   2.40       2.40       3.80  10.40  3.00         9.00            2.60           3.40        2.60       0.60           3.20        1.20     1.60         3.60
155              1.00    0.40         11.20    10.60    22.60   2.60       1.80       3.40  10.40  4.60        12.60            2.00           4.00        4.60       1.20           4.00        1.40     0.80         5.40
160              1.20    1.20          9.80     9.00    22.60   2.80       3.00       3.00   9.80  2.80        12.40            2.60           3.40        4.80       1.20           3.00        0.20     0.60         4.80
165              0.60    1.40         14.20     8.40    25.00   2.00       1.20       4.20  12.20  2.60        10.60            1.60           2.60        5.80       1.80           3.40        1.80     1.40         4.40
170              1.60    1.20          9.20     9.20    21.80   2.20       2.60       4.20   7.60  5.00        12.20            2.40           5.00        3.00       0.20           4.00        1.00     1.40         4.40
175              1.20    1.20         11.80     9.60    24.00   2.00       2.20       2.60  10.60  3.20        11.40            2.20           3.20        5.20       1.40           3.00        1.40     1.60         5.80
180              1.20    1.20          8.60    10.00    21.00   1.80       2.80       3.00   8.60  3.20        12.60            3.00           3.00        6.00       1.80           3.60        1.00     0.60         4.80
185              1.00    1.20         12.00     8.60    22.20   3.20       2.00       2.00  11.00  2.40        10.00            1.60           2.40        3.80       1.20           2.00        1.40     1.20         3.20
190              1.20    1.40         12.00     9.60    22.20   2.60       3.00       4.00  10.20  2.80        10.40            2.80           2.80        3.60       0.80           3.40        1.20     1.60         4.00
195              0.80    1.20         12.80     7.80    23.00   3.00       2.40       3.00  11.00  3.20        10.80            2.40           3.20        4.60       1.20           3.00        1.20     1.20         3.60
200              1.80    1.00         11.20     9.20    22.60   2.20       2.60       3.60   9.40  3.60        10.20            2.80           3.60        3.20       1.00           3.40        1.40     1.20         4.40
205              1.00    0.80          9.60     9.80    21.20   2.20       2.20       3.60  10.00  3.80        13.00            1.80           3.80        5.20       1.60           3.60        0.40     0.40         6.20
210              0.60    1.60         11.80     8.80    24.60   2.40       1.60       3.00  10.60  2.80        11.40            1.80           3.00        5.00       1.40           3.20        1.20     1.80         4.40
215              1.20    1.80         10.60     9.20    22.60   2.00       1.80       3.60   8.40  3.80        11.00            2.00           3.60        5.40       2.00           3.60        1.40     1.40         4.40
220              1.40    1.80         10.60     9.80    22.20   1.40       2.20       3.60   9.80  3.40        10.80            2.80           3.00        5.00       1.00           3.40        2.20     2.20         5.00
225              1.80    1.40         11.00    10.60    21.60   3.20       2.60       2.20   8.60  3.40        13.00            2.20           3.80        4.00       1.00           3.20        1.80     1.00         4.60
230              1.80    0.60         11.00    10.60    24.00   3.60       4.00       1.80  10.20  1.20        12.80            4.20           1.40        4.20       1.20           0.80        0.80     1.00         4.40
235              1.40    1.60         11.60     9.00    21.60   2.40       3.40       1.80  12.60  2.40         9.20            3.00           2.40        4.20       1.40           2.60        1.00     1.00         2.80
240              0.80    1.00         13.60     8.00    21.60   3.00       2.00       4.40   9.80  3.60         9.20            2.40           2.60        3.00       0.20           4.40        1.40     1.80         3.20
245              1.20    0.60          9.80     8.80    20.00   2.20       2.80       3.40   9.20  2.80        10.20            2.80           3.60        2.60       1.20           3.00        1.00     0.40         3.80
250              1.20    0.60         10.60     9.00    23.20   3.20       2.40       3.00  10.60  4.00        12.60            1.80           4.20        5.00       1.00           3.40        0.60     1.00         5.00
255              0.60    1.20         12.20     9.00    22.80   2.80       2.60       2.80  10.80  2.60        11.00            2.60           2.40        4.80       2.20           2.20        0.80     0.80         5.40
260              1.20    2.80         11.40     8.40    24.00   2.40       2.20       3.40   9.60  3.20        11.20            2.20           3.40        6.00       1.00           3.60        1.40     1.80         4.00
265              1.00    0.40         12.00     9.20    20.40   3.20       2.00       3.00   9.80  3.20         9.40            2.00           3.00        2.40       1.00           2.60        2.20     1.60         3.20
