Title: ECSA-NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    NtlokyJyrpfHz7uKUC4fjKzXX6QOMh9P.20W


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         20.00     0.80    28.20   8.40       2.20       7.00  20.20  4.00         2.60            2.60           2.40        0.00       0.00           5.40        0.00     0.00         1.00
5                0.00    0.00          8.60     6.60    23.00   0.40       2.40       6.60   7.40  7.40        11.80            2.00           8.00        2.00       0.00           7.00        0.00     0.00         4.60
10               0.00    0.00         10.20     9.60    22.60   3.40       0.60       3.20  11.20  4.00        14.60            0.80           4.40        5.40       1.80           3.40        0.00     0.00         8.40
15               0.00    1.20         10.80     8.00    22.20   2.40       0.80       3.20  10.60  3.60        11.00            1.00           3.40        7.60       3.40           3.80        0.40     0.40         6.80
20               0.20    3.40         10.80     8.20    25.00   0.80       0.80       4.40   7.20  3.60        10.60            0.60           3.20        6.60       1.40           3.80        2.60     3.40         5.40
25               2.00    1.40          9.00    10.00    20.20   2.20       1.60       2.80   6.40  3.20        12.40            2.40           3.80        5.00       1.80           3.00        2.60     2.00         4.80
30               2.20    1.60          7.80    13.20    20.80   2.20       3.60       1.00   6.60  2.00        14.80            3.80           2.20        5.00       1.40           1.60        1.20     1.60         6.00
35               2.00    2.00         13.80    11.00    24.60   3.80       4.40       1.00  12.00  0.80        10.80            3.40           1.20        5.00       1.60           0.80        1.80     1.20         2.00
40               1.60    1.80         12.60     8.40    22.60   2.60       3.60       3.00  12.20  2.80         8.80            4.20           2.00        3.40       0.40           3.00        2.00     2.00         1.80
45               1.60    0.40         12.60    11.20    22.00   2.80       2.80       3.80   9.60  3.20        10.60            2.60           3.40        2.00       1.20           3.80        1.20     1.20         3.60
50               2.00    1.20         10.20     7.80    22.60   2.40       2.80       3.40  11.40  3.00        11.20            3.40           3.20        4.40       1.00           3.00        0.20     0.60         4.40
55               0.60    0.80         11.60     9.00    22.60   2.40       1.60       4.80   9.80  4.60        11.20            0.80           3.40        3.40       1.00           4.80        1.00     0.80         5.00
60               0.80    1.00         10.00     8.40    18.80   2.00       1.40       2.20   8.80  3.20        11.20            2.00           4.40        4.60       1.40           2.80        0.80     0.80         4.60
65               1.00    1.80         10.20     8.40    23.20   2.20       2.40       3.20   9.20  2.80        10.60            2.60           2.20        6.20       2.20           2.60        2.00     2.00         5.20
70               1.00    1.20         10.00    11.00    23.20   2.20       3.00       2.40   8.40  2.40        13.00            2.00           3.20        3.60       0.80           2.80        1.00     1.40         4.60
75               1.60    1.20         11.20     9.20    21.60   2.80       2.40       2.80  10.80  3.20        10.40            3.00           2.60        4.60       1.60           2.80        1.20     1.20         4.20
80               1.40    2.00         14.00     9.40    24.40   2.60       3.00       3.80  10.60  3.40         9.40            3.20           2.80        4.00       0.40           3.20        2.20     1.60         3.00
85               1.60    0.40         11.80    10.60    23.40   2.80       3.20       3.20  12.40  3.40        14.20            2.80           3.80        3.60       1.20           3.80        1.00     1.00         4.80
90               1.40    0.60         11.00     9.00    22.00   2.40       2.60       3.20  10.20  2.60        10.40            2.40           2.80        4.40       1.40           2.20        0.00     0.60         4.60
95               0.20    1.60         12.60     7.20    25.00   4.60       1.60       3.40  11.60  3.60        10.20            2.40           3.80        5.00       1.20           4.00        1.80     1.40         3.80
100              1.40    1.20         10.20    11.40    20.40   2.40       3.20       2.40   9.40  3.00        13.40            2.40           3.00        3.60       1.60           2.40        1.20     1.00         6.00
105              1.20    1.80         10.40     9.00    23.80   1.40       2.60       3.80   8.00  3.60        10.60            2.20           3.00        5.60       1.60           3.60        1.20     1.80         4.60
110              1.40    2.00         11.60    10.00    23.60   2.40       2.00       2.00  10.20  3.00        13.20            2.60           3.80        5.60       1.40           2.80        1.40     1.20         5.20
115              1.60    1.20         13.80    11.40    23.60   1.80       2.20       4.40  10.20  2.40        10.00            2.20           1.60        4.20       1.20           3.60        2.20     2.00         3.00
120              1.60    1.00          9.20     8.80    22.20   2.40       2.00       3.60   9.20  5.00        12.40            2.60           5.20        4.40       1.20           4.40        0.80     1.00         5.00
125              1.60    1.00         10.60    10.80    20.40   1.80       4.00       1.40   9.40  1.80        12.40            3.00           2.60        4.40       1.40           1.40        1.60     1.20         5.80
130              1.00    0.80         10.80     8.60    22.60   4.40       2.20       3.20  10.40  2.60         9.20            2.80           1.80        4.20       1.20           2.80        0.80     0.80         2.00
135              0.80    2.20         13.80     7.40    22.80   3.80       3.20       1.80  12.00  2.00        10.00            2.80           2.80        3.40       0.40           2.00        1.20     1.80         3.60
140              1.40    0.40         10.60     9.60    22.00   2.80       3.20       3.80   9.40  3.40        10.40            4.00           3.20        3.20       1.60           3.40        1.60     1.20         3.40
145              1.40    1.00         11.20     9.60    21.20   1.80       3.60       2.40  10.80  2.60        11.40            3.20           2.60        3.80       1.00           3.20        0.40     0.20         4.40
150              0.60    1.20         13.20     8.00    24.20   2.80       1.80       4.40  11.20  4.00        10.40            1.20           3.80        4.60       0.80           3.80        1.20     1.20         3.60
155              0.80    0.80         10.00     8.80    20.00   3.20       2.00       3.40   9.40  3.80        11.20            2.20           3.00        3.00       1.80           3.40        1.40     1.40         6.00
160              1.60    2.00         10.00     9.80    24.20   1.60       2.40       2.40   8.40  2.00        13.00            2.80           3.40        6.40       1.40           3.00        1.00     1.00         4.60
165              1.40    1.20         11.80     9.80    21.00   3.20       2.40       2.00  11.20  2.60         9.20            2.20           2.20        4.20       1.00           1.60        1.60     2.20         3.00
170              1.40    1.20         11.00     9.80    22.20   3.20       3.20       4.00   8.60  2.80        10.00            3.00           2.20        3.20       1.40           3.40        1.40     1.00         4.20
175              1.40    1.80          9.40    10.20    22.40   1.80       3.00       2.00   8.80  3.40        14.40            3.00           4.20        4.40       1.60           2.60        1.00     1.00         5.20
180              1.40    1.20         12.00    10.20    22.60   3.00       2.60       2.40  11.20  2.00        11.00            2.60           1.80        5.60       1.80           2.40        1.60     1.60         4.40
185              0.80    1.40         11.40     8.60    22.00   2.20       2.60       2.00   9.80  2.40        10.00            3.20           1.80        3.60       1.00           2.20        1.60     1.40         3.40
190              1.20    1.40         11.40     7.60    21.20   2.60       2.00       4.40  10.00  3.60         9.60            1.80           3.60        3.20       0.60           4.20        0.80     1.20         3.40
195              2.00    0.80         11.00    10.40    21.20   2.80       3.60       2.60   9.00  2.80        10.60            3.40           3.80        3.60       0.60           2.40        2.20     1.80         3.80
200              1.60    0.40         13.20     9.00    22.60   3.60       2.60       3.60  12.00  3.00        10.40            3.00           2.20        4.00       1.40           3.40        0.00     0.20         4.20
205              0.40    1.40          9.60     9.00    23.20   2.20       2.80       3.80  10.40  4.40        12.60            2.00           3.80        4.00       1.60           3.80        0.80     0.80         4.20
210              0.60    1.20         10.80     8.80    22.20   2.40       1.60       3.20   9.60  2.60        12.00            1.80           3.20        4.80       0.80           2.40        1.00     1.40         5.40
215              1.20    1.60         10.20     9.20    20.20   1.60       2.60       1.60   6.80  3.00        10.20            2.60           3.20        4.40       2.40           3.00        2.20     1.60         4.20
