Title: ECSA-SPcNECLXdICA1VtPPlPxv4WonVlP5SuW Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    SPcNECLXdICA1VtPPlPxv4WonVlP5SuW.13J


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         16.00     2.40    20.80   3.00       4.20       6.00  14.80  4.60         4.60            5.20           3.80        0.20       0.00           5.80        0.00     0.00         1.20
5                0.00    0.00          5.40     2.80     0.00   0.00       1.40       0.60   2.80  2.80         2.40            0.20           3.40        0.00       0.00           1.20        0.00     0.00         0.80
10               0.00    0.00          0.20     0.20     0.00   0.00       0.00       0.00   0.20  0.00         0.00            0.00           0.20        0.00       0.00           0.00        0.00     0.00         0.00
15               0.00    0.00          0.00     0.00     0.00   0.00       0.00       0.00   0.00  0.00         0.20            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
20               0.00    0.00          0.00     0.00     0.00   0.00       0.00       0.00   0.00  0.00         0.00            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
25               0.00    0.00          0.00     0.20     6.00   0.00       0.00       0.00   0.00  0.00         1.00            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
30               0.00    0.00          3.80     5.60    12.00   1.60       1.00       3.60   4.40  2.80         9.60            1.20           2.00        1.80       0.00           3.40        0.00     0.00         4.40
35               0.00    0.00          6.60     3.40    10.40   1.00       0.60       1.00   6.60  1.60         5.20            0.60           2.20        2.40       0.00           1.00        0.00     0.00         2.20
40               0.00    0.00          5.00     3.40     9.80   1.40       0.40       2.00   5.60  1.40         6.00            0.40           1.60        2.40       0.80           1.80        0.00     0.00         3.00
45               0.00    0.00          6.20     3.60    10.20   1.60       1.00       1.00   5.80  1.40         4.00            0.80           1.40        2.40       1.40           1.20        0.00     0.00         3.20
50               0.00    0.00          4.40     3.20    12.60   1.60       0.80       2.00   4.60  1.20         6.20            0.80           0.80        2.00       1.20           1.60        0.00     0.00         3.00
55               0.00    1.60          5.40     3.40    12.60   0.80       1.00       2.20   5.80  2.40         5.00            1.00           2.40        4.40       1.20           2.20        0.00     0.00         2.00
