"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"1554","0.000","80","76","739","640","1473","171","197","205","706","197","735","181","199","304","98","198","80","101","288"
"1555","0.050","87","94","683","628","1366","168","161","197","630","190","719","161","189","287","77","185","83","69","303"
"1556","0.100","77","83","701","554","1408","143","155","172","574","190","659","137","184","261","76","170","78","86","262"
"1557","0.150","71","88","665","598","1277","138","143","177","585","162","635","150","178","210","76","175","82","85","258"
"1558","0.200","75","68","591","524","1234","152","157","160","519","155","624","137","182","215","83","176","77","75","232"
"1559","0.250","51","62","561","517","1076","135","135","151","521","168","562","144","155","223","61","150","50","70","214"
"1560","0.300","61","62","570","480","1068","111","124","132","433","141","583","113","158","223","60","119","67","52","210"
"1561","0.350","56","67","484","448","1044","131","113","142","459","134","519","106","130","196","71","156","55","61","208"
"1562","0.400","55","53","516","430","1036","110","134","113","423","123","520","148","142","207","70","121","52","58","210"
"1563","0.450","60","46","485","423","1006","97","110","137","405","133","456","112","129","179","66","143","62","51","192"
"1564","0.500","55","60","440","386","887","116","95","113","403","130","487","95","113","187","62","142","54","51","180"
"1565","0.550","49","48","419","363","836","119","107","108","378","117","438","93","121","183","54","125","56","46","156"
"1566","0.600","46","45","420","317","875","98","78","112","338","99","420","97","118","161","49","119","45","42","162"
"1567","0.650","44","44","428","332","779","82","84","103","339","115","363","87","94","130","43","112","37","45","141"
"1568","0.700","35","42","403","288","714","74","94","98","344","86","358","82","79","139","44","106","44","56","164"
"1569","0.750","53","48","366","286","718","76","60","103","305","95","350","72","98","134","36","96","45","41","135"
"1570","0.800","38","38","321","271","674","81","67","88","300","89","344","89","107","124","33","83","38","47","121"
"1571","0.850","30","41","294","251","627","80","102","74","292","87","316","73","76","117","43","89","47","48","130"
"1572","0.900","37","30","294","268","635","73","68","87","292","71","298","74","78","132","38","79","34","34","115"
"1573","0.950","33","37","286","250","588","53","58","64","279","78","281","56","70","119","33","80","47","29","101"
"1574","1.000","29","32","286","218","530","83","76","81","254","73","277","51","83","86","32","68","31","22","99"
"1575","1.050","34","33","265","204","508","42","58","79","238","68","254","65","63","108","29","75","34","37","117"
"1576","1.100","32","34","240","204","517","53","43","54","241","59","297","55","65","87","31","72","30","39","82"
"1577","1.150","37","30","237","204","472","72","59","54","221","52","230","67","60","93","28","62","27","22","108"
"1578","1.200","34","23","219","185","419","41","50","80","174","69","210","57","68","82","23","64","23","15","104"
"1579","1.250","30","25","220","191","397","41","46","54","198","54","218","49","52","67","29","50","21","24","73"
"1580","1.300","20","22","227","193","380","51","48","63","173","67","208","39","53","86","23","48","17","19","65"
"1581","1.350","24","16","194","169","359","43","44","44","186","48","203","59","44","87","19","65","17","17","73"
"1582","1.400","23","19","181","140","362","42","45","44","155","44","158","48","50","70","24","53","29","13","73"
"1583","1.450","22","21","171","156","357","37","32","48","164","62","151","47","46","71","23","47","22","15","69"
"1584","1.500","21","13","182","144","336","37","44","54","123","52","182","42","49","52","19","38","25","28","62"
"1585","1.550","16","24","153","138","313","48","31","44","158","36","163","34","46","65","19","33","23","14","62"
"1586","1.600","15","21","131","129","280","33","40","34","139","46","130","35","31","61","18","41","20","14","45"
"1587","1.650","19","14","123","104","301","36","35","45","141","41","131","44","38","58","16","41","20","21","59"
"1588","1.700","27","13","125","99","302","29","21","37","128","35","140","29","35","49","14","37","10","10","52"
"1589","1.750","19","10","133","86","282","31","30","39","113","43","123","23","35","44","16","32","17","14","44"
"1590","1.800","11","11","108","110","231","31","28","33","103","34","130","30","36","53","13","29","13","16","39"
"1591","1.850","8","14","116","108","232","22","34","30","88","34","100","19","36","48","7","26","11","16","36"
"1592","1.900","11","15","110","79","241","20","23","30","104","28","113","22","26","31","12","23","12","11","43"
"1593","1.950","8","14","85","117","232","21","20","22","92","27","109","28","32","41","12","26","12","12","46"
"1594","2.000","13","15","109","86","176","25","35","34","66","28","105","24","25","31","12","20","12","17","36"
"1595","2.050","11","17","108","86","176","30","27","29","92","24","108","21","30","43","5","34","8","16","24"
"1596","2.100","7","11","96","77","178","14","20","18","80","31","85","19","20","48","14","23","10","8","37"
"1597","2.150","16","10","83","81","167","14","20","33","77","23","84","23","24","20","10","23","6","11","35"
"1598","2.200","12","6","82","63","177","13","20","25","72","33","76","21","22","34","7","21","9","11","21"
"1599","2.250","17","11","84","59","164","21","21","24","77","15","96","15","23","32","12","30","10","14","24"
"1600","2.300","8","7","72","61","158","16","24","25","56","23","74","18","15","23","6","17","11","11","24"
"1601","2.350","11","8","65","58","171","20","17","20","58","11","56","11","19","33","6","17","4","14","20"
"1602","2.400","15","6","46","53","113","19","18","13","48","16","80","15","17","25","6","13","10","12","21"
"1603","2.450","8","2","57","63","150","22","13","12","69","21","65","10","14","23","5","14","7","7","35"
"1604","2.500","8","6","52","49","120","11","15","19","39","10","66","14","11","27","6","19","5","7","21"
"1605","2.550","4","8","56","56","139","14","11","14","51","15","73","12","16","24","6","18","6","9","14"
"1606","2.600","5","9","60","56","101","4","13","14","35","13","58","14","16","19","9","12","6","10","17"
"1607","2.650","4","5","54","41","119","10","11","11","51","13","49","14","18","25","4","13","9","2","27"
"1608","2.700","5","8","50","40","116","11","9","12","46","8","44","11","12","19","5","10","9","3","10"
"1609","2.750","3","5","53","33","84","13","8","15","31","13","45","12","15","19","7","15","7","3","21"
"1610","2.800","6","3","43","32","94","4","11","18","42","6","47","11","19","18","7","13","3","9","17"
"1611","2.850","3","7","49","33","90","9","8","4","34","9","49","15","14","15","4","13","8","3","20"
"1612","2.900","3","1","53","32","82","12","13","12","33","7","34","9","13","21","3","17","5","9","13"
"1613","2.950","3","5","33","36","73","10","9","11","37","6","43","11","7","16","4","7","3","0","14"
"1614","3.000","8","5","41","37","84","8","7","17","31","6","29","7","7","20","3","14","1","5","17"
"1615","3.050","7","3","40","37","67","9","6","5","38","12","41","6","7","19","3","10","6","2","22"
"1616","3.100","2","3","37","28","54","9","4","13","26","10","31","6","10","8","2","4","5","2","14"
"1617","3.150","10","5","39","25","64","11","7","5","23","10","25","10","7","12","5","11","5","4","8"
"1618","3.200","5","3","32","31","64","10","2","11","23","9","30","11","7","11","0","7","2","1","13"
"1619","3.250","2","3","24","17","55","9","4","7","18","12","26","6","6","20","3","9","1","2","10"
