"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"387","0","0.000000","0.000000","0.004721","0.012593","0.004833","0.008418","0.012180","0.002226","0.001932","0.004812","0.004064","0.001848","0.004012","0.000000","0.000000","0.006663","0.000000","0.000000","0.001374"
"388","5","0.000000","0.000000","0.004075","0.004557","0.004241","0.007637","0.008932","0.002181","0.001722","0.004338","0.005274","0.002301","0.004285","0.004284","0.021862","0.004153","0.000000","0.000000","0.001582"
"389","10","0.000000","0.000000","0.004400","0.006224","0.004046","0.007494","0.015100","0.001638","0.001848","0.003744","0.006426","0.001287","0.004136","0.006264","0.006016","0.006400","0.000000","0.000000","0.001716"
"390","15","0.000000","0.001622","0.003556","0.004470","0.004188","0.007569","0.007812","0.001346","0.001636","0.005676","0.006857","0.001551","0.004268","0.005363","0.001231","0.003508","0.003990","0.004137","0.001349"
"391","20","0.000000","0.001387","0.004850","0.005464","0.009141","0.000000","0.008202","0.001588","0.001364","0.003303","0.005640","0.001608","0.003904","0.004996","0.001325","0.004270","0.003267","0.004083","0.001618"
"392","25","0.000000","0.000000","0.003808","0.003586","0.000000","0.000000","0.000000","0.000000","0.000000","0.002812","0.003904","0.000000","0.004605","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"393","30","0.000000","0.001579","0.000000","0.000000","9.865987","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.003866","0.002097","0.000000","0.000000","0.004060","0.000000"
"394","35","0.000000","0.001699","0.003757","0.003897","0.314688","0.339131","0.000000","0.001235","0.001296","0.003319","0.009002","0.000000","0.004177","0.003687","0.001549","0.003982","0.004016","0.003957","0.001855"
"395","40","0.008282","0.001447","0.003807","0.003838","0.267089","0.013626","0.007826","0.000000","0.001363","0.000000","0.003743","0.001621","0.000000","0.003721","0.000000","0.000000","0.003827","0.004079","0.001477"
"396","45","0.008355","0.004888","0.004041","0.003768","18.701733","33.656342","0.008479","0.000000","0.001561","0.000000","0.003217","0.001582","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"397","50","0.007872","0.001571","0.004474","0.006224","24.922580","20.976981","0.013047","0.001738","0.001510","0.009858","0.004339","0.003475","0.003849","0.003589","0.001819","0.011898","0.042600","0.003274","0.001887"
"398","55","0.007597","0.001206","0.004504","0.004539","11.920201","2.688190","0.010553","0.001444","0.001511","0.006235","0.004561","0.002097","0.003577","0.004150","0.002863","0.003836","0.004430","0.004083","0.001343"
"399","60","0.008639","0.002145","0.004672","0.004080","10.024332","5.396382","0.008587","0.001149","0.001538","0.010243","0.003754","0.001322","0.003364","0.005426","0.001639","0.003497","0.003315","0.003903","0.001543"
"400","65","0.008348","0.001694","0.003709","0.007649","8.440348","3.570683","0.010864","0.002129","0.001571","0.006378","0.005495","0.001871","0.003506","0.003201","0.001695","0.008220","0.003126","0.003859","0.002176"
"401","70","0.021495","0.002660","0.003453","0.005256","8.040298","1.713500","0.008110","0.001099","0.001737","0.002461","0.006453","0.001243","0.004271","0.012141","0.001560","0.003925","0.003267","0.003535","0.001407"
"402","75","0.007416","0.001450","0.003796","0.003685","7.457469","9.470732","0.007680","0.002725","0.001211","0.003152","0.006130","0.001190","0.003532","0.011295","0.003349","0.003480","0.009733","0.014339","0.001530"
"403","80","0.007272","0.001218","0.004589","0.005964","4.816765","0.070511","0.011478","0.001333","0.001517","0.003495","0.005948","0.001484","0.003651","0.008229","0.001628","0.003623","0.028356","0.003905","0.001361"
"404","85","0.006809","0.001744","0.003922","0.007264","15.886027","4.779226","0.007462","0.001302","0.001589","0.007996","0.003843","0.001242","0.003623","0.003189","0.001044","0.003392","0.008602","0.005437","0.001521"
"405","90","0.007462","0.001235","0.003804","0.003707","2.291221","5.070903","0.007707","0.001577","0.001348","0.006662","0.004071","0.001505","0.004129","0.003709","0.001244","0.003815","0.011523","0.003410","0.001505"
"406","95","0.007313","0.000000","0.004147","0.003766","9.206672","11.278376","0.008709","0.001634","0.001564","0.004975","0.005201","0.001671","0.003571","0.009950","0.001506","0.008954","0.004421","0.004343","0.001892"
"407","100","0.007336","0.003192","0.003837","0.007250","9.283946","3.570021","0.007230","0.001249","0.001329","0.003317","0.004031","0.001289","0.003903","0.003620","0.001234","0.004634","0.017135","0.015928","0.001196"
"408","105","0.020630","0.002586","0.003751","0.004990","15.289815","13.156634","0.014431","0.001603","0.002261","0.002673","0.004707","0.001327","0.003543","0.003686","0.001557","0.004035","0.003268","0.007852","0.001496"
"409","110","0.012841","0.001187","0.003758","0.004908","0.371014","1.119704","0.008550","0.001765","0.001362","0.003022","0.006143","0.001559","0.004752","0.003417","0.001837","0.008429","0.003387","0.003812","0.001720"
"410","115","0.006394","0.001244","0.003648","0.003691","4.070752","13.385353","0.011422","0.002508","0.001423","0.003153","0.007348","0.001085","0.004910","0.008679","0.001760","0.003842","0.000000","0.004133","0.001181"
"411","120","0.000000","0.001475","0.003692","0.003584","10.307071","7.050413","0.006783","0.001212","0.001289","0.002751","0.003662","0.001181","0.003655","0.003852","0.001452","0.003709","0.003535","0.003130","0.001225"
"412","125","0.006930","0.004160","0.004705","0.003712","4.420756","17.251373","0.007319","0.001187","0.001308","0.003324","0.004009","0.001405","0.004383","0.005100","0.001497","0.004132","0.000000","0.000000","0.001555"
"413","130","0.007174","0.001384","0.003850","0.003755","9.332725","18.428757","0.007632","0.001424","0.001410","0.003242","0.005531","0.001172","0.003583","0.003804","0.001233","0.003971","0.003743","0.041932","0.001474"
"414","135","0.007551","0.000000","0.004161","0.003831","9.690489","2.772579","0.007389","0.001196","0.001198","0.003301","0.004067","0.001218","0.004086","0.003592","0.001950","0.004002","0.004237","0.003035","0.001443"
"415","140","0.007700","0.001136","0.004664","0.009188","23.196849","9.760412","0.026112","0.001202","0.001194","0.002545","0.003394","0.001251","0.003207","0.007271","0.001462","0.003329","0.043324","0.003881","0.001391"
"416","145","0.016924","0.001300","0.003537","0.006229","23.410507","9.563493","0.016391","0.001076","0.001350","0.002719","0.003360","0.003443","0.004806","0.003804","0.000000","0.003575","0.003242","0.003502","0.001194"
"417","150","0.018923","0.001409","0.004009","0.005008","18.592882","1.073635","0.013504","0.001286","0.001367","0.002681","0.006757","0.001221","0.003545","0.007341","0.001159","0.003571","0.003358","0.003584","0.001167"
"418","155","0.008107","0.002047","0.003717","0.006935","14.804652","14.073486","0.008215","0.001325","0.001198","0.006906","0.003625","0.001273","0.003238","0.006343","0.000000","0.005754","0.004009","0.003447","0.001311"
"419","160","0.007369","0.001744","0.003659","0.006254","10.823744","6.142069","0.008236","0.001023","0.001228","0.004929","0.005036","0.001258","0.003713","0.006378","0.001483","0.003893","0.013144","0.016957","0.001373"
"420","165","0.006546","0.002008","0.003631","0.003444","8.970207","3.668119","0.015850","0.001349","0.001319","0.012238","0.003563","0.001129","0.003624","0.005017","0.001274","0.003669","0.004094","0.003475","0.001562"
"421","170","0.007307","0.001632","0.004349","0.006329","10.561576","9.544526","0.012154","0.001770","0.003525","0.002946","0.003855","0.001084","0.003617","0.014796","0.001586","0.003585","0.003553","0.003212","0.001330"
"422","175","0.006765","0.001360","0.003910","0.003741","17.998008","9.418841","0.017003","0.001702","0.001218","0.003233","0.003939","0.001310","0.003672","0.005333","0.001932","0.003501","0.003478","0.003842","0.001407"
"423","180","0.007965","0.000000","0.003750","0.003546","16.349077","4.952359","0.007816","0.001783","0.001688","0.003529","0.003654","0.001354","0.003907","0.009814","0.001498","0.003987","0.000000","0.002991","0.001439"
"424","185","0.007505","0.001336","0.003718","0.004449","13.145267","9.367590","0.007168","0.001937","0.001992","0.002959","0.007481","0.001230","0.003740","0.003350","0.001239","0.006175","0.003268","0.003016","0.001480"
"425","190","0.007164","0.001198","0.003677","0.003385","9.317301","5.577986","0.007704","0.001078","0.001142","0.003236","0.003456","0.001110","0.003086","0.007961","0.001376","0.003262","0.003107","0.003404","0.001127"
"426","195","0.009531","0.001323","0.003664","0.009556","11.796835","8.406657","0.011082","0.001249","0.001179","0.003337","0.004964","0.001213","0.003981","0.005586","0.001386","0.003679","0.004692","0.022142","0.001207"
"427","200","0.007132","0.001235","0.003862","0.005121","3.641293","0.943737","0.008770","0.001424","0.001562","0.003339","0.005581","0.002314","0.003604","0.003752","0.001859","0.004435","0.003521","0.004278","0.001383"
"428","205","0.007706","0.001295","0.003994","0.003414","6.433790","5.103849","0.008150","0.001428","0.001649","0.010140","0.005521","0.001297","0.003633","0.006856","0.002237","0.011571","0.003534","0.003409","0.001915"
"429","210","0.006199","0.001391","0.003816","0.006368","7.826433","3.970562","0.007818","0.001349","0.001564","0.012280","0.003659","0.001240","0.003569","0.006771","0.002193","0.004054","0.003523","0.003140","0.001437"
"430","215","0.007465","0.002816","0.003931","0.003880","2.698313","3.182918","0.008029","0.001445","0.001778","0.003091","0.003520","0.001225","0.003815","0.004327","0.001419","0.006861","0.003440","0.003386","0.001124"
"431","220","0.008011","0.001179","0.003364","0.006714","6.279355","5.302362","0.016611","0.001106","0.001240","0.002928","0.003410","0.001313","0.003474","0.007476","0.001423","0.003202","0.000000","0.000000","0.001620"
"432","225","0.007068","0.001191","0.004345","0.005465","7.168029","1.283003","0.007132","0.001136","0.001362","0.003179","0.007648","0.001477","0.003993","0.007496","0.001409","0.003442","0.011778","0.010764","0.001870"
"433","230","0.016651","0.001340","0.003408","0.004730","7.532974","4.538797","0.006883","0.001205","0.001177","0.003080","0.004481","0.001276","0.003387","0.003262","0.015608","0.003316","0.002714","0.003239","0.001630"
"434","235","0.005884","0.001400","0.004031","0.004947","5.486698","3.159869","0.007859","0.001362","0.001277","0.003758","0.003833","0.001231","0.003620","0.003693","0.001194","0.003528","0.004320","0.003443","0.001143"
"435","240","0.013156","0.001597","0.004277","0.004515","5.661690","1.987824","0.007073","0.001863","0.001549","0.002852","0.004692","0.001726","0.003567","0.003320","0.001535","0.006778","0.003781","0.003978","0.001388"
"436","245","0.000000","0.001414","0.003671","0.005979","4.175906","4.288610","0.008553","0.001827","0.001356","0.002688","0.005191","0.001362","0.003438","0.004816","0.001304","0.003486","0.003739","0.003585","0.001274"
"437","250","0.007155","0.001241","0.003572","0.006130","4.053283","3.522596","0.006896","0.001088","0.001140","0.005545","0.005759","0.001456","0.003623","0.006305","0.009026","0.003890","0.003801","0.004271","0.001629"
