Title: ECSA-b1588YfJDrDO54g77DE4xswFOxy4BlPn Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    b1588YfJDrDO54g77DE4xswFOxy4BlPn.19N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         24.20     4.40    39.80   7.20       6.60      10.40  19.60  7.60         7.60            6.80           4.60        0.00       0.00           8.60        0.00     0.00         1.80
5                0.00    0.00         14.40    11.40    33.60   2.40       3.60       7.80  15.80  9.00        18.20            3.00          11.00        3.60       0.00           8.80        0.00     0.00         7.40
10               0.00    0.20         18.00    12.00    35.00   4.80       1.00       4.80  17.20  5.60        20.20            0.80           5.40        8.40       3.20           5.40        0.00     0.00        11.00
15               0.20    1.80         14.20    13.00    32.60   3.20       3.00       4.40  12.80  5.00        17.00            3.60           5.40       10.00       3.40           4.80        0.60     0.80         9.40
20               0.60    4.20         17.80    13.60    37.00   3.60       2.00       5.80  14.00  4.60        16.80            1.80           3.80        9.40       3.00           5.00        3.80     4.40         7.20
25               2.20    2.20         13.80    15.20    22.00   2.00       2.40       2.80  10.20  3.80        15.00            2.60           5.40        5.00       2.00           3.40        2.60     1.80         6.40
30               1.80    1.20          5.40     7.00     8.20   0.60       4.00       0.80   4.20  2.00         8.20            3.80           2.20        3.00       1.20           1.40        0.20     0.40         3.00
35               0.20    0.40          1.20     1.60     0.00   0.00       0.60       0.00   0.40  0.20         2.00            0.20           0.20        0.00       0.00           0.00        0.20     0.00         0.80
40               0.00    0.00          0.00     0.20     3.80   0.20       0.00       0.00   0.20  0.00         0.40            0.00           0.00        0.20       0.00           0.00        0.00     0.00         0.00
45               0.40    0.80          2.20     2.40     3.40   0.40       0.80       0.60   1.80  0.20         2.60            0.80           0.20        2.00       0.60           0.60        0.20     0.40         1.20
50               0.20    0.60          1.40     2.00     2.20   0.00       0.00       0.20   0.80  0.60         1.80            0.00           0.60        0.60       0.00           0.20        0.80     0.80         0.40
55               0.60    0.00          0.60     1.00     0.80   0.00       0.80       0.00   0.20  0.00         0.60            0.80           0.00        0.00       0.00           0.00        0.20     0.00         0.00
60               0.20    0.00          0.40     1.20    11.00   0.20       0.20       0.40   1.20  0.00         2.80            0.20           0.00        1.00       0.20           0.00        0.00     0.20         0.20
65               1.60    1.20          8.20     7.40    14.80   0.40       0.80       1.40   7.20  1.20         8.40            1.20           1.00        2.80       0.60           1.40        2.20     2.60         3.40
70               0.60    0.80          5.60     6.20     8.80   1.60       1.20       1.80   4.00  2.00         4.60            0.80           1.80        2.60       1.00           2.00        1.60     1.20         2.00
75               0.80    0.20          5.60     5.20     9.40   1.40       1.00       0.60   3.80  1.00         4.80            1.20           1.20        1.80       0.40           0.80        0.40     0.20         1.40
80               1.20    1.40          7.20     3.60    13.00   2.80       1.40       1.40   7.40  0.80         4.20            2.00           0.80        3.60       0.60           1.20        0.80     1.00         1.40
85               0.60    0.20          7.00     4.00     8.00   1.60       1.40       1.40   5.80  1.40         4.00            0.60           1.40        0.80       0.20           1.40        0.80     0.60         0.60
90               2.00    0.60          4.40     5.00    10.60   0.60       1.80       1.60   3.20  1.60         5.60            2.60           1.60        1.40       0.20           1.40        0.00     0.20         2.20
95               0.20    0.40          3.80     2.60     6.80   1.60       2.20       0.80   4.00  0.40         4.20            1.40           0.60        0.80       0.00           0.80        0.40     0.20         1.00
100              0.20    0.20          5.80     3.40    10.40   1.00       0.20       1.60   5.60  1.80         5.20            0.20           1.80        2.00       0.20           1.80        0.40     0.40         1.80
