Title: ECSA-M8EahCf0k0RhwMGpsUFCyIyMwNOsnEbL Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    M8EahCf0k0RhwMGpsUFCyIyMwNOsnEbL.15G


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         22.80     4.40    39.00   7.00       6.40      12.40  20.20  9.20         8.00            6.80           6.80        0.00       0.00          10.20        0.00     0.00         1.60
5                0.00    0.00         15.40    14.00    31.80   2.80       4.00       5.00  16.20  7.40        21.80            3.00           9.20        3.60       0.20           7.00        0.00     0.00         9.20
10               0.00    0.00         17.80    11.40    33.60   3.40       1.60       4.40  18.40  4.20        16.80            1.00           4.00        9.40       3.40           4.00        0.00     0.00         9.40
15               0.00    1.60         10.60     8.40    14.60   1.40       0.80       3.20   7.20  4.40        12.20            1.20           5.20        4.00       2.20           4.00        0.60     0.60         5.60
20               0.00    1.40          3.40     4.80     3.60   0.00       0.60       0.20   1.80  0.80         5.20            0.20           1.00        1.80       0.40           0.60        1.20     1.20         3.40
25               0.00    0.00          0.60     0.80     0.00   0.00       0.00       0.00   0.00  0.20         0.80            0.00           0.20        0.00       0.00           0.00        0.00     0.00         0.00
30               0.00    0.20          0.00     0.00     4.20   0.00       0.00       0.00   0.00  0.00         0.00            0.00           0.00        1.20       0.20           0.00        0.00     0.40         0.00
35               0.00    0.40          2.20     2.00     1.40   0.60       0.00       0.20   1.40  0.20         1.40            0.00           0.20        1.40       0.80           0.20        0.80     0.60         1.20
40               0.20    0.20          0.60     0.80     1.00   0.20       0.20       0.00   0.40  0.00         0.80            0.20           0.00        0.40       0.00           0.00        0.40     0.20         0.20
45               0.40    0.20          0.40     0.40     1.60   1.00       0.60       0.00   0.20  0.00         0.20            0.60           0.00        0.00       0.00           0.00        0.00     0.00         0.00
50               1.20    1.40          6.20     4.00    22.00   1.60       1.60       2.40   7.80  1.80         6.80            2.00           1.60        6.80       1.20           1.80        0.20     0.20         2.00
55               0.80    1.40          7.40     5.80    12.00   2.00       2.00       2.00   5.80  2.40         7.20            1.60           2.20        2.00       0.60           2.40        0.40     0.60         3.60
60               0.40    0.80          7.20     4.60    11.40   1.80       0.60       2.00   7.40  1.00         4.80            0.80           1.40        2.40       0.40           1.80        1.00     0.80         2.00
65               1.20    0.20          4.40     4.00    11.00   1.40       1.20       1.60   3.80  2.40         5.20            1.40           1.80        2.00       1.00           1.80        0.40     0.40         2.00
70               0.60    0.60          4.60     4.60     9.60   1.40       1.40       0.60   3.80  0.80         6.20            1.40           1.40        1.80       0.40           0.60        0.40     1.00         2.40
75               0.40    0.60          5.40     4.40     8.40   1.40       0.60       1.00   3.40  0.80         3.60            0.60           0.60        2.20       0.40           1.00        1.40     0.80         1.40
