"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"1534","0.000","110","104","909","807","1798","211","215","219","764","239","886","211","246","331","105","237","113","95","326"
"1535","0.050","84","106","821","691","1718","194","210","204","739","227","839","207","215","311","86","247","113","100","312"
"1536","0.100","99","91","812","696","1624","183","167","223","717","211","834","191","240","288","81","234","100","106","295"
"1537","0.150","102","80","759","661","1562","184","185","201","669","192","750","146","205","316","78","248","77","106","277"
"1538","0.200","86","85","709","640","1401","160","160","196","632","185","724","143","223","308","96","194","75","93","260"
"1539","0.250","94","77","706","579","1446","145","158","171","630","175","721","173","185","283","74","194","95","94","296"
"1540","0.300","53","84","678","564","1301","158","166","177","568","178","669","154","167","262","80","148","75","69","240"
"1541","0.350","67","74","636","497","1249","141","150","179","549","178","634","142","168","239","65","163","93","56","247"
"1542","0.400","66","75","582","496","1167","131","111","176","550","157","632","133","162","241","73","168","74","75","232"
"1543","0.450","68","61","556","461","1112","132","139","169","520","171","569","130","166","214","70","153","82","63","232"
"1544","0.500","69","57","550","447","1143","127","125","133","455","146","560","106","140","179","64","129","60","59","203"
"1545","0.550","55","62","499","458","1058","122","116","147","453","146","480","138","125","203","59","138","59","48","223"
"1546","0.600","42","56","489","391","931","109","121","130","432","135","485","117","126","203","40","128","52","59","178"
"1547","0.650","61","58","452","397","940","90","101","119","426","135","454","123","137","168","49","131","65","50","181"
"1548","0.700","54","50","407","353","862","98","114","120","408","120","459","105","111","168","48","118","45","47","166"
"1549","0.750","47","47","445","366","812","84","104","120","348","109","414","81","105","153","48","125","44","47","182"
"1550","0.800","42","42","452","345","804","101","91","106","346","127","392","104","78","160","51","114","37","44","162"
"1551","0.850","40","32","396","354","716","85","70","107","322","100","413","88","107","152","44","114","30","48","154"
"1552","0.900","51","41","346","303","745","75","87","111","332","88","345","80","77","142","42","104","44","42","151"
"1553","0.950","41","35","346","265","743","74","75","96","278","84","350","82","92","122","36","89","30","45","124"
"1554","1.000","39","41","321","274","658","88","83","67","307","72","311","78","86","122","36","80","43","33","124"
"1555","1.050","41","36","312","256","640","80","68","79","279","93","330","60","80","106","29","75","39","26","117"
"1556","1.100","38","37","295","249","596","85","51","88","272","78","271","70","97","118","32","79","33","31","110"
"1557","1.150","22","18","268","245","576","62","72","77","278","80","249","71","81","125","45","83","26","24","120"
