"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"791","0.000","176","189","1632","1348","3182","334","390","447","1432","417","1637","370","410","562","184","448","191","196","672"
"792","0.050","144","153","1464","1285","3033","340","344","375","1277","401","1516","347","392","536","178","388","177","165","581"
"793","0.100","156","156","1451","1199","2821","322","340","367","1272","386","1378","311","353","589","167","346","140","145","540"
"794","0.150","138","163","1312","1140","2685","308","318","375","1169","404","1321","304","344","482","154","359","162","148","506"
"795","0.200","152","159","1332","1109","2564","290","281","337","1128","394","1351","287","384","522","143","347","159","157","498"
"796","0.250","121","128","1247","1011","2433","313","267","337","1106","356","1269","281","338","468","145","340","121","155","437"
"797","0.300","145","131","1198","1012","2379","266","300","315","1030","319","1204","295","310","463","139","318","123","131","450"
"798","0.350","146","123","1045","899","2198","259","274","305","920","303","1141","244","278","429","121","310","124","144","416"
"799","0.400","135","114","1080","881","2058","225","211","274","924","253","1054","227","290","397","115","247","114","122","401"
"800","0.450","136","100","1012","791","1988","230","212","295","891","261","994","214","263","398","116","250","115","124","411"
"801","0.500","127","106","958","835","1844","217","192","245","890","264","946","234","272","363","111","257","130","114","352"
"802","0.550","107","115","914","808","1833","187","230","268","833","224","861","204","244","363","101","247","111","106","365"
"803","0.600","89","92","915","750","1754","187","201","219","770","256","891","222","250","369","119","247","107","85","313"
"804","0.650","116","94","823","715","1598","189","170","215","735","187","837","198","225","312","76","207","101","83","344"
"805","0.700","85","104","740","633","1558","178","187","237","679","210","772","184","179","345","95","231","106","76","309"
"806","0.750","71","76","724","606","1584","172","175","213","665","194","741","171","200","292","75","223","81","81","263"
"807","0.800","81","92","718","614","1381","164","170","177","625","195","688","171","195","263","82","189","78","69","263"
"808","0.850","93","76","642","567","1398","162","140","185","651","181","665","144","212","302","87","227","77","76","263"
"809","0.900","91","80","630","536","1301","149","144","175","567","198","639","128","149","215","77","176","70","88","248"
"810","0.950","81","73","628","527","1185","127","146","152","538","162","536","138","158","253","63","167","68","69","222"
"811","1.000","70","70","626","472","1148","120","120","162","509","166","602","128","155","232","61","162","65","55","247"
"812","1.050","52","66","531","474","1100","143","125","148","472","131","576","109","141","202","68","155","67","66","220"
"813","1.100","67","59","548","441","1010","116","136","132","454","149","510","138","153","175","50","127","64","62","191"
"814","1.150","57","62","520","377","1068","120","106","159","434","146","490","104","159","224","64","152","53","61","172"
"815","1.200","41","61","498","423","963","89","136","109","401","127","475","114","125","184","51","123","47","52","189"
"816","1.250","61","54","442","400","923","112","95","120","395","131","462","100","124","147","51","128","48","55","154"
"817","1.300","40","43","432","372","836","96","100","111","402","110","419","95","126","163","52","120","41","45","171"
"818","1.350","44","50","383","359","794","100","106","138","340","111","438","105","118","165","48","113","47","46","157"
"819","1.400","49","39","360","320","775","81","102","105","346","105","368","103","107","162","49","106","41","39","154"
"820","1.450","49","50","400","290","769","87","66","81","330","108","342","95","91","135","48","104","44","49","142"
"821","1.500","32","42","315","301","720","87","74","107","312","106","372","92","98","151","37","89","37","28","145"
"822","1.550","36","38","312","277","683","83","89","80","300","79","309","64","97","127","43","95","32","41","126"
"823","1.600","30","30","337","270","650","68","80","114","279","83","338","78","80","134","51","85","38","31","132"
"824","1.650","27","33","311","278","581","63","67","75","284","90","287","70","85","95","36","93","37","37","118"
"825","1.700","27","48","283","261","608","61","67","82","300","69","289","54","78","108","23","84","32","42","120"
"826","1.750","34","32","284","219","550","66","66","70","243","71","257","64","77","100","30","69","36","36","106"
"827","1.800","35","23","270","257","496","57","51","77","238","70","281","59","86","115","37","68","27","26","99"
"828","1.850","18","26","242","205","490","72","58","56","217","86","253","57","68","92","16","74","31","31","119"
"829","1.900","21","28","235","182","507","52","44","68","208","78","239","52","64","89","24","78","30","24","81"
"830","1.950","36","29","214","185","450","60","54","58","184","58","220","49","70","103","31","74","22","31","83"
"831","2.000","27","26","204","181","442","55","53","51","211","60","230","59","72","76","31","54","23","28","97"
"832","2.050","19","30","194","170","424","46","54","59","195","55","185","49","46","87","25","51","26","25","81"
"833","2.100","17","23","212","191","395","44","38","49","178","47","216","42","50","75","29","47","25","26","76"
"834","2.150","18","14","170","148","391","51","44","40","174","49","172","45","55","82","17","40","24","17","64"
"835","2.200","17","30","171","104","369","44","53","43","124","47","178","53","48","55","19","48","16","21","76"
"836","2.250","22","23","187","141","361","35","35","44","166","51","172","50","54","71","16","52","24","16","68"
"837","2.300","18","19","142","132","325","39","45","44","142","45","143","40","56","57","13","37","20","21","64"
"838","2.350","24","21","160","140","280","38","33","46","123","35","146","33","54","57","12","38","13","16","65"
"839","2.400","25","15","125","139","306","34","30","43","130","31","163","50","37","52","12","36","11","18","51"
"840","2.450","19","19","143","112","290","29","28","47","116","30","140","32","30","49","15","45","14","11","51"
"841","2.500","17","9","123","136","275","25","23","28","104","24","115","23","43","39","14","30","17","22","42"
"842","2.550","15","14","119","112","241","29","37","39","116","33","128","27","38","46","17","29","13","23","61"
"843","2.600","10","8","125","100","219","25","26","26","101","33","108","25","32","36","13","19","11","14","39"
"844","2.650","11","10","128","87","208","30","24","27","108","20","120","24","25","46","21","29","13","10","49"
"845","2.700","6","14","113","100","220","29","23","26","98","25","105","17","28","42","15","31","10","15","28"
"846","2.750","10","8","83","77","196","32","18","30","78","34","97","24","25","35","14","33","13","10","44"
