"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"764","0.00000","3547","3714","18625","16006","44726","4191","7115","8763","28676","5155","25839","7441","5119","7226","3720","5115","2989","2996","12484"
"765","0.10000","0","1","9","5","75","21","2","3","3","1","8","1","1","1","0","2","2","0","1"
"766","0.20000","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"767","0.30000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"768","0.40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"769","0.50000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"770","0.60000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"771","0.70000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"772","0.80000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"773","0.90000","0","0","952","975","242","0","0","0","0","479","519","0","256","367","0","288","48","48","0"
"774","1.00000","160","0","12780","10349","19701","2695","328","0","0","3124","6023","0","3380","4877","0","3355","670","665","0"
"775","1.10000","0","0","3","3","30","14","0","0","0","1","0","0","1","1","0","2","0","1","0"
"776","1.20000","1","0","15","3","12","2","0","0","0","0","4","0","2","2","0","2","0","0","0"
"777","1.30000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"778","1.40000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"779","1.50000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"780","1.60000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"781","1.70000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"782","1.80000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"783","1.90000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"784","2.00000","0","0","1","0","0","511","0","0","0","0","0","0","0","0","0","0","0","0","0"
"785","2.10000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"786","2.20000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
