"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"1220","0.000","123","112","1045","878","2045","258","245","268","982","296","977","239","265","383","108","278","145","101","413"
"1221","0.050","98","86","963","825","1903","226","223","268","881","240","1055","227","252","416","106","249","112","115","370"
"1222","0.100","103","116","879","781","1891","213","200","297","798","257","909","202","230","325","108","263","98","92","343"
"1223","0.150","96","88","982","737","1799","202","198","244","767","228","904","236","247","338","108","228","105","105","302"
"1224","0.200","87","94","844","741","1667","207","188","219","734","252","883","191","264","320","101","206","69","94","295"
"1225","0.250","106","96","748","667","1573","197","194","224","659","216","782","200","216","326","93","229","84","71","317"
"1226","0.300","86","96","722","640","1465","155","198","223","682","216","756","179","210","313","74","196","95","73","320"
"1227","0.350","81","59","767","622","1467","167","179","182","642","199","748","161","189","254","75","219","72","73","283"
"1228","0.400","72","71","717","581","1424","165","146","161","594","219","669","164","191","271","75","176","72","90","289"
"1229","0.450","76","67","664","534","1275","145","162","166","605","154","643","143","197","230","63","170","73","63","245"
"1230","0.500","77","78","620","536","1199","143","141","184","566","170","614","140","168","225","79","201","70","65","247"
"1231","0.550","64","46","561","441","1172","131","122","140","527","158","601","139","146","211","71","179","71","74","239"
"1232","0.600","57","66","562","458","1167","127","123","138","477","130","535","131","137","223","70","131","69","79","217"
"1233","0.650","45","60","496","458","1081","129","134","144","489","130","530","145","124","190","51","149","53","49","193"
"1234","0.700","60","63","491","418","1066","112","115","147","457","130","477","127","147","185","58","141","60","59","191"
"1235","0.750","48","58","515","414","941","120","102","152","448","138","473","128","135","177","49","129","57","58","174"
"1236","0.800","47","55","463","379","855","120","104","120","408","114","433","105","123","198","48","113","51","48","164"
"1237","0.850","48","55","464","351","868","96","97","128","400","115","434","98","127","164","57","141","63","37","155"
"1238","0.900","59","41","395","339","875","87","97","134","375","110","409","81","102","168","50","99","56","52","146"
"1239","0.950","56","37","400","335","807","84","78","126","398","117","380","101","129","149","40","112","45","47","144"
"1240","1.000","33","37","401","307","729","88","65","90","356","101","351","85","106","139","30","110","29","39","149"
"1241","1.050","34","38","377","287","701","78","93","97","333","113","346","91","92","119","34","102","58","40","126"
