"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"794","0.000","188","191","1627","1314","3259","359","400","413","1417","433","1601","394","468","644","195","402","191","191","604"
"795","0.050","165","174","1499","1240","2972","348","340","407","1272","382","1515","342","384","583","158","432","189","179","594"
"796","0.100","167","161","1424","1216","2811","320","327","364","1285","349","1494","308","427","550","168","408","151","156","558"
"797","0.150","162","167","1343","1205","2827","310","322","351","1217","361","1433","331","366","533","141","390","170","171","482"
"798","0.200","153","133","1315","1119","2574","280","297","380","1145","390","1302","286","318","456","175","361","163","169","544"
"799","0.250","156","158","1236","1064","2517","310","263","310","1120","344","1213","309","329","525","152","348","148","142","482"
"800","0.300","136","138","1185","995","2418","253","281","299","1006","356","1147","246","314","487","141","325","145","147","458"
"801","0.350","132","144","1117","919","2267","226","255","290","962","315","1131","234","289","421","111","289","130","117","428"
"802","0.400","121","131","1077","908","2089","235","238","278","983","263","1157","246","298","415","130","290","116","135","409"
"803","0.450","108","118","1019","845","2034","233","219","290","913","262","980","234","258","386","122","262","121","115","386"
"804","0.500","116","110","975","846","1982","230","233","251","901","256","939","220","243","365","111","266","134","128","372"
"805","0.550","106","93","885","774","1834","205","189","251","798","236","931","189","251","342","93","241","84","102","364"
"806","0.600","99","107","831","764","1741","205","218","232","779","260","869","238","274","346","102","229","87","92","336"
"807","0.650","105","84","796","733","1660","176","174","228","735","219","831","190","217","317","99","233","117","101","299"
"808","0.700","90","101","815","680","1550","172","178","215","654","246","803","168","182","308","103","209","75","93","334"
"809","0.750","80","74","775","623","1456","190","196","186","635","198","698","181","202","296","97","203","101","105","269"
"810","0.800","87","71","704","597","1387","185","168","209","611","200","705","175","181","302","89","186","81","70","235"
"811","0.850","67","69","695","550","1414","150","144","184","594","174","686","149","191","260","79","203","85","67","253"
"812","0.900","68","73","589","573","1269","128","142","174","600","186","633","141","199","278","75","189","88","71","278"
"813","0.950","75","70","608","529","1161","148","139","162","562","147","652","143","192","213","78","157","57","75","223"
"814","1.000","68","71","563","506","1227","121","138","189","510","152","550","159","162","234","54","144","54","67","235"
"815","1.050","51","54","535","519","1049","128","129","156","488","158","569","109","158","227","57","130","58","62","189"
"816","1.100","69","69","546","450","1055","121","102","133","423","144","579","107","141","210","59","154","61","54","235"
"817","1.150","52","56","484","427","1013","124","99","141","456","129","512","133","127","182","54","129","60","66","220"
"818","1.200","68","51","478","377","941","106","101","140","465","128","471","98","139","202","58","119","53","46","173"
"819","1.250","52","55","460","374","866","94","113","134","351","98","464","117","124","183","57","112","35","44","188"
"820","1.300","37","48","437","338","847","92","81","112","391","137","396","92","102","168","44","114","52","49","183"
