"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"764","0.00000","3578","3778","19261","16304","44196","3971","7074","8839","28749","5267","26195","7432","5245","7471","3772","5260","3025","3015","12622"
"765","0.10000","0","0","0","1","975","191","0","0","0","0","0","0","0","0","0","0","0","0","0"
"766","0.20000","0","0","0","0","298","71","0","0","0","0","0","0","0","0","0","0","0","0","0"
"767","0.30000","0","0","0","0","111","37","0","0","0","0","0","0","0","0","0","0","0","0","0"
"768","0.40000","0","0","0","0","49","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"769","0.50000","0","0","0","0","26","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"770","0.60000","0","0","0","0","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"771","0.70000","0","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"772","0.80000","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"773","0.90000","2","0","1466","1468","1120","1","0","0","0","701","796","0","400","606","0","431","97","88","0"
"774","1.00000","192","0","11784","9828","18200","2633","355","0","0","2868","5680","0","3196","4560","0","3147","665","683","0"
"775","1.10000","0","0","0","0","129","35","0","0","0","0","0","0","0","0","0","1","0","0","0"
"776","1.20000","0","0","8","2","33","10","0","0","0","1","2","0","0","1","0","0","0","1","0"
"777","1.30000","0","0","0","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"778","1.40000","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"779","1.50000","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"780","1.60000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"781","1.70000","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"782","1.80000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"783","1.90000","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"784","2.00000","0","0","0","1","0","410","0","0","0","0","0","0","0","0","0","0","0","0","0"
"785","2.10000","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"786","2.20000","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"787","2.30000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"788","2.40000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"789","2.50000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
