"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"898","0.000","187","189","1612","1293","3227","358","393","409","1395","426","1581","388","461","637","194","401","189","189","595"
"899","0.050","164","173","1497","1237","2959","345","338","406","1278","381","1513","346","388","581","156","427","187","177","600"
"900","0.100","166","163","1423","1227","2817","315","333","367","1289","355","1500","304","427","557","171","408","154","157","554"
"901","0.150","162","167","1345","1202","2825","314","318","348","1220","359","1429","332","361","528","139","388","167","172","484"
"902","0.200","154","133","1308","1115","2582","280","298","381","1146","392","1299","288","325","454","175","367","165","168","543"
"903","0.250","156","157","1247","1070","2512","309","267","310","1116","342","1214","311","327","526","152","345","147","144","482"
"904","0.300","137","138","1181","996","2428","257","280","299","1009","352","1148","246","310","489","142","327","144","147","458"
"905","0.350","133","144","1125","925","2274","224","253","287","958","317","1141","232","292","420","112","288","134","117","427"
"906","0.400","118","130","1073","897","2086","236","243","279","983","268","1159","243","302","417","129","289","115","135","409"
"907","0.450","110","120","1020","856","2029","232","214","291","909","260","979","240","256","389","123","267","121","116","391"
"908","0.500","115","109","970","839","1982","230","235","254","903","254","937","219","240","365","109","262","134","127","366"
"909","0.550","104","95","889","777","1843","205","187","252","802","237","926","187","250","341","93","241","84","102","366"
"910","0.600","101","107","835","768","1748","203","221","228","784","261","873","237","277","344","102","229","88","93","338"
"911","0.650","107","83","793","733","1655","179","175","230","730","219","830","191","214","318","101","234","116","100","303"
"912","0.700","90","101","814","681","1545","174","176","217","661","246","806","170","185","302","101","208","73","91","326"
"913","0.750","80","74","772","626","1459","189","197","184","634","198","702","179","202","303","99","204","101","107","274"
"914","0.800","86","71","709","594","1387","184","169","211","604","201","699","174","184","297","88","187","81","70","235"
"915","0.850","68","69","697","546","1413","151","142","184","602","170","689","148","188","263","79","201","86","68","250"
"916","0.900","67","70","584","576","1276","130","144","173","598","190","638","145","199","279","76","191","90","69","279"
"917","0.950","75","72","612","525","1162","146","136","160","559","149","649","143","192","214","78","158","57","77","226"
"918","1.000","69","73","560","508","1223","122","142","190","513","148","551","159","162","234","54","143","54","67","235"
"919","1.050","50","53","539","515","1052","127","127","153","490","159","569","108","160","225","55","130","58","61","188"
"920","1.100","68","67","545","458","1053","121","104","139","424","147","580","108","140","211","60","151","60","55","237"
"921","1.150","53","59","489","426","1014","126","98","140","452","128","512","133","128","184","55","133","60","65","219"
"922","1.200","68","49","474","380","945","106","99","140","460","128","474","99","137","203","58","118","53","47","173"
"923","1.250","52","57","456","376","869","94","116","134","354","96","466","115","125","182","56","114","35","43","189"
"924","1.300","38","47","445","334","846","88","79","113","395","139","390","94","104","167","45","114","53","49","184"
"925","1.350","52","53","410","355","860","84","109","109","378","104","420","98","91","159","47","113","50","55","168"
"926","1.400","48","37","386","322","863","100","83","103","367","85","387","84","102","145","41","125","45","33","181"
"927","1.450","47","41","394","308","756","94","83","112","312","118","353","84","87","126","48","99","43","38","134"
"928","1.500","41","42","374","305","706","83","84","108","301","84","337","79","87","148","37","91","49","46","138"
"929","1.550","40","42","346","306","700","94","76","95","285","88","337","80","96","132","34","91","34","43","139"
"930","1.600","26","33","332","278","672","71","93","91","271","77","309","61","90","119","34","84","31","30","122"
"931","1.650","32","37","302","224","615","71","79","86","265","89","289","73","94","93","32","56","35","27","128"
"932","1.700","34","29","270","250","533","71","69","86","278","70","300","60","85","107","37","85","49","33","122"
"933","1.750","36","29","275","262","550","57","51","80","242","78","262","57","80","102","27","79","43","32","105"
"934","1.800","35","32","276","242","534","63","67","77","224","84","280","58","85","98","25","69","35","28","94"
"935","1.850","21","24","246","215","466","61","55","69","220","75","249","62","69","99","28","62","34","26","103"
"936","1.900","31","38","233","198","479","45","50","59","216","65","235","65","62","99","35","76","32","29","97"
"937","1.950","24","31","230","186","461","56","70","51","197","77","255","43","56","95","23","64","19","26","81"
"938","2.000","23","25","251","167","458","50","56","72","183","73","219","62","75","85","27","75","16","42","72"
"939","2.050","21","25","195","186","380","49","34","51","172","56","201","48","69","77","15","56","16","30","81"
"940","2.100","30","23","191","157","368","47","36","52","172","55","196","40","54","62","23","55","22","25","63"
"941","2.150","29","26","194","150","365","40","47","66","169","48","199","36","46","73","20","50","21","21","73"
"942","2.200","14","19","187","141","344","38","51","48","158","81","165","37","48","78","23","53","19","26","83"
"943","2.250","26","28","176","135","335","37","40","54","145","36","164","40","42","67","22","58","14","18","57"
"944","2.300","11","22","169","131","297","35","36","45","163","33","162","31","52","65","20","51","12","19","68"
"945","2.350","24","16","133","144","301","34","26","47","117","45","143","30","41","64","15","40","23","14","64"
"946","2.400","25","16","149","124","280","30","37","33","123","41","148","32","36","36","18","33","15","12","54"
"947","2.450","23","11","138","137","255","25","18","44","136","47","116","23","35","64","29","39","17","14","40"
"948","2.500","12","9","130","104","277","37","33","32","124","38","117","25","24","64","11","33","15","17","43"
"949","2.550","11","17","120","102","255","23","36","37","112","28","126","24","33","43","12","32","11","11","56"
"950","2.600","12","22","126","93","254","30","32","32","118","30","134","32","34","38","15","32","13","14","48"
"951","2.650","13","9","115","81","246","25","31","29","90","33","121","25","39","53","15","27","10","22","30"
"952","2.700","12","17","103","93","196","34","23","30","105","30","123","20","34","41","7","26","10","12","46"
"953","2.750","13","8","99","88","197","20","20","27","81","30","99","27","24","38","14","28","8","13","29"
"954","2.800","7","13","78","72","210","17","29","26","86","18","93","19","20","53","10","16","14","7","45"
"955","2.850","7","11","94","85","187","19","21","29","75","28","87","25","24","27","7","36","12","7","34"
"956","2.900","11","15","84","63","189","20","14","22","86","27","82","14","23","33","9","19","8","8","33"
"957","2.950","19","11","83","66","182","26","18","18","73","17","94","17","27","33","10","23","11","11","28"
"958","3.000","13","9","104","70","127","30","25","23","75","20","77","15","32","29","7","21","4","9","24"
"959","3.050","7","5","79","78","146","14","17","17","69","18","68","13","26","26","10","16","11","10","35"
"960","3.100","10","7","65","49","134","16","14","14","55","17","63","20","21","23","7","18","7","6","23"
"961","3.150","11","5","84","45","153","15","13","29","63","11","80","11","20","31","12","22","5","10","30"
"962","3.200","7","13","57","57","140","9","20","21","59","9","60","14","17","28","12","11","5","7","23"
"963","3.250","1","6","59","41","122","13","10","12","48","19","48","17","7","24","7","21","15","3","16"
"964","3.300","6","8","60","44","121","11","10","10","48","15","68","13","17","28","8","10","7","5","21"
"965","3.350","6","4","62","37","148","11","7","12","47","19","60","8","17","20","7","19","5","6","25"
"966","3.400","5","10","40","50","108","16","7","18","46","12","51","10","11","16","8","14","4","12","18"
"967","3.450","3","5","54","36","91","11","10","8","48","15","51","14","6","13","8","14","5","3","15"
"968","3.500","4","2","44","36","91","15","5","15","43","7","48","10","10","11","8","10","6","3","12"
"969","3.550","4","3","49","42","75","16","12","15","32","10","40","14","8","24","6","14","3","1","17"
"970","3.600","9","6","50","32","83","9","6","15","36","6","39","12","6","16","8","16","7","6","17"
"971","3.650","5","1","47","43","83","8","10","11","35","11","41","10","11","13","5","11","13","8","9"
"972","3.700","7","7","31","30","77","3","4","8","32","13","40","9","10","11","3","11","5","11","20"
"973","3.750","6","3","40","31","82","12","8","7","44","9","39","13","17","7","3","5","4","2","14"
"974","3.800","6","6","24","36","75","7","9","5","35","13","35","4","10","14","5","9","2","6","16"
"975","3.850","4","9","31","27","66","8","10","4","28","12","36","6","8","6","8","6","4","2","9"
"976","3.900","1","4","26","22","54","9","10","7","29","6","27","10","9","9","5","15","5","4","12"
"977","3.950","4","4","34","24","51","2","9","7","30","8","32","5","9","15","4","6","3","6","12"
"978","4.000","5","3","29","19","67","6","5","6","29","7","32","4","9","14","4","11","4","5","11"
"979","4.050","4","3","32","22","54","14","6","8","21","9","28","5","3","11","6","3","3","2","14"
"980","4.100","1","5","32","21","47","5","3","8","16","11","28","8","8","13","1","10","5","3","9"
"981","4.150","1","3","22","29","46","8","5","11","29","10","21","3","6","6","1","4","5","3","6"
"982","4.200","2","3","22","17","49","7","6","9","27","4","29","5","7","11","3","6","3","4","7"
"983","4.250","2","5","22","7","48","4","1","10","17","4","22","10","6","4","3","1","2","2","11"
"984","4.300","3","4","18","20","48","7","4","4","19","7","18","4","5","6","2","6","0","1","12"
"985","4.350","2","2","17","15","33","4","11","4","18","3","28","7","7","4","1","8","3","0","8"
"986","4.400","2","2","16","21","40","4","5","5","12","8","16","5","5","8","1","7","1","0","8"
"987","4.450","3","7","26","12","34","5","6","8","16","9","19","4","7","4","2","3","2","3","4"
"988","4.500","1","2","16","14","32","7","3","8","18","5","12","5","3","4","0","1","3","1","3"
"989","4.550","3","1","12","15","29","6","2","3","14","8","15","3","7","9","2","3","5","2","12"
"990","4.600","1","1","16","22","38","2","1","6","13","2","20","3","3","5","2","5","1","2","5"
"991","4.650","0","2","15","21","25","2","3","4","12","5","24","2","4","6","1","9","2","2","5"
"992","4.700","1","1","7","10","30","3","2","3","9","2","9","2","5","6","0","7","3","3","7"
"993","4.750","2","6","14","13","15","4","0","3","7","4","20","6","4","4","0","7","1","0","5"
"994","4.800","3","0","17","10","25","4","4","6","7","5","19","2","5","8","1","2","1","1","9"
"995","4.850","3","1","9","7","27","2","4","5","15","5","9","4","3","8","1","8","0","1","6"
"996","4.900","0","3","10","8","32","1","5","4","8","2","10","3","2","4","1","2","1","1","8"
"997","4.950","24","25","211","207","454","48","41","64","207","63","218","64","65","85","23","57","28","26","110"
