Title: ECSA-7IzBcnFlpNGW7GuoZWeIidYtkbuWwXmD Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    7IzBcnFlpNGW7GuoZWeIidYtkbuWwXmD.19F


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         35.80     0.60    57.00  17.80       3.80      12.60  37.00   6.40         1.80            4.60           4.00        0.00       0.00           9.60        0.00     0.00         0.60
5                0.00    0.00         20.00    12.60    45.80   2.20       4.80      14.00  16.80  15.60        22.40            4.20          14.40        2.00       0.00          14.40        0.00     0.00         8.00
10               0.00    0.00         19.00    15.60    43.00   5.00       1.40       6.20  21.60   9.40        27.80            1.60          11.40        9.20       0.60           8.00        0.00     0.00        14.60
15               0.00    0.80         22.40    16.00    46.80   5.20       1.20       7.80  22.20   6.20        23.40            1.80           6.80       14.20       4.00           7.40        0.00     0.20        13.20
20               0.20    3.80         21.60    15.80    45.20   5.60       3.60       5.00  18.60   5.20        21.80            3.40           5.40       13.80       6.20           4.20        1.60     2.40        12.60
25               1.40    4.60         18.40    17.60    43.20   4.00       3.00       6.60  14.40   6.60        21.60            3.20           6.20       10.20       3.00           7.40        4.40     4.40         8.20
30               3.60    3.60         21.40    20.40    46.00   3.60       5.00       5.60  18.40   5.40        23.80            5.20           5.40        9.60       1.60           5.20        4.80     4.60         7.60
35               4.40    2.20         22.00    22.20    42.60   4.20       5.40       5.40  17.80   6.00        23.00            4.60           5.80        7.80       2.80           5.40        2.60     2.20         9.20
40               3.60    2.40         21.20    18.20    44.40   6.00       6.40       5.80  20.40   6.00        21.80            7.60           6.00        8.20       2.60           6.20        2.40     2.60         7.40
45               1.80    3.20         23.20    20.80    47.60   5.40       6.40       4.60  20.20   4.60        25.20            6.00           5.40        9.20       2.80           4.60        3.20     2.80         8.60
