Title: ECSA-7woRL13LcSzIxDAbM7J0PoQR5myKAQJR Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    7woRL13LcSzIxDAbM7J0PoQR5myKAQJR.14I


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         28.60     6.20    50.40   7.80       7.80      14.80  22.40  11.20        12.40            8.80           9.40        0.40       0.00          12.20        0.00     0.00         3.40
5                0.00    0.00         20.00    16.80    44.80   3.20       4.60       7.80  20.20  11.00        27.00            2.80          11.60        6.20       0.40          10.80        0.00     0.00        11.60
10               0.00    0.40         23.40    13.60    46.00   7.20       2.20       6.20  24.00   6.20        22.40            2.60           7.00       10.00       2.40           5.40        0.00     0.20        10.20
15               0.20    1.60         22.80    14.20    43.40   4.80       2.60       7.60  20.60   7.60        20.80            2.40           7.00       12.20       5.60           7.80        0.60     0.80        12.20
20               0.40    4.60         18.60    18.40    42.40   4.00       2.40       6.20  16.40   6.00        21.60            2.20           7.00       12.00       3.00           7.20        3.20     3.80        12.20
25               2.40    3.60         15.80    18.40    29.60   1.80       3.00       4.20  10.00   6.00        21.20            3.20           5.80        8.20       4.00           4.80        4.80     4.40         9.60
30               2.40    2.40          9.60    13.00    13.80   0.60       3.00       0.40   7.00   2.00        12.60            3.20           2.60        5.00       0.80           0.60        1.60     1.40         3.60
35               1.20    1.00          6.20     5.60     6.80   1.00       1.80       0.40   4.00   0.20         5.00            1.40           0.40        2.00       0.40           0.40        1.00     0.80         1.60
40               0.40    0.60          2.00     1.80     2.80   0.00       1.00       0.40   1.00   0.40         1.80            0.60           0.40        0.60       0.20           0.40        0.60     0.40         0.40
45               0.20    0.00          0.60     0.60     0.00   0.00       0.20       0.00   0.40   0.20         0.00            0.40           0.20        0.00       0.00           0.00        0.00     0.00         0.00
50               0.40    0.00          0.60     1.00     1.80   0.00       0.60       0.00   0.20   0.00         1.00            0.40           0.00        0.00       0.00           0.00        0.20     0.20         0.20
55               0.20    0.00          0.40     0.40     0.60   0.00       0.40       0.00   0.40   0.00         0.40            0.40           0.00        0.20       0.20           0.00        0.00     0.00         0.20
60               0.00    0.20          0.40     0.60     4.40   0.20       0.00       0.40   0.60   0.20         1.20            0.00           0.00        0.40       0.00           0.20        0.00     0.00         0.40
65               0.20    0.40          2.80     3.20     7.40   0.40       0.60       1.00   2.20   1.00         4.20            0.60           1.00        1.20       0.40           1.20        1.00     1.40         1.40
70               0.80    0.40          3.60     3.60    14.60   0.40       1.00       1.20   3.20   1.20         3.80            1.00           0.60        2.00       0.60           1.00        0.60     0.40         1.40
75               2.20    1.20          7.40     8.60    13.80   1.20       2.80       1.40   8.20   0.60         9.20            3.60           1.00        4.00       0.80           1.20        0.40     0.40         3.00
80               0.60    0.60          5.60     3.40     9.00   0.60       1.60       1.80   3.20   2.20         3.60            1.00           2.60        1.60       0.20           1.60        1.00     0.80         0.00
85               0.60    0.20          4.60     4.00     6.60   2.40       1.40       0.40   4.20   0.80         4.00            1.40           0.60        1.00       0.60           1.00        0.20     0.20         2.00
90               0.80    0.00          4.00     1.80     5.20   1.40       1.20       0.40   4.60   0.60         2.80            1.00           0.80        0.60       0.20           0.40        0.00     0.00         1.00
95               0.20    0.40          6.00     3.20     8.80   1.20       0.60       0.40   4.60   0.20         3.20            1.00           0.20        0.80       0.40           0.20        0.60     0.60         1.20
100              1.20    0.80          3.60     5.00     8.40   1.40       1.60       1.40   3.80   1.20         5.20            1.60           1.00        1.40       0.40           1.20        0.40     0.60         1.20
