Title: ECSA-81ahaTlTgKJw1QN74r1MbfdS75DMmoHv Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    81ahaTlTgKJw1QN74r1MbfdS75DMmoHv.19H


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         38.20     8.60    65.00   9.00      10.60      16.00  30.20  13.40        17.00           10.20          11.80        0.60       0.00          15.60        0.00     0.00         5.40
5                0.00    0.20         26.20    22.80    54.80   6.80       5.80       9.80  29.40  12.20        32.60            4.40          13.00        8.20       0.40          11.20        0.00     0.00        13.60
10               0.20    0.20         32.40    19.60    54.60   9.40       4.40       6.00  29.40   8.20        30.40            5.20           9.20       12.20       5.40           7.60        0.40     0.40        15.20
15               0.20    2.60         17.40    15.00    24.20   2.00       2.80       4.40  15.20   4.80        18.60            2.00           4.60        8.20       3.80           4.60        1.00     1.20         9.00
20               0.40    2.20          6.00     7.00    10.20   1.00       0.60       1.40   3.60   2.80         6.80            0.80           3.40        2.80       0.80           1.40        1.20     1.60         3.00
25               0.40    0.80          2.40     2.40     1.00   0.00       0.80       0.00   1.00   0.20         3.00            0.40           0.40        0.60       0.20           0.20        0.60     0.00         1.00
30               0.00    0.00          0.40     0.20     0.00   0.00       0.20       0.00   0.00   0.00         0.20            0.20           0.00        0.00       0.00           0.00        0.00     0.00         0.00
35               0.40    0.20          1.20     1.20     4.60   0.20       0.20       0.20   1.20   0.00         1.60            0.40           0.00        1.00       0.20           0.20        0.40     0.60         0.40
40               0.60    0.40          1.80     1.80     1.80   0.00       0.40       0.00   1.40   0.20         1.00            0.60           0.00        0.80       0.00           0.00        0.20     0.00         0.20
45               0.00    0.00          1.20     0.40     0.80   0.20       0.60       0.00   1.00   0.00         0.60            0.20           0.20        0.20       0.00           0.00        0.00     0.00         0.00
50               0.00    0.00          0.20     0.20     0.40   0.20       0.00       0.00   0.20   0.00         0.20            0.20           0.00        0.00       0.00           0.00        0.00     0.00         0.00
55               0.00    0.00          0.20     0.00     0.20   0.00       0.20       0.00   0.20   0.00         0.00            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
60               0.00    0.00          0.20     0.00     0.00   0.00       0.00       0.00   0.20   0.00         0.00            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
65               0.00    0.40          0.00     0.60     8.00   0.20       0.20       1.00   0.20   0.20         1.40            0.40           0.00        1.40       0.40           0.60        0.20     0.20         0.40
70               0.40    0.40          3.80     3.80     9.60   1.00       1.20       1.80   4.00   1.60         4.40            1.40           1.60        1.60       1.00           1.40        0.60     0.60         3.40
75               0.00    0.20          3.80     3.20     4.60   0.00       0.60       1.00   2.60   1.80         4.20            0.20           1.60        1.60       0.20           1.80        0.00     0.00         1.40
80               0.00    0.60          1.60     1.00     6.80   0.20       0.20       0.80   2.40   0.40         2.40            0.60           0.60        2.60       0.40           0.60        0.00     0.00         1.00
85               0.00    0.80          2.80     2.40     5.80   0.00       0.60       0.60   2.20   0.80         2.60            0.20           0.80        1.80       0.20           0.40        0.80     0.80         0.80
90               0.20    0.20          2.40     2.40     2.40   0.40       0.00       0.20   1.20   0.60         2.20            0.00           0.80        0.40       0.20           0.60        0.20     0.20         1.40
95               0.00    0.60          0.40     0.80     2.80   0.00       0.40       0.60   0.40   0.20         1.40            0.40           0.00        1.00       0.40           0.60        0.00     0.20         0.80
100              0.40    0.80          1.20     1.20     5.80   0.20       0.20       0.40   1.40   0.60         2.20            0.20           0.80        2.20       0.20           0.40        0.80     0.60         0.20
105              1.00    0.00          3.80     4.20     5.40   0.20       0.60       0.60   3.00   0.60         3.60            1.00           0.40        0.60       0.20           0.60        0.40     0.60         1.20
110              0.20    0.20          3.60     2.00     5.20   0.80       0.80       0.40   3.40   0.60         1.80            0.40           0.60        0.60       0.20           0.40        0.40     0.20         0.60
115              0.40    0.60          6.00     3.60    11.40   4.40       0.60       2.00   5.60   1.20         4.40            0.80           0.80        2.20       0.60           1.80        0.80     1.20         2.60
120              0.80    0.80          5.60     4.20    16.20   1.20       1.60       1.40   5.20   1.40         5.00            2.20           1.60        2.20       0.60           1.20        0.80     0.60         1.20
125              0.60    1.40          4.80     4.60     7.20   1.20       2.80       1.20   4.20   1.80         4.80            2.40           2.00        2.40       0.80           1.40        0.60     0.40         1.60
130              0.60    1.60          5.40     4.20    12.00   0.60       1.40       1.40   4.40   0.60         4.20            1.20           0.60        3.20       0.40           1.00        0.60     1.20         2.20
135              0.40    0.20          5.40     3.00     6.60   0.60       1.00       0.80   3.80   1.80         3.40            1.00           1.60        2.00       0.20           1.40        1.00     0.40         0.80
140              0.20    0.00          2.80     2.80     8.00   0.60       0.40       0.80   2.80   0.80         4.00            0.60           0.80        1.40       0.20           0.80        0.00     0.00         1.80
145              0.40    0.40          4.40     4.00     6.00   0.60       0.80       0.60   4.20   0.20         4.40            0.60           0.60        2.60       1.60           0.40        0.20     0.20         2.00
150              0.40    0.80          3.20     2.00     4.80   0.60       0.80       0.40   2.60   0.60         2.40            1.00           0.60        1.40       0.00           0.60        0.40     0.40         0.80
155              0.20    0.40          2.40     2.40     9.00   1.20       0.40       1.20   2.00   0.40         3.00            0.40           0.20        0.60       0.00           0.60        0.80     0.80         1.00
160              1.20    0.60          7.40     7.80    24.20   4.80       1.60       3.40   8.60   2.00         9.20            2.00           1.40        4.20       1.80           2.80        1.00     1.80         3.20
165              1.40    0.20          8.40     8.60    12.80   1.40       2.80       2.20   6.20   3.20         9.80            3.20           3.40        1.40       1.00           2.40        1.00     0.80         4.40
170              0.20    0.60          7.40     6.60    11.60   0.20       2.40       1.40   6.40   1.80         7.20            1.20           1.60        2.60       0.60           1.80        0.80     0.20         2.60
175              0.80    0.80          6.00     2.60    10.00   1.20       0.40       1.00   5.20   1.60         4.00            1.00           2.00        1.60       0.00           1.40        0.80     0.80         1.60
180              0.20    0.40          5.00     3.40     7.80   0.60       1.20       0.80   4.00   0.80         3.80            0.80           0.80        1.60       0.60           0.60        0.60     1.00         1.60
185              0.60    0.60          3.80     3.20     5.40   0.40       0.80       1.40   2.60   0.80         3.20            0.80           0.80        1.40       0.00           1.40        1.00     0.80         0.80
190              0.40    0.40          3.00     2.40     5.20   0.40       0.40       1.00   1.40   1.80         2.00            0.20           1.80        0.60       0.20           1.20        0.60     0.60         0.60
195              0.60    0.00          1.80     1.60     3.40   0.80       0.40       0.40   1.60   0.40         3.40            1.20           0.80        0.40       0.00           0.60        0.20     0.00         1.20
200              0.40    0.40          2.40     2.60     7.60   1.80       1.80       0.20   4.40   0.40         2.80            1.40           0.20        1.20       0.00           0.20        0.20     0.40         0.80
205              0.20    0.00          5.00     2.20     4.00   0.20       0.80       0.80   3.40   0.60         1.80            0.40           0.40        0.40       0.00           0.60        0.40     0.20         0.60
210              0.20    0.00          1.80     1.80     1.80   0.20       0.40       0.00   1.60   0.20         2.00            0.40           0.60        0.40       0.00           0.20        0.00     0.00         0.60
215              0.40    0.00          2.80     2.00     8.60   1.60       0.40       0.40   3.20   0.20         3.00            0.60           0.20        1.40       0.60           0.20        0.00     0.00         1.20
220              0.60    0.60          4.40     2.40     7.20   0.60       1.20       0.40   3.80   0.60         3.40            1.20           0.40        1.80       0.00           0.60        0.20     0.20         1.00
225              0.40    0.40          3.80     3.80     8.80   0.60       0.80       1.20   3.60   0.80         4.80            0.80           0.80        2.20       0.40           0.80        0.20     0.20         1.60
230              0.60    0.80          5.20     5.00    12.60   1.40       1.00       2.40   6.00   1.80         5.60            1.00           1.40        2.20       0.80           2.40        0.60     0.60         2.60
235              0.80    1.00          5.00     3.20    13.20   0.60       1.40       1.80   3.60   1.80         5.20            1.60           2.20        2.40       0.80           2.00        0.20     0.20         2.00
240              0.60    0.20          6.20     6.40    12.60   1.40       1.80       2.40   6.20   2.60         7.20            1.40           2.20        1.40       0.80           2.00        1.20     1.40         1.80
245              1.20    0.20          8.40     7.20    16.00   1.60       0.80       2.80   7.40   2.80         7.20            1.60           2.80        2.60       1.20           3.20        0.40     0.20         3.00
250              0.80    0.40          5.40     5.00    11.00   1.20       1.80       1.40   4.60   1.60         5.80            1.60           1.80        1.80       0.60           1.20        1.00     1.00         2.20
255              0.40    1.00          6.00     3.60     8.40   2.20       0.80       1.20   5.60   1.00         4.00            0.20           1.40        1.80       0.20           1.00        0.20     0.20         1.20
260              0.20    0.00          5.20     1.20     6.00   0.20       1.20       1.20   3.20   1.40         1.40            1.80           1.00        0.20       0.20           1.40        0.80     0.80         0.60
265              0.20    0.00          1.60     2.20     4.20   0.40       0.60       0.40   2.20   0.80         3.00            0.20           1.00        0.00       0.00           0.80        0.00     0.00         0.80
270              0.40    0.00          1.60     2.00     2.60   0.80       0.60       0.40   1.40   0.60         1.60            0.80           0.60        1.00       0.60           0.40        0.00     0.00         1.20
275              0.20    0.20          2.80     1.60     9.00   2.40       1.00       1.00   2.80   0.40         3.00            1.00           0.40        1.80       0.40           0.60        0.00     0.00         1.40
280              0.60    0.80          4.60     4.40    12.00   1.40       1.20       1.40   4.20   1.80         5.60            1.80           1.80        2.00       1.20           1.80        0.60     0.80         2.00
285              0.20    1.20          3.80     5.00     7.80   0.40       1.60       1.40   3.00   1.40         6.80            0.80           1.00        2.40       0.60           1.20        0.40     0.20         3.20
290              0.40    0.60          4.00     3.60     6.20   1.80       0.60       1.00   4.20   0.80         4.00            0.80           1.20        1.60       0.40           1.00        0.40     0.60         1.60
295              0.00    0.40          5.20     2.60     7.20   1.00       0.80       1.00   3.80   0.60         2.60            0.40           0.60        1.60       0.40           0.80        0.80     0.80         1.20
300              1.00    0.60          3.60     3.20    10.20   0.40       1.00       1.00   3.20   1.00         4.40            1.00           1.00        1.60       0.40           0.80        0.40     0.20         1.80
305              0.40    0.40          4.60     5.80     9.20   1.40       1.00       1.60   4.20   1.40         6.80            1.40           1.20        1.40       0.60           1.80        0.60     0.60         2.80
310              0.40    0.80          5.40     3.20    12.20   0.40       0.60       0.80   4.60   1.40         4.60            0.60           1.60        3.00       0.80           0.80        0.60     0.60         1.00
315              0.60    0.60          5.00     5.20    12.80   1.00       1.60       1.60   5.20   0.80         5.80            1.40           0.80        2.00       0.20           1.00        1.00     1.40         2.60
320              0.40    0.60          6.00     5.20     8.40   1.40       0.60       1.60   4.80   2.40         5.20            0.80           1.80        2.00       0.80           2.60        1.00     0.60         2.40
325              0.60    0.80          4.80     3.60     9.80   1.00       1.20       0.60   4.80   0.40         5.40            1.20           1.20        2.40       0.20           0.20        0.20     0.40         1.40
330              0.60    0.40          4.60     4.00     6.00   0.20       1.00       0.80   2.60   1.20         4.00            0.80           1.20        0.80       0.80           1.20        0.80     0.60         2.00
335              0.40    0.60          3.80     3.20    10.00   2.00       0.80       0.60   3.80   0.60         5.00            0.80           0.20        1.80       0.00           0.60        0.20     0.20         1.60
340              1.20    0.40          5.80     3.60     6.80   0.80       1.00       0.80   6.80   0.80         3.60            1.40           0.80        1.60       0.60           0.80        0.20     0.20         0.40
345              0.60    0.00          4.60     4.40     9.00   1.00       1.00       2.20   3.40   1.40         4.80            0.60           1.20        1.60       1.00           1.40        0.20     0.20         2.00
350              0.60    0.80          3.20     4.00     8.00   0.80       0.80       1.20   2.60   2.00         5.20            1.00           2.00        2.00       0.60           1.80        0.20     0.40         2.60
355              0.20    1.00          4.40     2.80    14.20   0.60       0.80       2.40   4.00   1.80         3.60            0.40           1.60        3.40       0.80           2.40        0.80     0.60         2.00
360              0.80    0.80          4.40     4.80     8.00   1.00       0.80       2.20   3.80   2.20         5.40            0.80           2.60        1.60       0.60           2.20        0.80     0.80         2.00
