Title: ECSA-IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    IT1rBcq3hEoNIiljP8cwQqkdl3dhurdh.14Z


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         38.40     7.20    65.40   8.80      10.20      16.00  30.40  12.60        14.40           11.20          11.40        0.20       0.00          15.40        0.00     0.00         4.60
5                0.00    0.00         25.20    20.80    53.40   6.40       4.60      11.60  26.80  15.00        33.60            3.40          15.80        6.60       0.00          13.20        0.00     0.00        12.00
10               0.00    0.00         31.40    22.00    62.20   9.80       3.80       6.60  30.20   7.20        33.00            3.80           7.80       15.40       5.20           6.20        0.00     0.00        19.20
15               0.00    5.00         27.80    19.00    60.00   5.20       3.60       9.20  26.00   8.80        27.20            4.00           7.80       17.60       7.40           9.20        1.40     2.20        13.80
20               1.20    5.20         22.60    23.20    53.80   4.60       3.60       8.20  17.40   8.00        26.40            3.20           9.40       14.00       5.40           9.20        5.60     6.40        14.60
25               3.80    6.40         21.20    25.60    53.20   6.00       5.00       5.80  17.40   7.20        31.00            5.80           6.40       13.60       3.00           5.20        5.60     5.60        10.20
30               6.00    3.20         22.60    25.60    31.20   1.80       8.20       2.60  15.60   3.20        24.60            8.20           4.20        6.80       2.20           3.20        4.80     3.40        10.40
35               2.80    0.80         12.00    12.40    14.40   1.40       3.80       1.80   8.40   2.20        10.80            3.20           2.60        2.20       1.20           2.20        1.40     1.20         2.20
40               0.80    0.40          5.40     3.60     3.40   0.40       2.60       1.00   3.40   1.40         3.00            2.00           1.60        0.80       0.00           1.00        0.20     0.20         1.00
45               0.00    0.00          0.60     0.20     0.00   0.00       0.00       0.00   0.40   0.20         0.20            0.00           0.20        0.00       0.00           0.00        0.00     0.00         0.00
50               0.20    0.00          0.80     0.80     4.80   0.80       0.00       0.20   1.40   0.00         2.00            0.40           0.00        0.40       0.00           0.00        0.00     0.00         0.20
55               0.40    0.00          2.20     1.80     1.60   0.40       1.00       0.00   1.80   0.20         1.00            0.60           0.00        0.40       0.20           0.20        0.00     0.00         0.60
60               0.00    0.00          0.80     0.60     1.00   0.20       0.40       0.00   0.80   0.00         1.00            0.40           0.20        0.40       0.00           0.00        0.00     0.00         0.40
