"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"387","0","0.000000","0.000000","0.005179","0.006709","0.006045","0.008486","0.011690","0.002669","0.002471","0.006190","0.005609","0.002854","0.004418","0.003686","0.016947","0.006447","0.000000","0.000000","0.002477"
"388","5","0.000000","0.003749","0.004121","0.003598","0.004073","0.005403","0.010461","0.001511","0.001713","0.005011","0.003955","0.001914","0.003941","0.004372","0.000000","0.003639","0.000000","0.000000","0.001471"
"389","10","0.000000","0.000000","0.004282","0.004836","0.003685","0.005936","0.008104","0.001245","0.001491","0.002653","0.005564","0.000994","0.003116","0.006154","0.011422","0.004329","0.000000","0.000000","0.001702"
"390","15","0.000000","0.000000","0.004374","0.003859","0.000000","0.000000","0.000000","0.000000","0.000000","0.003352","0.003760","0.000000","0.004237","0.003689","0.001162","0.003418","0.000000","0.000000","0.001401"
"391","20","0.000000","0.001378","0.003755","0.004170","6.774363","0.589765","0.000000","0.001344","0.001932","0.020682","0.009928","0.000000","0.004003","0.008002","0.001558","0.004239","0.000000","0.000000","0.001397"
"392","25","0.000000","0.001306","0.003898","0.003798","1.454823","0.891465","0.000000","0.001193","0.001690","0.002792","0.003710","0.000000","0.003682","0.003936","0.001545","0.003497","0.000000","0.003421","0.001617"
"393","30","0.000000","0.001144","0.003941","0.003917","0.390160","0.000000","0.000000","0.001653","0.001269","0.003112","0.003807","0.000000","0.003567","0.003943","0.003704","0.003504","0.003918","0.003228","0.001465"
"394","35","0.008687","0.000000","0.004363","0.004271","0.388169","0.000000","0.000000","0.000000","0.000000","0.000000","0.004179","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.001918"
"395","40","0.008426","0.000000","0.003513","0.004686","0.008458","0.000000","0.009702","0.000000","0.001586","0.000000","0.041519","0.001373","0.000000","0.004924","0.000000","0.000000","0.000000","0.000000","0.000000"
"396","45","0.000000","0.000000","0.003903","0.006157","36.838447","22.977005","0.007161","0.001497","0.001730","0.003049","0.004879","0.001250","0.003598","0.003585","0.001134","0.013002","0.000000","0.000000","0.001679"
"397","50","0.000000","0.001397","0.004612","0.005989","34.042321","0.012607","0.007655","0.001538","0.001486","0.004004","0.004635","0.002003","0.004022","0.006656","0.000000","0.006142","0.003266","0.003068","0.001405"
"398","55","0.000000","0.000000","0.003962","0.006008","24.512541","14.745065","0.008749","0.001262","0.001571","0.003265","0.005795","0.001154","0.003501","0.005810","0.002304","0.003269","0.000000","0.000000","0.001472"
"399","60","0.000000","0.001470","0.004826","0.004306","15.211291","14.334225","0.018983","0.001220","0.001549","0.006805","0.007615","0.001217","0.003659","0.005570","0.002051","0.009402","0.000000","0.003398","0.003774"
"400","65","0.000000","0.001509","0.003873","0.003732","13.924815","23.645419","0.008531","0.001592","0.001398","0.003036","0.003737","0.001329","0.003895","0.004809","0.001429","0.003678","0.003736","0.000000","0.001667"
"401","70","0.000000","0.002554","0.003549","0.003186","31.395164","33.513497","0.020138","0.001078","0.001235","0.006391","0.006488","0.001131","0.003161","0.006193","0.001459","0.003794","0.004089","0.003646","0.001602"
"402","75","0.008884","0.001422","0.003713","0.005365","20.692708","28.130434","0.008948","0.001440","0.001215","0.014595","0.004171","0.000919","0.003386","0.004310","0.001594","0.003510","0.004060","0.003669","0.001432"
"403","80","0.000000","0.000000","0.003749","0.004064","31.469794","9.587323","0.000000","0.001165","0.001567","0.003097","0.004005","0.001247","0.003348","0.006901","0.007527","0.004021","0.003921","0.003292","0.001563"
"404","85","0.000000","0.006596","0.004013","0.007915","33.463005","6.917577","0.007837","0.001432","0.001279","0.002874","0.003670","0.001255","0.004627","0.004343","0.001622","0.013086","0.000000","0.043341","0.001413"
"405","90","0.009612","0.002279","0.004224","0.003962","23.358584","14.725091","0.007804","0.001478","0.001215","0.003180","0.003417","0.001058","0.003556","0.005526","0.005526","0.003940","0.012801","0.003033","0.001253"
"406","95","0.009059","0.001183","0.004611","0.006701","12.531035","5.183396","0.008800","0.001309","0.001380","0.007879","0.004673","0.001306","0.004946","0.004523","0.001440","0.004500","0.010371","0.004063","0.001579"
"407","100","0.011789","0.001216","0.003424","0.005544","20.810153","0.022651","0.008617","0.002221","0.001342","0.002829","0.007467","0.001197","0.003598","0.007189","0.007202","0.003448","0.004212","0.011781","0.001422"
"408","105","0.007595","0.001172","0.003650","0.004903","8.648944","11.038216","0.007292","0.001169","0.001194","0.002986","0.005347","0.001411","0.004578","0.007628","0.001147","0.012529","0.003330","0.006512","0.001527"
"409","110","0.007608","0.001338","0.003762","0.005551","6.948006","2.427164","0.012512","0.001222","0.001387","0.002981","0.007446","0.001305","0.003883","0.007157","0.001628","0.003886","0.009405","0.003694","0.001647"
"410","115","0.007145","0.001177","0.003363","0.003476","11.258916","25.339932","0.007244","0.001510","0.001305","0.002896","0.003608","0.001334","0.003273","0.003412","0.001290","0.008311","0.003667","0.004321","0.001483"
"411","120","0.223139","0.091759","0.170301","0.211775","19.899527","34.728974","0.007092","0.140473","0.126704","0.049982","0.178334","0.110578","0.129066","0.098966","0.057972","0.155600","0.167736","0.182324","0.100945"
"412","125","0.000000","0.127279","0.220603","0.218530","19.100411","16.887565","0.215929","0.128378","0.133339","0.221138","0.247172","0.133668","0.240747","0.226656","0.043648","0.259697","0.209029","0.283508","0.136000"
"413","130","0.220779","0.129967","0.205109","0.199112","18.087116","39.324310","0.223100","0.125834","0.120787","0.209098","0.223098","0.130954","0.202497","0.215683","0.000000","0.238202","0.185704","0.196297","0.118804"
"414","135","0.198653","0.106568","0.207512","0.193360","24.489470","31.506531","0.195423","0.132724","0.127613","0.175403","0.204540","0.121016","0.203057","0.215691","0.045652","0.198630","0.201648","0.000000","0.114662"
"415","140","0.227126","0.137280","0.228366","0.226360","35.952571","9.578096","0.233260","0.143963","0.139646","0.229913","0.225291","0.150858","0.255203","0.239676","0.054958","0.237882","0.245542","0.241007","0.141505"
"416","145","0.246018","0.135350","0.227076","0.216125","30.317616","27.179401","0.240569","0.134807","0.133920","0.221508","0.221631","0.133594","0.258371","0.216502","0.052988","0.256883","0.194531","0.253038","0.135833"
"417","150","0.276467","0.000000","0.216193","0.217670","19.222612","12.097871","0.240612","0.133213","0.133958","0.219811","0.226566","0.127211","0.216382","0.241548","0.049288","0.223826","0.229171","0.237886","0.144561"
"418","155","0.242301","0.135163","0.222308","0.218305","13.151588","13.534716","0.177715","0.152929","0.134860","0.237360","0.215733","0.121438","0.213180","0.219928","0.057793","0.292896","0.243206","0.166323","0.118024"
"419","160","0.241524","0.164480","0.224845","0.222982","26.189846","21.448328","0.246650","0.134043","0.141325","0.207700","0.226374","0.137111","0.227858","0.244353","0.000000","0.246046","0.211741","0.212404","0.165383"
"420","165","0.231803","0.000000","0.227139","0.221139","27.107400","14.657850","0.238852","0.138288","0.140180","0.219577","0.222758","0.134677","0.216565","0.221485","0.057973","0.229181","0.232555","0.219881","0.143056"
"421","170","0.267771","0.153481","0.225405","0.233228","11.195795","10.963616","0.250440","0.152603","0.143177","0.218468","0.232331","0.127302","0.216990","0.231994","0.000000","0.235435","0.173570","0.179532","0.134089"
"422","175","0.232826","0.186561","0.233100","0.215373","20.497889","19.714226","0.221991","0.139523","0.131048","0.222212","0.219969","0.144328","0.224463","0.258682","0.060295","0.227368","0.000000","0.219445","0.128439"
"423","180","0.229726","0.128646","0.185142","0.188969","21.206069","10.538856","0.133390","0.132875","0.106016","0.129267","0.169431","0.139649","0.129186","0.162662","0.034782","0.202513","0.053524","0.175361","0.104528"
"424","185","0.223753","0.157085","0.237426","0.239611","21.170567","19.167757","0.258279","0.130998","0.134635","0.202107","0.239097","0.150951","0.253907","0.259358","0.053604","0.233423","0.245724","0.230306","0.144919"
"425","190","0.000000","0.146807","0.234212","0.226547","27.450883","19.790548","0.230988","0.141338","0.139243","0.235749","0.243603","0.150719","0.248133","0.223015","0.059963","0.228104","0.237395","0.215885","0.133256"
"426","195","0.232284","0.147315","0.222913","0.234844","29.441795","38.020777","0.253602","0.142498","0.150061","0.217605","0.216065","0.137201","0.241382","0.243426","0.068403","0.233398","0.217858","0.205369","0.138323"
"427","200","0.219360","0.128136","0.220422","0.219732","27.763150","44.110532","0.221382","0.134966","0.136373","0.253995","0.213786","0.136074","0.274148","0.227825","0.068126","0.222824","0.234841","0.220986","0.125628"
"428","205","0.256620","0.146880","0.225521","0.222362","37.534371","10.475902","0.234754","0.147770","0.141391","0.216992","0.231674","0.147312","0.233384","0.243734","0.065345","0.214587","0.233470","0.220887","0.139093"
"429","210","0.242812","0.157411","0.229007","0.227394","23.245242","17.598760","0.239241","0.132730","0.133397","0.230132","0.222728","0.139890","0.210294","0.210137","0.066566","0.214494","0.218273","0.221844","0.128556"
"430","215","0.237538","0.148541","0.230659","0.222919","21.898131","25.183782","0.261948","0.149249","0.151464","0.221175","0.213722","0.148254","0.229176","0.240273","0.081736","0.225110","0.224033","0.196503","0.142519"
"431","220","0.256489","0.176822","0.231764","0.231529","44.815455","9.585683","0.236049","0.159138","0.147043","0.241838","0.226562","0.149525","0.245578","0.233161","0.062241","0.240653","0.209816","0.239626","0.149360"
"432","225","0.267837","0.126412","0.220113","0.231763","31.369975","7.186910","0.233275","0.146839","0.140088","0.208069","0.227178","0.140335","0.212796","0.225912","0.058643","0.219379","0.238952","0.206454","0.139905"
"433","230","0.252652","0.172757","0.230648","0.227770","20.218112","8.544059","0.246012","0.151664","0.142780","0.224080","0.226143","0.145131","0.225643","0.224237","0.061817","0.231783","0.254388","0.204055","0.142350"
"434","235","0.248866","0.179778","0.235173","0.235598","13.434415","6.269429","0.267725","0.162825","0.151614","0.222654","0.239053","0.144726","0.238355","0.225870","0.054318","0.251461","0.228121","0.225552","0.142733"
"435","240","0.210875","0.147312","0.171170","0.189141","15.655649","4.057067","0.154420","0.105123","0.130237","0.216223","0.168199","0.105499","0.242410","0.261773","0.068244","0.169383","0.202146","0.256927","0.137982"
"436","245","0.238226","0.136893","0.245381","0.235277","13.905247","3.057092","0.270489","0.154181","0.150831","0.227799","0.223613","0.156598","0.233927","0.233916","0.066844","0.231982","0.208754","0.201886","0.147781"
"437","250","0.261582","0.165417","0.243023","0.234964","20.368328","16.411171","0.262963","0.163891","0.149841","0.206045","0.231605","0.143805","0.240230","0.249702","0.064644","0.242058","0.244902","0.242244","0.150335"
"438","255","0.264655","0.176928","0.245667","0.256710","7.805107","7.129011","0.259857","0.140027","0.149011","0.241814","0.235275","0.139527","0.261792","0.252005","0.055964","0.253116","0.244821","0.242454","0.153163"
"439","260","0.221903","0.113166","0.220173","0.222438","10.756048","24.625694","0.260837","0.140277","0.138994","0.204000","0.230508","0.141903","0.221194","0.229619","0.049596","0.246761","0.000000","0.000000","0.143492"
"440","265","0.184959","0.141807","0.223372","0.213669","15.281059","17.652571","0.220343","0.132244","0.134266","0.226661","0.218222","0.144533","0.233338","0.230192","0.054453","0.221319","0.000000","0.235447","0.121579"
"441","270","0.000000","0.148073","0.208429","0.238436","20.255454","36.559028","0.222227","0.127585","0.139067","0.245192","0.234448","0.123845","0.229432","0.236791","0.058486","0.225147","0.207310","0.227469","0.141719"
"442","275","0.000000","0.156449","0.233068","0.204600","18.498706","31.562103","0.254539","0.132727","0.131619","0.224548","0.219558","0.150580","0.212727","0.207715","0.046644","0.228741","0.252405","0.000000","0.130684"
"443","280","0.230973","0.133380","0.220747","0.229841","37.730560","34.657339","0.245483","0.145602","0.135026","0.219612","0.227981","0.130457","0.226801","0.218683","0.055315","0.236846","0.236319","0.262759","0.142700"
"444","285","0.234904","0.159431","0.230533","0.239328","20.481082","10.494127","0.239089","0.146974","0.140937","0.223605","0.233605","0.123943","0.238381","0.245883","0.072067","0.235081","0.214455","0.223536","0.153978"
"445","290","0.225353","0.182346","0.221500","0.230589","32.784638","36.000282","0.221639","0.137408","0.143726","0.222413","0.232439","0.124153","0.223744","0.242935","0.000000","0.230694","0.224828","0.248809","0.137167"
"446","295","0.229874","0.161664","0.230289","0.235454","22.099599","25.834756","0.224445","0.133829","0.137924","0.201432","0.226990","0.140098","0.237995","0.272536","0.000000","0.230860","0.218205","0.239786","0.143627"
"447","300","0.222692","0.120160","0.191156","0.187593","35.779198","30.811602","0.244342","0.092067","0.109715","0.168800","0.201440","0.140569","0.189540","0.156636","0.051222","0.152683","0.201350","0.150888","0.099228"
"448","305","0.243736","0.188084","0.232002","0.225304","37.030792","0.387369","0.234920","0.154232","0.143980","0.216585","0.227949","0.144474","0.215566","0.243730","0.058660","0.219176","0.214561","0.227600","0.141872"
"449","310","0.269717","0.159389","0.225832","0.230130","44.097051","9.048551","0.232087","0.148162","0.143853","0.219729","0.229689","0.139875","0.222564","0.231285","0.055663","0.230156","0.193722","0.232190","0.149041"
"450","315","0.250440","0.164430","0.245195","0.238185","31.057119","4.997765","0.263550","0.143738","0.151414","0.229950","0.248531","0.146803","0.244733","0.226915","0.059470","0.227192","0.259002","0.230175","0.150528"
"451","320","0.252561","0.161784","0.237979","0.228019","3.752344","15.828194","0.230742","0.154540","0.149818","0.224165","0.223140","0.160278","0.238832","0.238272","0.065861","0.208222","0.228611","0.210703","0.152931"
"452","325","0.237924","0.154635","0.230853","0.233068","4.475712","11.608042","0.244758","0.146761","0.140958","0.225124","0.230336","0.158450","0.218866","0.230133","0.050760","0.238906","0.235266","0.250217","0.142096"
"453","330","0.215512","0.134915","0.221859","0.234945","16.023187","14.335978","0.236829","0.145400","0.144388","0.216941","0.228217","0.140229","0.230506","0.241088","0.051553","0.216541","0.250262","0.236082","0.130343"
"454","335","0.228807","0.129220","0.240138","0.234635","11.113021","5.975761","0.246698","0.137828","0.145844","0.218522","0.233486","0.145118","0.225891","0.223930","0.053339","0.234948","0.201511","0.232795","0.139166"
"455","340","0.253445","0.168650","0.240549","0.222420","17.755550","24.698566","0.232285","0.140338","0.156625","0.214294","0.225508","0.149482","0.207331","0.229809","0.066032","0.239115","0.217799","0.221181","0.122520"
"456","345","0.232208","0.000000","0.248496","0.237106","16.180924","21.917437","0.221386","0.142436","0.137172","0.216136","0.222060","0.133520","0.226013","0.301318","0.052041","0.246742","0.243997","0.248454","0.139874"
"457","350","0.229813","0.174342","0.248346","0.296277","15.482985","9.162855","0.257414","0.141549","0.138007","0.213881","0.237417","0.126363","0.235645","0.233684","0.057628","0.232730","0.306227","0.189999","0.146612"
"458","355","0.297687","0.000000","0.220513","0.234123","0.249071","0.363414","0.000000","0.133900","0.127342","0.224679","0.223944","0.130087","0.252617","0.232100","0.064317","0.216246","0.000000","0.000000","0.133440"
"459","360","0.000000","0.163641","0.251456","0.199662","20.261730","0.000000","0.264393","0.116804","0.128531","0.216092","0.193308","0.000000","0.246484","0.251796","0.064023","0.214351","0.000000","0.119588","0.103026"
