"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"10","0","0.00","0.00","36.20","8.20","47.20","5.40","9.60","16.00","28.00","16.60","14.40","9.00","15.00","0.60","0.20","17.40","0.00","0.00","5.40"
"11","5","0.00","0.20","12.00","11.20","17.60","0.60","1.60","3.20","9.80","6.60","15.80","0.80","8.80","3.20","0.00","5.00","0.00","0.00","7.20"
"12","10","0.00","0.00","6.40","5.20","5.00","0.20","0.20","0.60","4.80","1.60","8.80","0.20","2.40","2.80","0.80","0.80","0.00","0.00","4.00"
"13","15","0.00","0.00","0.20","0.60","0.00","0.00","0.00","0.00","0.00","0.20","1.20","0.00","0.40","0.20","0.20","0.20","0.00","0.00","0.40"
"14","20","0.00","0.40","1.60","1.20","6.60","0.60","0.00","1.20","2.60","0.40","1.20","0.00","0.20","2.60","0.60","1.00","0.00","0.00","1.00"
"15","25","0.00","0.20","2.20","0.40","2.20","0.40","0.00","0.40","1.20","0.80","1.00","0.00","1.00","0.20","0.20","0.40","0.00","0.20","0.40"
"16","30","0.00","0.20","0.60","1.00","1.20","0.00","0.00","0.20","0.40","0.60","1.00","0.00","0.60","0.80","0.20","0.40","0.40","0.20","0.60"
"17","35","0.20","0.00","0.20","0.40","0.60","0.00","0.00","0.00","0.00","0.00","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20"
"18","40","0.20","0.00","0.20","0.20","0.40","0.00","0.40","0.00","0.20","0.00","0.20","0.40","0.00","0.20","0.00","0.00","0.00","0.00","0.00"
"19","45","0.00","0.00","1.60","3.60","12.20","0.80","0.20","2.00","2.80","1.40","6.00","0.40","0.60","1.40","0.20","1.60","0.00","0.00","3.60"
"20","50","0.00","0.20","5.60","4.00","17.80","1.00","0.80","4.00","5.20","3.20","8.60","0.80","3.40","2.40","0.00","4.20","0.20","0.20","3.40"
"21","55","0.00","0.00","7.60","6.80","15.40","2.20","0.80","2.40","7.60","3.40","10.60","0.80","3.20","4.20","0.40","2.20","0.00","0.00","5.60"
"22","60","0.00","0.60","9.60","3.80","13.40","2.20","0.80","1.60","10.40","1.60","6.60","0.60","2.20","4.20","0.40","1.60","0.00","0.20","2.40"
