Title: ECSA-2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    2fkQdZD7V7Kvw7VSttuxB3w6KHiO4QeW.14B


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         48.40     4.80    77.40  11.40       9.20      24.60  39.60  19.40        12.00           10.40          14.40        0.40       0.00          22.00        0.00     0.00         4.20
5                0.00    0.00         24.60    28.60    68.00   2.80       6.00      13.60  25.60  18.80        47.60            4.20          21.40        7.60       0.60          16.00        0.00     0.00        21.60
10               0.00    0.80         34.80    25.00    68.80  10.80       1.60       8.40  35.80   8.40        39.20            2.20           9.60       20.80       5.40           8.20        0.20     0.20        20.40
15               0.40    4.20         36.80    22.60    60.40   7.80       4.20      11.00  30.00  11.20        30.40            4.20          11.00       18.80       8.20          11.80        2.40     2.80        16.80
20               1.00    5.60         13.80    16.00    25.20   1.20       2.60       3.20  10.20   5.80        17.20            2.20           6.40       10.00       3.20           4.60        2.60     3.80         9.20
25               0.40    1.80          8.40     9.00    12.20   0.40       0.60       1.60   4.40   1.60         9.80            0.60           2.40        3.20       1.00           1.20        3.20     1.60         3.60
30               1.00    0.40          2.60     3.80     0.00   0.00       1.40       0.20   1.20   1.00         2.40            1.20           1.20        1.00       0.60           0.80        0.00     0.00         0.40
35               0.00    0.00          0.00     0.20     0.00   0.00       0.00       0.00   0.00   0.00         0.00            0.00           0.20        0.00       0.00           0.00        0.00     0.00         0.20
40               0.40    0.60          1.20     1.60     5.80   0.00       0.20       0.80   1.00   0.40         2.40            0.40           0.40        1.20       0.20           0.40        0.40     0.60         0.80
45               0.80    0.20          1.00     2.20     2.00   0.20       0.80       0.00   0.40   0.40         2.00            0.80           0.40        0.60       0.40           0.40        0.40     0.20         0.60
