"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"764","0.00000","1161","1163","10162","8560","19926","2223","2331","2759","9001","2758","10147","2331","2757","3918","1162","2758","1162","1161","3911"
"765","0.10000","0","0","0","0","316","96","0","0","0","0","1","0","0","0","0","0","0","0","0"
"766","0.20000","0","0","0","0","54","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"767","0.30000","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"768","0.40000","0","0","0","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"769","0.50000","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"770","0.60000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"771","0.70000","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"772","0.80000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"773","0.90000","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"774","1.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
