"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"10","0","0.00","0.00","8.20","0.60","13.00","2.80","1.80","3.00","7.60","2.40","2.20","1.80","2.00","0.00","0.00","3.20","0.00","0.00","0.80"
"11","5","0.00","0.00","6.20","4.40","12.40","0.80","0.60","3.20","5.20","2.60","6.20","0.80","2.40","1.40","0.20","2.60","0.00","0.00","2.20"
"12","10","0.00","0.00","5.80","3.20","10.40","1.60","1.20","2.00","5.20","3.00","5.40","1.20","3.20","2.40","1.00","2.80","0.00","0.00","2.80"
"13","15","0.20","0.80","4.20","5.80","12.60","0.80","1.00","1.20","3.40","1.00","7.60","1.20","1.20","2.80","1.20","0.80","0.60","0.60","4.60"
"14","20","0.00","1.60","5.80","6.20","11.00","1.00","0.40","0.80","4.60","1.40","6.40","0.00","1.40","4.00","1.60","1.20","1.20","1.20","3.20"
"15","25","1.20","1.40","4.60","3.60","11.40","1.40","1.40","1.40","4.00","1.20","4.20","2.00","0.80","2.80","0.80","1.20","1.40","1.40","1.80"
"16","30","1.40","0.80","4.80","6.40","9.80","1.00","1.20","1.20","4.20","1.40","6.80","0.80","2.00","2.00","0.20","1.20","0.80","1.00","1.60"
"17","35","1.00","0.60","5.80","4.80","9.40","0.80","1.80","1.00","4.60","0.80","5.00","2.00","0.80","1.40","0.60","1.20","0.60","0.60","1.60"
"18","40","0.60","0.20","2.40","2.20","3.40","0.20","1.00","0.40","1.40","0.60","2.40","0.80","0.60","1.20","0.40","0.40","0.40","0.40","0.80"
"19","45","0.20","0.20","2.00","2.00","7.60","0.80","0.80","1.00","2.20","0.80","3.60","0.80","0.40","0.40","0.20","1.00","0.40","0.40","0.60"
"20","50","0.40","0.40","4.80","3.60","4.60","0.40","1.00","0.40","4.20","0.80","2.60","0.80","1.00","1.60","0.40","0.40","0.20","0.00","1.80"
"21","55","0.20","0.00","1.00","2.20","9.00","0.60","0.20","1.20","0.60","0.20","2.80","0.20","0.40","0.60","0.40","0.80","0.20","0.20","1.00"
"22","60","0.60","1.00","6.60","3.00","9.40","1.80","1.00","1.60","7.20","1.80","4.20","1.60","1.40","2.60","0.40","1.60","0.60","1.00","1.00"
"23","65","0.60","0.40","5.60","4.60","9.00","1.20","1.20","1.80","3.60","2.40","4.80","1.20","2.60","0.80","0.20","2.00","0.80","0.40","2.20"
"24","70","0.20","0.00","4.60","4.80","12.40","2.20","1.80","1.00","5.00","0.80","6.80","1.40","1.00","2.40","0.80","0.80","0.20","0.20","2.00"
"25","75","0.80","0.40","7.00","4.40","10.60","1.80","1.80","1.20","7.00","1.00","5.00","2.00","0.60","1.80","0.60","1.40","0.40","0.40","2.00"
"26","80","0.00","1.00","6.00","3.40","12.80","1.60","1.00","2.20","5.60","1.80","4.60","0.80","2.20","2.40","0.20","2.00","0.60","0.60","1.80"
"27","85","0.80","0.40","5.20","5.20","10.60","1.00","1.00","1.40","5.00","1.60","5.80","1.20","1.60","2.00","1.00","1.20","0.60","0.80","3.00"
"28","90","0.60","0.20","5.40","5.20","11.20","0.60","1.80","1.60","4.00","1.40","5.60","1.40","1.40","2.20","1.00","1.60","0.20","0.00","2.00"
"29","95","0.40","1.00","4.80","3.80","9.00","1.00","0.80","2.00","4.20","1.60","5.40","0.80","1.20","2.20","0.40","1.60","0.60","0.80","1.80"
"30","100","0.60","1.00","5.20","4.00","12.20","1.40","0.60","0.80","4.40","1.80","5.40","1.00","2.20","2.60","0.80","1.40","1.00","0.80","2.60"
"31","105","0.80","1.00","5.40","5.80","11.20","0.60","1.20","1.80","4.80","1.40","5.60","0.80","0.80","2.20","0.40","1.40","1.20","1.40","1.80"
"32","110","1.20","0.00","5.40","5.00","10.40","1.60","1.00","1.40","4.60","1.80","5.80","1.40","2.00","1.60","0.40","1.80","0.40","0.20","2.20"
"33","115","0.60","0.80","5.20","5.00","10.80","1.80","2.40","0.60","4.60","1.00","6.40","2.00","1.40","2.00","0.80","1.00","0.20","0.40","2.40"
"34","120","0.40","0.60","7.60","3.60","12.00","2.00","0.80","2.00","7.60","0.60","4.20","1.00","0.60","2.40","1.00","1.20","1.00","0.80","1.60"
"35","125","0.40","1.00","5.40","4.60","11.20","1.40","1.60","1.80","4.20","3.00","5.20","1.40","2.60","1.80","0.00","2.60","1.00","1.00","1.80"
"36","130","1.20","0.20","5.20","5.60","11.20","1.00","1.40","1.00","4.40","0.80","6.00","1.80","1.00","2.20","0.60","0.80","0.40","0.40","2.80"
"37","135","0.40","0.00","5.40","4.20","10.20","1.40","1.20","1.80","6.00","1.00","5.80","1.00","1.00","2.40","1.00","1.60","0.00","0.00","1.40"
"38","140","0.20","2.00","4.60","4.40","12.40","1.60","1.20","1.60","3.40","2.00","5.20","1.20","2.20","2.20","1.00","1.80","0.80","1.00","3.20"
"39","145","0.20","0.40","6.80","5.80","11.20","0.60","1.00","1.20","4.60","1.20","6.60","0.80","1.20","2.40","0.80","1.20","1.40","1.40","2.40"
"40","150","2.00","0.80","4.20","6.00","11.20","0.80","1.40","1.60","4.80","1.80","6.40","2.20","1.80","2.40","0.60","1.40","0.80","0.60","2.80"
"41","155","0.60","0.40","6.20","4.80","10.60","1.60","2.00","0.60","4.60","1.20","5.60","1.20","1.00","2.00","1.00","1.00","0.40","0.40","1.60"
"42","160","0.80","1.40","6.40","4.80","13.00","1.60","1.40","1.60","6.80","1.20","5.60","1.40","1.20","2.60","0.20","1.60","0.60","0.80","1.20"
"43","165","0.20","0.40","6.20","4.00","11.20","2.60","1.40","2.00","5.20","2.40","4.60","2.00","2.00","1.60","0.80","2.00","1.00","1.00","2.00"
"44","170","1.40","0.20","5.60","6.40","12.00","0.40","2.00","1.20","4.60","0.40","7.20","1.80","0.80","1.80","0.00","0.60","0.60","0.40","2.20"
"45","175","0.00","0.60","6.80","3.40","11.00","2.60","1.40","2.00","6.60","1.00","3.20","1.40","1.00","2.20","1.00","1.80","0.40","0.40","1.60"
"46","180","0.60","0.40","5.80","3.80","11.00","1.80","1.20","1.40","4.60","2.20","5.00","1.20","2.20","0.80","0.40","1.60","0.20","0.20","1.60"
"47","185","0.40","0.60","5.40","5.00","11.80","1.00","1.80","1.20","5.40","2.20","7.80","1.60","2.40","2.40","0.40","1.80","0.60","0.80","2.80"
"48","190","0.20","0.60","4.60","5.80","11.60","1.40","0.80","1.40","4.60","0.80","6.40","0.60","0.60","3.00","1.20","1.40","0.60","0.60","2.60"
"49","195","0.80","0.80","5.00","4.40","10.00","1.20","1.80","0.80","4.40","1.00","5.00","1.80","1.20","2.40","1.60","0.40","0.40","0.40","3.00"
"50","200","0.40","2.00","6.20","4.60","12.20","1.00","1.40","1.80","4.60","1.40","4.20","1.60","1.20","2.40","0.20","2.00","1.40","1.60","1.00"
"51","205","1.60","0.00","7.00","6.40","12.20","1.60","1.60","1.40","5.40","1.60","7.20","1.80","1.60","1.20","0.00","1.40","1.40","1.00","2.00"
"52","210","1.20","0.20","4.60","5.20","10.20","1.40","2.00","1.20","5.00","1.20","5.20","2.20","1.40","1.60","0.80","1.20","0.20","0.20","2.00"
"53","215","0.40","0.60","6.80","4.80","12.60","1.20","1.80","1.80","6.00","1.80","6.00","1.20","1.20","2.20","0.60","1.40","0.20","0.40","1.60"
"54","220","0.40","0.60","6.40","3.80","12.40","1.80","1.00","1.60","6.60","1.60","5.80","1.20","1.80","2.20","0.20","2.00","0.80","0.80","2.00"
"55","225","0.40","0.20","6.40","4.80","10.80","1.00","1.20","2.00","5.20","1.60","5.60","1.40","1.80","1.60","0.40","1.80","0.40","0.20","2.80"
"56","230","0.60","0.80","5.00","5.00","12.60","1.20","1.20","2.00","5.20","2.00","6.40","1.00","2.20","3.20","1.00","1.80","0.00","0.20","2.40"
"57","235","0.00","1.00","6.20","3.80","11.40","0.60","0.40","1.20","5.60","1.60","5.00","0.40","1.20","2.40","0.60","1.60","1.00","1.00","2.60"
"58","240","1.00","0.40","6.00","4.80","10.80","0.80","1.20","2.80","3.80","1.80","6.00","1.40","1.80","2.60","0.80","2.40","1.00","1.00","2.20"
"59","245","1.20","0.80","6.20","5.20","12.80","1.80","1.60","1.20","5.60","2.60","6.00","1.80","1.60","2.00","0.40","1.60","0.60","0.40","2.40"
"60","250","0.60","0.20","6.40","5.40","12.40","1.80","1.60","1.40","6.40","0.80","7.00","1.60","2.20","2.00","0.20","1.00","0.40","0.40","1.60"
"61","255","0.20","0.40","4.80","3.40","10.80","1.80","1.80","1.40","5.60","1.40","4.00","1.40","1.40","2.40","0.60","1.40","0.20","0.40","2.20"
"62","260","0.00","0.80","6.80","4.40","11.40","1.40","0.80","1.60","5.80","1.40","5.40","0.60","1.00","2.00","0.40","1.80","0.40","0.60","2.00"
"63","265","0.40","0.40","6.80","4.00","12.40","1.80","1.20","1.80","5.80","2.20","4.00","1.80","2.60","1.20","0.20","2.00","1.00","0.60","1.60"
"64","270","1.00","0.00","4.00","5.00","8.80","0.60","1.20","1.80","3.20","2.00","6.80","0.80","1.80","2.40","1.60","2.00","0.20","0.20","3.20"
"65","275","0.40","0.80","5.40","4.40","11.60","1.40","0.80","1.20","5.80","1.00","6.40","0.60","0.80","3.40","0.60","1.00","0.20","0.40","2.80"
"66","280","0.20","1.00","6.00","3.20","11.60","1.40","0.40","1.80","4.40","2.20","3.60","0.40","2.40","1.60","0.60","2.00","1.20","1.40","2.20"
"67","285","0.80","0.80","4.00","5.80","10.40","0.60","1.40","1.80","3.20","1.60","6.20","1.40","1.80","3.20","1.00","1.80","0.40","0.40","2.20"
"68","290","0.80","1.00","5.20","6.20","11.80","1.20","0.80","1.80","4.40","1.40","7.20","0.80","1.40","1.80","1.00","1.20","1.60","1.20","3.60"
"69","295","1.40","1.00","5.00","5.20","10.40","1.00","1.80","0.60","4.40","1.20","6.20","1.80","1.20","3.20","1.00","1.00","0.80","1.00","2.00"
"70","300","0.80","0.60","6.20","5.60","11.20","1.40","1.20","1.00","4.20","1.00","5.60","1.60","1.00","1.60","0.80","1.00","0.40","0.20","1.60"
"71","305","0.60","1.60","6.20","5.00","12.00","1.40","1.80","2.20","5.40","1.40","5.20","1.40","1.00","2.40","0.40","1.60","1.60","1.60","2.00"
"72","310","0.80","0.40","5.20","5.60","11.40","1.40","1.40","1.20","5.00","1.80","6.00","1.40","1.80","2.40","1.00","1.60","0.60","0.80","1.60"
"73","315","1.20","0.40","5.00","4.80","11.00","0.80","1.60","1.00","4.40","1.40","6.00","1.80","1.20","1.40","0.20","1.40","0.40","0.20","2.40"
"74","320","0.60","0.60","6.00","4.80","10.40","1.60","1.40","1.80","6.00","1.20","5.60","1.40","1.60","2.20","0.60","1.60","0.60","0.80","2.40"
"75","325","0.40","0.40","5.00","3.20","11.80","1.40","1.80","0.60","4.00","0.80","5.00","1.80","0.80","1.60","0.40","0.60","0.40","0.40","1.20"
"76","330","0.40","0.40","7.00","5.00","10.80","1.00","0.80","2.00","6.80","1.60","4.80","1.00","1.40","2.00","0.80","1.80","0.40","0.20","2.20"
"77","335","0.80","0.40","4.60","4.20","10.00","0.40","1.00","2.40","3.80","2.80","6.00","1.00","2.80","2.20","0.40","2.60","0.40","0.60","1.80"
"78","340","0.20","0.80","5.00","4.60","11.80","1.40","1.00","1.40","4.60","1.60","6.00","0.80","1.40","2.40","0.60","1.60","0.80","0.80","3.20"
"79","345","0.60","0.40","5.80","4.60","11.20","1.80","0.80","1.80","6.20","1.00","5.80","0.60","1.20","2.80","0.40","1.60","0.60","0.40","1.80"
"80","350","0.80","0.80","8.60","4.80","12.40","1.60","1.40","1.00","7.40","1.60","4.80","1.40","1.60","1.80","0.40","1.00","0.60","0.60","2.20"
"81","355","0.40","0.20","5.60","3.60","12.20","2.00","1.00","3.20","4.00","2.40","4.80","1.00","2.40","1.80","0.80","2.60","0.60","0.60","2.00"
"82","360","0.80","1.00","3.80","4.80","10.80","0.40","1.60","1.20","3.20","2.40","7.20","1.60","2.60","2.60","1.00","2.00","0.60","0.60","3.20"
"83","365","0.60","0.80","5.20","7.00","12.60","1.60","1.00","1.00","5.40","0.60","7.20","1.20","0.60","3.00","1.40","0.80","0.40","1.00","3.20"
"84","370","0.60","1.40","6.40","5.20","11.40","1.20","1.00","1.60","4.00","1.40","4.80","1.20","1.20","3.20","1.00","1.60","1.80","1.40","2.00"
"85","375","1.40","1.40","5.60","5.80","12.20","0.80","1.60","1.20","4.80","1.00","7.40","1.40","1.40","2.60","0.40","0.60","0.60","0.80","2.00"
