Title: ECSA-AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    AnXlR8fLjpDf2bwHGWAyaMSMCPPPZPqh.14N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue  home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  ----  ----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00          8.20     0.60    13.00   2.80       1.80       3.00  7.60  2.40         2.20            1.80           2.00        0.00       0.00           3.20        0.00     0.00         0.80
5                0.00    0.00          6.20     4.40    12.40   0.80       0.60       3.20  5.20  2.60         6.20            0.80           2.40        1.40       0.20           2.60        0.00     0.00         2.20
10               0.00    0.00          5.80     3.20    10.40   1.60       1.20       2.00  5.20  3.00         5.40            1.20           3.20        2.40       1.00           2.80        0.00     0.00         2.80
15               0.20    0.80          4.20     5.80    12.60   0.80       1.00       1.20  3.40  1.00         7.60            1.20           1.20        2.80       1.20           0.80        0.60     0.60         4.60
20               0.00    1.60          5.80     6.20    11.00   1.00       0.40       0.80  4.60  1.40         6.40            0.00           1.40        4.00       1.60           1.20        1.20     1.20         3.20
25               1.20    1.40          4.60     3.60    11.40   1.40       1.40       1.40  4.00  1.20         4.20            2.00           0.80        2.80       0.80           1.20        1.40     1.40         1.80
30               1.40    0.80          4.80     6.40     9.80   1.00       1.20       1.20  4.20  1.40         6.80            0.80           2.00        2.00       0.20           1.20        0.80     1.00         1.60
35               1.00    0.60          5.80     4.80     9.40   0.80       1.80       1.00  4.60  0.80         5.00            2.00           0.80        1.40       0.60           1.20        0.60     0.60         1.60
40               0.60    0.20          2.40     2.20     3.40   0.20       1.00       0.40  1.40  0.60         2.40            0.80           0.60        1.20       0.40           0.40        0.40     0.40         0.80
45               0.20    0.20          2.00     2.00     7.60   0.80       0.80       1.00  2.20  0.80         3.60            0.80           0.40        0.40       0.20           1.00        0.40     0.40         0.60
50               0.40    0.40          4.80     3.60     4.60   0.40       1.00       0.40  4.20  0.80         2.60            0.80           1.00        1.60       0.40           0.40        0.20     0.00         1.80
55               0.20    0.00          1.00     2.20     9.00   0.60       0.20       1.20  0.60  0.20         2.80            0.20           0.40        0.60       0.40           0.80        0.20     0.20         1.00
60               0.60    1.00          6.60     3.00     9.40   1.80       1.00       1.60  7.20  1.80         4.20            1.60           1.40        2.60       0.40           1.60        0.60     1.00         1.00
65               0.60    0.40          5.60     4.60     9.00   1.20       1.20       1.80  3.60  2.40         4.80            1.20           2.60        0.80       0.20           2.00        0.80     0.40         2.20
70               0.20    0.00          4.60     4.80    12.40   2.20       1.80       1.00  5.00  0.80         6.80            1.40           1.00        2.40       0.80           0.80        0.20     0.20         2.00
75               0.80    0.40          7.00     4.40    10.60   1.80       1.80       1.20  7.00  1.00         5.00            2.00           0.60        1.80       0.60           1.40        0.40     0.40         2.00
80               0.00    1.00          6.00     3.40    12.80   1.60       1.00       2.20  5.60  1.80         4.60            0.80           2.20        2.40       0.20           2.00        0.60     0.60         1.80
85               0.80    0.40          5.20     5.20    10.60   1.00       1.00       1.40  5.00  1.60         5.80            1.20           1.60        2.00       1.00           1.20        0.60     0.80         3.00
90               0.60    0.20          5.40     5.20    11.20   0.60       1.80       1.60  4.00  1.40         5.60            1.40           1.40        2.20       1.00           1.60        0.20     0.00         2.00
95               0.40    1.00          4.80     3.80     9.00   1.00       0.80       2.00  4.20  1.60         5.40            0.80           1.20        2.20       0.40           1.60        0.60     0.80         1.80
100              0.60    1.00          5.20     4.00    12.20   1.40       0.60       0.80  4.40  1.80         5.40            1.00           2.20        2.60       0.80           1.40        1.00     0.80         2.60
105              0.80    1.00          5.40     5.80    11.20   0.60       1.20       1.80  4.80  1.40         5.60            0.80           0.80        2.20       0.40           1.40        1.20     1.40         1.80
110              1.20    0.00          5.40     5.00    10.40   1.60       1.00       1.40  4.60  1.80         5.80            1.40           2.00        1.60       0.40           1.80        0.40     0.20         2.20
115              0.60    0.80          5.20     5.00    10.80   1.80       2.40       0.60  4.60  1.00         6.40            2.00           1.40        2.00       0.80           1.00        0.20     0.40         2.40
120              0.40    0.60          7.60     3.60    12.00   2.00       0.80       2.00  7.60  0.60         4.20            1.00           0.60        2.40       1.00           1.20        1.00     0.80         1.60
125              0.40    1.00          5.40     4.60    11.20   1.40       1.60       1.80  4.20  3.00         5.20            1.40           2.60        1.80       0.00           2.60        1.00     1.00         1.80
130              1.20    0.20          5.20     5.60    11.20   1.00       1.40       1.00  4.40  0.80         6.00            1.80           1.00        2.20       0.60           0.80        0.40     0.40         2.80
135              0.40    0.00          5.40     4.20    10.20   1.40       1.20       1.80  6.00  1.00         5.80            1.00           1.00        2.40       1.00           1.60        0.00     0.00         1.40
140              0.20    2.00          4.60     4.40    12.40   1.60       1.20       1.60  3.40  2.00         5.20            1.20           2.20        2.20       1.00           1.80        0.80     1.00         3.20
145              0.20    0.40          6.80     5.80    11.20   0.60       1.00       1.20  4.60  1.20         6.60            0.80           1.20        2.40       0.80           1.20        1.40     1.40         2.40
150              2.00    0.80          4.20     6.00    11.20   0.80       1.40       1.60  4.80  1.80         6.40            2.20           1.80        2.40       0.60           1.40        0.80     0.60         2.80
155              0.60    0.40          6.20     4.80    10.60   1.60       2.00       0.60  4.60  1.20         5.60            1.20           1.00        2.00       1.00           1.00        0.40     0.40         1.60
160              0.80    1.40          6.40     4.80    13.00   1.60       1.40       1.60  6.80  1.20         5.60            1.40           1.20        2.60       0.20           1.60        0.60     0.80         1.20
165              0.20    0.40          6.20     4.00    11.20   2.60       1.40       2.00  5.20  2.40         4.60            2.00           2.00        1.60       0.80           2.00        1.00     1.00         2.00
170              1.40    0.20          5.60     6.40    12.00   0.40       2.00       1.20  4.60  0.40         7.20            1.80           0.80        1.80       0.00           0.60        0.60     0.40         2.20
175              0.00    0.60          6.80     3.40    11.00   2.60       1.40       2.00  6.60  1.00         3.20            1.40           1.00        2.20       1.00           1.80        0.40     0.40         1.60
180              0.60    0.40          5.80     3.80    11.00   1.80       1.20       1.40  4.60  2.20         5.00            1.20           2.20        0.80       0.40           1.60        0.20     0.20         1.60
185              0.40    0.60          5.40     5.00    11.80   1.00       1.80       1.20  5.40  2.20         7.80            1.60           2.40        2.40       0.40           1.80        0.60     0.80         2.80
