"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"2449","0.000","547","520","4852","4119","9551","1072","1146","1318","4360","1308","4781","1122","1226","1889","571","1311","558","549","1853"
"2450","0.050","525","521","4626","3835","9031","1063","1043","1190","3996","1257","4581","1004","1220","1724","510","1259","531","501","1757"
"2451","0.100","516","521","4275","3607","8653","954","1001","1098","3862","1160","4208","1018","1186","1651","451","1179","470","514","1664"
"2452","0.150","452","477","4066","3437","8135","938","914","1097","3647","1083","3954","911","1091","1521","457","1088","490","476","1582"
"2453","0.200","486","439","3859","3268","7642","866","901","992","3510","1067","3825","968","1042","1498","428","1051","430","445","1490"
"2454","0.250","435","409","3731","3138","7313","838","866","1013","3309","1049","3734","835","992","1436","400","1042","400","421","1443"
"2455","0.300","405","384","3392","2995","7010","813","794","931","3053","954","3517","813","984","1412","409","956","400","393","1381"
"2456","0.350","377","384","3341","2775","6565","801","741","908","2939","857","3345","771","917","1322","383","914","398","371","1262"
"2457","0.400","347","366","3199","2670","6388","709","670","838","2886","873","3166","708","860","1204","369","869","392","389","1197"
"2458","0.450","357","380","2978","2594","5900","713","704","831","2638","793","3003","700","823","1174","339","809","367","358","1156"
"2459","0.500","307","354","2884","2402","5796","677","678","784","2530","771","2849","641","780","1157","320","747","310","365","1134"
"2460","0.550","313","346","2697","2310","5417","597","662","722","2412","716","2736","629","700","1083","315","713","336","318","1031"
"2461","0.600","275","304","2592","2198","5371","617","622","715","2183","720","2593","579","702","970","305","678","290","312","976"
"2462","0.650","274","273","2531","2099","4906","608","583","627","2125","670","2521","635","646","941","313","662","285","269","900"
"2463","0.700","282","255","2360","1919","4703","562","531","616","2089","624","2364","489","617","861","281","610","272","287","898"
"2464","0.750","282","267","2258","1918","4560","470","544","573","2013","627","2197","509","580","825","268","609","257","236","845"
"2465","0.800","259","262","2218","1785","4361","446","497","583","1896","607","2202","532","561","812","218","583","213","246","818"
"2466","0.850","244","225","2042","1718","4052","469","413","608","1792","596","2015","449","554","814","245","601","236","223","839"
"2467","0.900","210","219","1914","1601","3835","453","452","574","1656","488","1876","480","499","733","252","510","223","215","726"
"2468","0.950","173","200","1845","1534","3719","432","406","529","1571","495","1871","415","490","750","188","493","224","213","699"
"2469","1.000","228","194","1736","1464","3495","414","406","424","1549","444","1748","405","472","655","227","501","187","198","677"
"2470","1.050","197","172","1661","1405","3251","386","372","419","1508","426","1634","368","475","639","188","433","194","216","640"
"2471","1.100","184","180","1564","1410","3141","359","380","460","1482","404","1589","364","440","580","174","408","174","190","608"
"2472","1.150","157","173","1444","1246","2961","372","349","377","1332","409","1484","359","422","582","159","408","161","170","539"
"2473","1.200","167","143","1406","1183","2855","321","330","415","1315","401","1413","344","368","573","167","391","149","155","524"
"2474","1.250","157","179","1332","1063","2771","316","278","369","1206","341","1374","306","369","497","169","377","155","152","510"
"2475","1.300","162","143","1333","1147","2520","321","289","312","1148","343","1322","293","364","452","146","360","135","171","467"
