"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"2553","0.000","538","510","4789","4074","9416","1060","1134","1299","4307","1291","4720","1104","1208","1868","560","1289","550","544","1833"
"2554","0.050","525","522","4628","3829","9045","1059","1044","1190","3974","1260","4582","1011","1223","1723","516","1261","530","498","1743"
"2555","0.100","521","530","4258","3604","8669","961","995","1100","3880","1158","4205","1016","1189","1647","452","1178","476","519","1669"
"2556","0.150","449","474","4091","3435","8134","933","914","1095","3639","1086","3967","906","1085","1520","454","1095","485","468","1588"
"2557","0.200","487","438","3864","3286","7662","863","909","992","3537","1062","3824","971","1047","1504","430","1048","433","448","1493"
"2558","0.250","438","411","3725","3131","7314","841","863","1018","3301","1051","3741","839","991","1447","399","1047","405","420","1437"
"2559","0.300","400","381","3390","3008","6996","811","792","931","3058","962","3511","816","985","1402","406","959","394","398","1391"
"2560","0.350","383","384","3346","2770","6581","813","742","912","2946","850","3357","771","919","1327","390","916","393","370","1257"
"2561","0.400","347","367","3195","2678","6372","703","674","834","2890","878","3150","708","856","1208","369","859","396","387","1204"
"2562","0.450","354","379","2990","2588","5929","717","702","840","2639","790","3021","702","825","1164","340","816","370","357","1149"
"2563","0.500","310","357","2891","2398","5781","677","685","774","2535","773","2843","635","780","1170","316","747","312","368","1137"
"2564","0.550","310","343","2697","2317","5420","596","659","728","2405","722","2742","630","704","1077","315","717","334","323","1027"
"2565","0.600","278","307","2602","2201","5395","620","618","713","2179","710","2596","580","703","965","307","670","289","311","983"
"2566","0.650","272","271","2509","2107","4896","602","583","628","2132","678","2527","635","645","955","312","662","283","269","907"
"2567","0.700","283","257","2377","1911","4692","565","537","613","2079","626","2362","494","616","857","280","616","274","280","895"
"2568","0.750","283","263","2264","1924","4592","474","542","578","2019","622","2199","507","585","822","269","610","258","244","852"
"2569","0.800","258","266","2212","1793","4345","443","500","588","1906","609","2194","530","559","810","216","585","216","243","816"
"2570","0.850","244","227","2050","1716","4063","467","414","597","1792","597","2012","453","552","816","247","600","235","222","835"
"2571","0.900","211","218","1910","1598","3827","456","446","575","1656","490","1881","480","497","738","251","507","222","215","723"
"2572","0.950","171","199","1849","1536","3746","434","412","535","1574","495","1876","409","491","752","187","495","226","217","703"
"2573","1.000","227","194","1736","1456","3484","414","402","425","1546","441","1756","411","473","648","231","503","183","194","679"
"2574","1.050","201","173","1668","1415","3264","384","377","420","1510","427","1624","372","478","645","189","433","197","218","643"
"2575","1.100","183","181","1560","1405","3130","355","381","461","1486","409","1602","361","439","577","174","404","175","190","606"
"2576","1.150","157","173","1447","1249","2968","377","344","376","1329","408","1474","360","423","584","158","411","161","171","539"
"2577","1.200","166","142","1410","1187","2857","320","333","416","1318","397","1421","338","373","571","167","393","148","153","522"
"2578","1.250","156","178","1333","1058","2763","318","276","373","1202","341","1371","310","363","498","166","375","155","153","510"
"2579","1.300","162","145","1324","1149","2527","320","292","308","1158","344","1320","297","369","456","144","363","136","173","471"
"2580","1.350","141","136","1236","1033","2504","280","277","292","1036","335","1292","276","310","451","142","312","130","132","442"
"2581","1.400","136","145","1104","1036","2286","263","269","332","1020","326","1169","283","317","439","149","332","119","121","443"
"2582","1.450","132","136","1123","931","2225","239","257","303","941","301","1094","242","316","441","121","293","126","131","418"
"2583","1.500","141","123","1007","918","2141","241","232","314","951","277","1075","244","271","444","107","288","114","117","410"
"2584","1.550","113","118","989","846","2011","238","248","248","889","269","996","241","281","375","114","271","104","112","419"
"2585","1.600","100","91","978","808","1999","205","214","285","823","272","983","202","213","378","111","252","99","100","361"
"2586","1.650","102","111","939","742","1788","201","220","256","789","234","963","220","266","344","111","231","101","112","316"
"2587","1.700","83","94","845","720","1742","200","205","219","729","223","888","200","221","334","101","247","100","102","324"
"2588","1.750","105","83","818","725","1605","185","203","202","715","210","835","157","228","303","101","206","69","85","358"
"2589","1.800","80","97","786","619","1559","191","181","229","690","193","773","179","216","292","85","177","90","98","308"
"2590","1.850","97","78","794","595","1477","188","160","190","656","193","760","183","220","284","95","205","96","91","247"
"2591","1.900","90","66","715","597","1490","156","166","199","631","206","719","182","205","268","97","193","96","70","259"
"2592","1.950","76","68","681","537","1337","145","135","193","603","180","717","143","189","252","76","211","98","72","249"
"2593","2.000","71","68","638","502","1247","159","156","178","566","154","613","130","182","250","63","182","68","58","271"
"2594","2.050","69","78","617","542","1219","138","139","180","548","183","623","139","180","237","59","133","74","72","268"
"2595","2.100","50","59","587","463","1229","131","140","182","514","159","581","123","172","224","65","150","63","87","234"
"2596","2.150","59","57","560","499","1103","117","119","142","450","124","556","118","148","185","53","147","70","42","204"
"2597","2.200","45","64","519","429","1078","104","121","150","512","172","511","133","144","210","68","142","78","41","214"
"2598","2.250","66","58","475","421","944","120","121","150","449","135","510","124","133","173","55","132","70","63","190"
"2599","2.300","50","58","447","413","924","109","120","123","395","127","467","112","146","211","56","141","58","46","188"
"2600","2.350","46","47","452","418","883","122","87","119","388","115","453","95","127","163","51","116","52","49","198"
"2601","2.400","47","48","450","345","885","96","107","102","358","121","457","102","118","162","45","122","42","45","168"
"2602","2.450","45","53","422","362","833","113","97","114","373","97","415","93","105","139","54","101","37","55","174"
"2603","2.500","53","43","381","362","874","92","85","130","343","81","395","87","107","167","36","96","51","51","157"
"2604","2.550","42","39","378","310","735","108","84","107","316","96","392","81","97","177","45","96","42","52","154"
"2605","2.600","57","38","360","270","738","73","85","91","335","86","346","92","123","118","47","103","43","39","147"
"2606","2.650","38","45","338","294","681","92","79","86","313","81","304","74","89","122","43","89","36","30","125"
"2607","2.700","29","37","300","242","631","59","67","76","283","87","287","66","75","121","35","79","39","37","128"
"2608","2.750","35","34","285","276","620","71","79","81","266","91","304","71","80","122","45","69","37","36","89"
"2609","2.800","27","28","298","221","551","65","65","94","270","74","303","64","69","105","37","81","30","32","123"
"2610","2.850","26","32","274","228","556","62","90","70","250","89","271","63","64","114","24","67","33","28","111"
"2611","2.900","26","37","241","235","527","62","68","72","215","70","260","61","74","107","37","59","31","30","103"
"2612","2.950","26","29","254","194","480","60","70","68","190","78","240","57","62","82","20","61","31","25","98"
"2613","3.000","30","28","233","206","493","65","58","69","214","59","245","54","72","85","27","63","35","24","84"
