"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"10","0","0.00","0.00","28.80","0.00","51.40","23.20","1.60","8.80","33.80","2.80","0.60","3.00","1.80","0.00","0.00","5.40","0.00","0.00","0.20"
"11","5","0.00","0.00","24.40","8.00","46.40","1.80","7.40","12.00","21.20","13.80","17.80","7.60","12.20","1.00","0.00","12.60","0.00","0.00","6.60"
"12","10","0.00","0.00","18.00","19.00","44.20","5.00","3.80","7.20","20.80","9.80","27.00","2.20","11.20","8.20","0.20","9.60","0.00","0.00","11.20"
"13","15","0.00","0.60","26.00","15.00","47.20","6.60","1.40","6.60","25.20","5.40","23.20","1.80","5.20","11.20","4.60","5.00","0.20","0.20","12.80"
"14","20","0.40","2.80","20.80","14.00","40.80","4.60","2.80","8.20","16.60","7.40","19.40","3.40","7.20","11.60","5.40","8.40","1.60","2.00","12.00"
"15","25","1.00","6.20","19.00","21.60","47.60","3.00","2.80","5.20","13.40","7.00","25.60","2.20","8.20","13.80","4.40","5.40","4.80","4.80","11.80"
"16","30","4.20","4.00","19.20","22.60","46.20","4.00","5.00","4.80","16.80","5.40","26.60","6.00","4.80","12.60","2.60","5.60","4.60","4.60","9.20"
"17","35","5.00","2.40","25.40","21.60","46.20","4.60","6.60","4.80","21.80","3.60","22.20","6.00","3.40","7.00","2.80","4.00","3.60","4.20","7.40"
"18","40","3.40","3.80","23.00","19.20","44.80","5.60","5.40","7.40","19.20","7.40","20.40","5.80","7.20","7.20","2.00","7.20","3.40","2.80","6.80"
"19","45","3.20","1.60","21.00","21.60","45.00","4.20","5.60","7.40","19.00","7.20","25.80","5.60","8.00","6.20","1.40","8.20","1.80","2.00","9.00"
"20","50","2.00","1.60","23.00","18.40","45.00","5.40","5.40","6.00","20.60","5.00","23.40","5.00","4.80","11.60","4.60","4.80","1.80","1.20","11.00"
"21","55","2.00","3.60","20.60","18.40","46.40","4.60","4.20","5.20","18.40","7.40","21.60","4.20","7.40","9.20","2.20","6.40","2.40","3.40","9.20"
"22","60","2.80","3.00","25.00","20.00","46.00","6.40","5.40","6.20","22.40","4.80","23.40","5.40","4.80","8.60","2.60","5.40","3.60","3.20","8.40"
"23","65","2.80","2.80","22.40","17.40","45.40","5.80","5.80","6.60","19.60","6.20","20.60","6.20","6.00","9.00","2.80","6.80","2.60","2.80","8.60"
"24","70","3.40","3.00","22.40","21.80","47.20","5.20","5.40","4.60","19.40","6.60","25.00","5.40","6.80","9.20","1.40","5.80","3.00","2.40","8.00"
"25","75","2.80","1.20","24.20","19.60","44.60","4.80","6.20","6.40","20.00","5.80","22.40","6.00","4.40","6.80","3.60","6.20","2.20","2.00","8.20"
"26","80","2.60","3.00","22.60","18.40","44.00","7.20","4.40","6.60","22.80","6.20","21.20","4.80","6.80","8.60","3.00","6.00","2.00","3.00","8.60"
"27","85","1.40","2.40","19.00","16.00","35.40","3.40","4.60","5.00","16.00","4.00","19.40","4.00","4.20","7.20","1.80","5.00","2.60","1.80","8.20"
"28","90","2.00","2.60","17.20","12.40","37.80","3.00","3.20","5.20","15.00","5.60","17.40","3.60","5.00","7.60","2.20","4.80","3.20","3.40","5.80"
"29","95","2.40","1.80","16.80","15.80","36.00","3.40","4.80","4.00","13.00","4.20","16.60","4.20","5.60","6.20","2.00","3.80","1.40","1.40","6.60"
"30","100","2.80","2.40","15.80","15.80","31.20","4.00","4.20","5.40","14.80","5.60","18.60","4.20","5.40","6.60","1.80","6.40","2.00","2.20","6.60"
"31","105","1.80","1.80","16.00","15.00","34.00","3.60","3.80","3.60","15.80","3.60","19.00","4.20","3.20","6.20","2.40","2.40","2.80","2.40","8.60"
