"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"2450","0.000","556","533","4791","3948","9403","1151","1157","1268","4188","1330","4664","1142","1252","1902","598","1365","532","536","1777"
"2451","0.050","524","508","4549","3868","9116","1028","1030","1235","3995","1185","4483","962","1183","1749","485","1203","532","506","1713"
"2452","0.100","491","525","4347","3533","8629","1038","1019","1129","3838","1147","4275","979","1162","1616","438","1141","486","532","1614"
"2453","0.150","437","464","4065","3401","8128","897","845","1070","3501","1095","4049","962","1119","1489","490","1122","456","481","1539"
"2454","0.200","412","440","3943","3271","7880","897","920","1031","3384","1051","3863","919","1099","1429","401","1007","419","445","1507"
"2455","0.250","389","434","3657","3043","7401","840","873","1013","3195","1030","3766","835","989","1441","416","970","417","389","1429"
"2456","0.300","409","403","3428","2916","7078","835","811","943","3063","926","3476","837","894","1338","354","962","393","386","1374"
"2457","0.350","386","369","3450","2735","6705","815","824","914","3042","826","3352","778","937","1355","378","836","401","403","1258"
"2458","0.400","378","375","3089","2635","6296","727","750","893","2864","777","3169","735","813","1163","386","833","368","385","1205"
"2459","0.450","352","326","3024","2595","6022","721","677","824","2721","771","2966","711","807","1152","324","838","338","356","1172"
"2460","0.500","323","348","2798","2446","5674","630","667","741","2552","790","2983","674","809","1117","336","735","331","301","1085"
"2461","0.550","320","292","2659","2311","5397","637","626","715","2373","744","2718","595","723","1022","333","733","356","317","1021"
"2462","0.600","330","283","2603","2243","5302","605","591","731","2187","723","2575","599","649","980","304","702","323","274","1017"
"2463","0.650","286","283","2487","2130","4966","520","569","688","2160","698","2467","629","627","923","293","649","307","280","932"
"2464","0.700","271","282","2316","1994","4670","543","538","638","2074","642","2328","535","623","896","269","634","235","290","875"
"2465","0.750","257","261","2234","1890","4515","500","495","622","1984","611","2185","533","587","831","299","569","285","254","934"
"2466","0.800","274","222","2051","1781","4273","451","530","557","1864","579","2144","511","601","723","241","548","238","227","817"
"2467","0.850","236","237","2041","1664","4078","483","456","552","1752","554","2007","442","550","788","228","550","217","239","790"
"2468","0.900","215","232","1914","1623","3834","422","417","448","1649","483","1974","428","544","719","223","502","218","227","765"
"2469","0.950","217","228","1725","1582","3677","406","461","487","1688","498","1823","441","510","688","221","508","236","219","714"
"2470","1.000","211","187","1744","1469","3481","447","413","448","1538","498","1709","400","444","695","230","479","202","201","661"
"2471","1.050","210","186","1623","1381","3237","386","424","440","1487","433","1676","380","444","678","179","457","188","189","636"
"2472","1.100","175","183","1574","1378","3123","341","371","404","1431","434","1593","391","446","649","180","425","168","179","609"
"2473","1.150","201","198","1527","1351","2888","365","352","421","1288","379","1504","386","360","609","159","416","175","190","568"
"2474","1.200","162","174","1369","1187","2760","312","327","376","1255","389","1394","353","365","570","177","378","142","149","516"
"2475","1.250","125","127","1343","1154","2720","317","317","357","1183","385","1346","286","369","528","156","376","180","153","514"
"2476","1.300","138","157","1310","1076","2637","306","304","338","1115","301","1319","296","333","474","144","336","154","143","461"
"2477","1.350","136","132","1203","1093","2432","277","266","318","1120","336","1208","321","298","456","131","355","114","148","496"
"2478","1.400","138","142","1218","974","2266","266","280","324","994","328","1161","250","299","495","122","306","134","131","437"
"2479","1.450","111","137","1150","908","2304","277","278","297","1001","316","1078","274","311","431","126","259","101","118","455"
"2480","1.500","113","133","1008","845","2045","242","230","290","938","294","1056","246","297","415","147","290","114","119","396"
"2481","1.550","119","114","1061","829","1954","228","249","236","889","276","964","213","266","350","113","271","113","121","371"
"2482","1.600","125","110","977","772","1856","192","215","257","849","246","1031","222","259","337","95","254","115","85","370"
"2483","1.650","92","93","855","785","1796","213","191","220","831","239","910","220","242","311","89","251","111","100","329"
"2484","1.700","106","89","849","718","1773","239","194","221","776","238","852","208","253","332","92","267","89","80","320"
"2485","1.750","96","91","807","684","1632","191","192","216","741","238","805","187","213","321","84","212","80","85","325"
"2486","1.800","80","78","812","696","1560","198","176","199","689","200","812","179","211","323","104","216","110","104","298"
"2487","1.850","101","77","723","661","1512","181","178","195","693","197","722","160","201","275","88","178","93","81","294"
"2488","1.900","80","80","702","617","1397","183","145","197","660","199","700","164","188","295","85","202","86","88","253"
"2489","1.950","83","78","696","605","1354","182","139","193","598","178","660","153","164","265","96","167","90","85","243"
"2490","2.000","67","67","625","511","1312","146","148","189","599","177","622","143","167","259","60","183","77","84","269"
"2491","2.050","61","82","632","521","1223","149","133","179","543","162","656","146","151","247","65","153","57","81","235"
