"","Time","createOrder","basket","getCatalogue","getItem","getCart","login","getOrders","catalogue","home","tags","getCustomer","viewOrdersPage","cataloguePage","getRelated","addToCart","catalogueSize","getAddress","getCard","showDetails"
"2420","0.00000","10605","11122","55396","47160","132874","12353","21414","25937","85744","14672","76874","22492","14856","21423","11138","14857","8843","8836","37077"
"2421","0.10000","9","13","41","37","137","16","36","23","84","10","64","15","17","20","9","16","14","5","35"
"2422","0.20000","8","9","42","32","74","10","13","14","49","12","53","13","9","8","3","14","7","8","19"
"2423","0.30000","5","2","22","17","57","5","10","12","37","7","25","12","6","8","0","11","2","3","13"
"2424","0.40000","4","1","16","12","40","8","2","8","27","7","25","5","2","6","0","9","5","3","10"
"2425","0.50000","1","1","5","9","32","3","2","2","3","1","9","2","1","3","0","2","1","1","1"
"2426","0.60000","0","0","3","0","1","2","1","0","1","0","2","0","2","0","0","0","1","0","2"
"2427","0.70000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2428","0.80000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2429","0.90000","7","0","5998","5541","4334","0","12","0","0","2459","3038","0","1525","2164","0","1592","292","338","0"
"2430","1.00000","502","0","35371","29019","56092","8645","1047","0","0","8793","16666","0","9540","13475","0","9453","1975","1945","0"
"2431","1.10000","0","0","109","75","146","21","0","0","0","26","51","0","22","29","0","16","6","7","0"
"2432","1.20000","0","0","57","50","91","9","0","0","0","6","26","0","10","14","0","22","4","0","0"
"2433","1.30000","0","0","26","21","37","10","0","0","0","6","9","0","7","7","0","4","0","1","0"
"2434","1.40000","0","0","7","3","7","1","0","0","0","2","1","0","2","1","0","1","0","2","0"
"2435","1.50000","0","0","1","1","3","2","0","0","0","0","1","0","1","0","0","1","0","0","0"
"2436","1.60000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2437","1.70000","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2438","1.80000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2439","1.90000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2440","2.00000","0","0","1","0","0","1460","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2441","2.10000","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2442","2.20000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2443","2.30000","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2444","2.40000","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2445","2.50000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
