Title: ECSA-EPRWNaf65RSGQDdC99DqrxojXnlmqbN8 Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    EPRWNaf65RSGQDdC99DqrxojXnlmqbN8.35A


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home   tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
--------  -----------  ------  ------------  -------  -------  -----  ---------  ---------  -----  -----  -----------  --------------  -------------  ----------  ---------  -------------  ----------  -------  -----------
0                0.00    0.00         31.40     5.00    50.80   5.80       7.00      16.00  24.20  14.00        12.00            7.20          11.20        1.00       0.00          14.20        0.00     0.00         4.40
5                0.00    0.20         17.80    18.20    45.00   4.80       2.80       7.00  20.40  10.80        29.00            3.20          11.60        7.20       0.80          10.00        0.00     0.00        14.20
10               0.00    1.00         23.60    15.20    43.80   7.40       3.20       5.80  23.60   6.00        21.00            2.80           7.00       12.60       3.40           6.20        0.40     0.60        10.60
15               0.20    2.60         23.40    16.00    47.40   6.40       4.20       7.00  20.40   5.40        22.60            4.00           4.80       10.40       4.80           5.40        1.40     1.60        10.80
20               1.80    4.20         20.20    19.40    44.00   4.20       3.80       6.20  15.80   6.20        23.00            4.40           7.00       10.20       3.00           6.60        3.80     4.00         9.40
25               2.60    3.20         19.00    21.60    46.00   4.20       4.60       5.00  15.60   5.60        24.20            5.00           6.00       10.80       3.80           5.60        4.40     4.20        11.00
30               3.80    4.00         22.80    21.20    44.00   4.20       6.20       4.80  19.40   5.00        24.40            5.60           4.80        9.40       3.40           4.60        2.60     2.80         8.20
35               4.40    3.20         22.20    20.40    40.20   4.40       6.20       5.60  19.20   5.40        19.60            7.40           6.00        7.80       1.80           5.20        3.80     3.60         6.00
40               1.60    1.20         13.00    10.40    17.40   1.20       3.60       2.40   8.80   4.80        12.40            2.00           4.40        3.60       1.40           3.80        1.80     1.40         5.20
45               1.20    0.80          4.40     6.20     6.60   0.20       2.00       0.80   2.40   0.20         6.60            2.00           1.00        1.60       0.60           0.60        0.60     0.80         2.20
50               0.80    0.40          3.00     2.80     1.40   0.00       1.00       0.40   2.20   1.00         2.00            0.80           0.80        1.00       0.40           0.60        0.40     0.20         0.80
55               0.00    0.00          0.00     0.40     0.00   0.00       0.20       0.00   0.00   0.00         0.40            0.00           0.20        0.00       0.20           0.00        0.00     0.00         0.40
60               0.00    0.00          0.00     0.00     0.00   0.00       0.00       0.00   0.00   0.00         0.00            0.00           0.00        0.00       0.00           0.00        0.00     0.00         0.00
65               0.20    0.60          0.40     0.60     3.80   0.00       0.00       0.20   0.60   0.00         1.80            0.00           0.00        0.80       0.00           0.00        0.00     0.20         0.80
70               0.20    0.40          0.80     1.60     1.20   0.00       0.40       0.20   0.20   0.40         1.20            0.40           0.40        0.40       0.00           0.40        0.40     0.20         0.20
75               0.40    0.00          0.60     0.40     3.80   0.40       0.40       0.00   0.60   0.00         0.80            0.40           0.00        0.60       0.20           0.00        0.00     0.20         0.40
80               0.40    0.40          6.40     6.20    13.80   1.00       0.20       1.20   6.80   0.60         7.20            0.20           0.40        4.20       0.80           1.00        1.20     1.00         2.80
85               0.80    1.00          7.00     3.00    11.40   0.80       0.40       1.80   6.20   1.20         3.00            1.20           1.20        1.00       0.20           1.40        0.20     0.40         0.60
90               0.40    0.20          3.00     3.60     7.60   0.60       1.60       2.00   2.20   3.00         4.80            0.80           3.00        1.00       0.20           2.60        0.40     0.20         2.00
95               0.80    0.60          5.20     6.20    13.60   0.60       1.00       1.40   5.20   0.80         7.60            1.40           0.80        2.00       1.00           1.20        0.60     0.80         2.60
